PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,56,129,0.434,120,8,34,0.235,0.465
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,91,229,0.397,216,34,99,0.343,0.472
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,12,34,0.353,31,7,15,0.467,0.456
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,24,62,0.387,56,8,20,0.4,0.452
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,2,10,0.2,4,0,0,,0.2
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,16,56,0.286,34,2,6,0.333,0.304
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,17,40,0.425,39,5,12,0.417,0.488
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,152,343,0.443,376,72,182,0.396,0.548
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,0,2,0.0,0,0,2,0.0,0.0
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,19,73,0.26,51,13,52,0.25,0.349
203468,CJ McCollum,1610612737,ATL,64,29,35,1908.0,199,461,0.432,481,83,217,0.382,0.522
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,196,469,0.418,471,79,213,0.371,0.502
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,0,1,0.0,0,0,1,0.0,0.0
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,47,140,0.336,117,23,91,0.253,0.418
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,8,31,0.258,17,1,5,0.2,0.274
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,7,24,0.292,15,1,11,0.091,0.313
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,134,284,0.472,338,70,161,0.435,0.595
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,97,259,0.375,225,31,109,0.284,0.434
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,14,54,0.259,38,10,40,0.25,0.352
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,29,74,0.392,73,15,31,0.484,0.493
