PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,FRAMES,GRAVITYSCORE,AVGGRAVITYSCORE,ONBALLPERIMETERFRAMES,ONBALLPERIMETERGRAVITYSCORE,AVGONBALLPERIMETERGRAVITYSCORE,OFFBALLPERIMETERFRAMES,OFFBALLPERIMETERGRAVITYSCORE,AVGOFFBALLPERIMETERGRAVITYSCORE,ONBALLINTERIORFRAMES,ONBALLINTERIORGRAVITYSCORE,AVGONBALLINTERIORGRAVITYSCORE,OFFBALLINTERIORFRAMES,OFFBALLINTERIORGRAVITYSCORE,AVGOFFBALLINTERIORGRAVITYSCORE,GAMESPLAYED,MINUTES,PTS,REB,AST
1628415,Dillon,Brooks,1610612756,PHX,Suns,Phoenix,223277,2.60144,2.2164351,33926,0.92066,1.4467399,145182,5.3296,4.6742046,15444,-13.7617,-13.7505089,28725,-11.5427,-12.1242386,50,30.6,20.9,3.7,1.8
1631221,Collin,Gillespie,1610612756,PHX,Suns,Phoenix,297767,2.1819130434,2.1796831,70600,-1.2736231884,-1.2627577,182634,5.3164782608,5.2574002,13280,-18.3848550724,-19.4800313,31253,-11.5517536231,-11.542773,69,28.9,13.2,4.2,4.8
1642377,Jaylen,Wells,1610612763,MEM,Grizzlies,Memphis,245752,2.6133076923,2.129212,25817,1.6415230769,2.4852176,179162,3.8057692307,3.2374289,10295,-9.1058153846,-9.8377337,30478,-5.8819384615,-5.7154729,65,26.6,12.8,3.3,1.7
1626157,Karl-Anthony,Towns,1610612752,NYK,Knicks,New York,321385,4.0089193548,1.9637173,37823,7.3144838709,5.7439153,131165,8.9267741935,8.0504632,22738,-2.8510645161,-5.403311,129659,-1.5203709677,-4.0152918,62,31.3,20.2,11.9,2.9
1629627,Zion,Williamson,1610612740,NOP,Pelicans,New Orleans,223839,1.918226415,1.8871322,34860,0.5750377358,0.8625419,84108,2.776735849,3.1734157,23557,3.791981132,0.3425566,81314,4.1218113207,4.0070821,53,30.0,21.6,5.9,3.3
1631165,Keon,Ellis,1610612739,CLE,Cavaliers,Cleveland,164169,1.7907666666,1.8032744,12315,-1.6042,-0.7742244,123546,2.8529166666,2.9634499,3249,-8.01755,-13.9609012,25059,-4.7517666666,-6.3598622,60,19.6,6.2,1.8,0.9
1631096,Chet,Holmgren,1610612760,OKC,Thunder,Oklahoma City,243537,1.8789491525,1.7600691,19685,1.7014576271,2.5763635,135787,5.1057966101,4.8685361,16646,-7.9718135593,-9.1255967,71419,-7.010338983,-5.9812384,59,29.3,17.4,8.9,1.7
1641796,Pelle,Larsson,1610612748,MIA,Heat,Miami,184274,1.8461206896,1.7351452,21123,-2.4681034482,-2.8574347,97394,3.8432586206,3.8625384,8245,-13.2088793103,-13.567321,57512,-8.8363275862,-10.4969254,58,25.8,10.9,3.4,3.4
1629018,Gary,Trent Jr.,1610612749,MIL,Bucks,Milwaukee,196329,3.8380357142,1.6932923,16800,-0.7430714285,-0.1869206,162880,4.4990892857,2.3448854,2424,-2.99925,-4.9735899,14225,-1.5881428571,-4.123328,56,21.2,7.5,1.0,1.3
1641716,Jarace,Walker,1610612754,IND,Pacers,Indiana,260087,1.8825147058,1.6869191,29492,3.0755441176,4.1915084,186666,3.2833235294,2.9923021,9378,-8.0590735294,-7.5959842,34551,-6.7867647058,-7.0987994,68,25.5,11.4,5.1,2.4
1641739,Toumani,Camara,1610612757,POR,Trail Blazers,Portland,337681,1.6322571428,1.4698441,32635,-1.9592571428,-1.6585834,236750,3.6302,3.416458,11563,-12.3493571428,-12.1239144,56733,-10.2406857142,-9.5768577,70,33.3,12.8,5.3,2.6
1642383,Walter,Clayton Jr.,1610612763,MEM,Grizzlies,Memphis,157113,1.0554561403,1.4464707,41750,-1.0293508771,-0.4570677,94791,4.1941578947,4.5406786,8310,-19.0183157894,-19.1812855,12262,-14.1957719298,-12.6806282,57,19.5,7.2,2.0,3.9
203999,Nikola,Jokić,1610612743,DEN,Nuggets,Denver,270343,1.2073584905,1.4410279,57081,3.4329245283,3.5126891,101578,4.2000754716,4.5116709,37202,-7.0260188679,-7.8506021,74482,-3.9033396226,-2.2282707,53,34.7,28.2,12.6,10.6
1631157,Ryan,Rollins,1610612749,MIL,Bucks,Milwaukee,329046,2.2053731343,1.4090894,90265,3.905880597,3.6355545,187553,4.3391343283,3.4006619,20431,-13.8653283582,-15.4184968,30797,-12.0722985074,-14.3499838,67,32.2,16.8,4.6,5.6
1642266,Ja'Kobe,Walter,1610612761,TOR,Raptors,Toronto,158414,1.1321428571,1.3975754,9892,-3.5858392857,-2.6228953,113417,1.5061071428,1.8568167,2910,-0.2795892857,-1.0637422,32195,-0.5544107142,-1.6950669,56,18.9,6.7,2.4,1.1
1630245,Ayo,Dosunmu,1610612750,MIN,Timberwolves,Minnesota,217337,1.3230666666,1.2923407,40335,0.1513166666,0.7427316,146320,2.796,2.5913794,10394,-9.1087833333,-8.8216445,20288,-8.1548,-7.405944,60,26.5,14.4,3.1,3.5
1641767,Ben,Sheppard,1610612754,IND,Pacers,Indiana,183401,1.4762982456,1.2870423,18743,-1.7995087719,0.707361,132898,2.8105964912,2.3422358,3372,-9.622491228,-9.5945957,28388,-7.8484210526,-6.0047572,57,21.5,7.1,3.1,1.8
1630538,Bones,Hyland,1610612750,MIN,Timberwolves,Minnesota,119695,1.1085423728,1.2671015,34752,1.879779661,1.1200726,70629,2.2292372881,2.6663038,3984,-12.1512203389,-14.5693825,10330,-12.8613898305,-13.82445,59,15.5,7.8,1.7,2.6
1630631,Jose,Alvarado,1610612752,NYK,Knicks,New York,186947,1.1514406779,1.2633534,51050,-0.1975762711,0.4255425,111539,3.4006271186,3.4115222,6199,-16.252779661,-19.2031587,18159,-11.2615932203,-12.4653179,59,20.4,7.4,2.5,3.4
1629675,Naz,Reid,1610612750,MIN,Timberwolves,Minnesota,235866,1.2346716417,1.2494324,20781,5.357761194,5.1702109,158344,1.6765820895,1.555759,10354,-3.0281343283,-1.9622373,46387,-4.2842089552,-2.6058427,67,26.1,13.8,6.2,2.4
1630534,Ochai,Agbaji,1610612751,BKN,Nets,Brooklyn,123497,2.2546226415,1.2097367,6160,-3.5848490566,-4.2470813,84076,3.8316792452,3.0607331,2738,-6.190735849,-6.8663093,30523,-5.8804716981,-9.7005983,53,15.5,4.7,2.2,0.7
1641712,Rayan,Rupert,1610612763,MEM,Grizzlies,Memphis,123049,1.5723275862,1.1833265,5881,-0.851275862,-3.0543553,89112,3.1272068965,2.9664897,3669,-7.0684310344,-9.1711114,24387,-7.7103103448,-10.4113072,58,14.9,4.2,2.4,0.8
1630311,Pat,Spencer,1610612744,GSW,Warriors,Golden State,135335,2.0344509803,1.1751883,38244,0.6814705882,-0.1996852,67542,8.4654313725,7.0659016,8580,-18.8307254901,-20.8879025,20969,-15.1066470588,-16.3334127,51,17.8,6.8,2.3,3.4
1630172,Patrick,Williams,1610612741,CHI,Bulls,Chicago,167601,1.0758305084,1.1367255,15154,0.5354745762,1.1927503,120697,2.3274406779,2.3040467,6962,-7.5074915254,-6.4503336,24788,-7.6562711864,-7.7701903,59,19.6,6.8,2.8,1.3
