PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,OFFENSE,DEFENSE,FULL,SHOOTING,TURNOVERS,REBOUNDS,CREATION,ONBALLDEF,GAMESPLAYED,MINUTES,PTS,REB,AST
1629060,Rui,Hachimura,1610612747,LAL,Lakers,Los Angeles,-0.0167024137,0.134050862,0.1173484482,0.017637931,-0.0342101724,0.0288843103,0.0245755172,0.0345027586,58,28.8,11.3,3.2,0.9
1642907,Cedric,Coward,1610612763,MEM,Grizzlies,Memphis,-0.0614203703,0.177887037,0.1164648148,-0.0078148148,-0.1062648148,0.0630277777,0.0743203703,0.0497907407,54,26.1,13.4,6.2,2.8
1641796,Pelle,Larsson,1610612748,MIA,Heat,Miami,-0.0127884745,0.1287803389,0.1159867796,-0.0038481355,-0.0661838983,0.0302018644,0.0793815254,0.0344233898,59,25.7,10.8,3.4,3.4
203944,Julius,Randle,1610612750,MIN,Timberwolves,Minnesota,-0.0658985714,0.1816128571,0.11571,-0.0063071428,-0.1591171428,0.0640514285,0.1235285714,0.0408028571,70,33.0,21.2,6.8,5.1
1630191,Isaiah,Stewart,1610612765,DET,Pistons,Detroit,-0.0481818181,0.1629363636,0.1147472727,-0.0023527272,-0.0627963636,0.0414436363,0.0290654545,0.07394,55,23.1,10.0,5.1,1.2
1641854,Craig,Porter Jr.,1610612739,CLE,Cavaliers,Cleveland,0.0149862068,0.0992,0.114187931,-0.0062620689,-0.0466310344,0.0259172413,0.0761724137,0.0404775862,58,17.6,4.4,3.3,3.2
1626181,Norman,Powell,1610612748,MIA,Heat,Miami,-0.0399009615,0.1528998076,0.1130026923,0.0259790384,-0.1180576923,0.0344476923,0.0870501923,0.03346,52,30.1,22.3,3.6,2.6
204456,T.J.,McConnell,1610612754,IND,Pacers,Indiana,0.0226,0.0903352941,0.1129333333,-0.0075431372,-0.0652941176,0.0190215686,0.1151254901,0.0302647058,51,17.3,9.3,2.3,5.1
1630573,Sam,Hauser,1610612738,BOS,Celtics,Boston,-0.0243393939,0.1370363636,0.1126893939,-0.0014227272,-0.0251742424,0.0342030303,0.0291151515,0.0399318181,66,24.6,9.2,3.9,1.5
1626220,Royce,O'Neale,1610612756,PHX,Suns,Phoenix,-0.0539956521,0.1662434782,0.1122594202,-0.0107188405,-0.0747449275,0.0464260869,0.0728101449,0.0464884057,69,29.1,9.9,4.8,2.8
1642852,Derik,Queen,1610612740,NOP,Pelicans,New Orleans,-0.0677114285,0.1788328571,0.1111185714,-0.0071712857,-0.1350681428,0.0640767142,0.091979,0.0616765714,70,24.8,11.5,6.9,3.8
1642263,Reed,Sheppard,1610612745,HOU,Rockets,Houston,-0.03335,0.1438882352,0.1105352941,-0.0179382352,-0.0845367647,0.0252235294,0.0951897058,0.0468514705,68,26.0,13.4,2.8,3.2
1629048,Goga,Bitadze,1610612753,ORL,Magic,Orlando,-0.0014892156,0.1119060784,0.1104207843,-0.0003098039,-0.0269686274,0.0442452941,0.0265215686,0.0448709803,51,14.9,5.6,4.7,1.2
1631230,Dominick,Barlow,1610612755,PHI,76ers,Philadelphia,-0.0444779661,0.1543310169,0.1098547457,-0.0145616949,-0.0484779661,0.04559,0.0309223728,0.0604594915,59,24.5,8.3,4.8,1.2
1630572,Sandro,Mamukelashvili,1610612761,TOR,Raptors,Toronto,-0.0242439393,0.1339984848,0.1097530303,-0.0043272727,-0.0533424242,0.0445348484,0.0510545454,0.0436181818,66,21.9,10.8,4.9,1.9
203935,Marcus,Smart,1610612747,LAL,Lakers,Los Angeles,-0.0353325423,0.1443962711,0.109058644,-0.0182577966,-0.0724605084,0.0280547457,0.0818040677,0.0419972881,59,28.7,9.6,2.8,2.8
1628379,Luke,Kennard,1610612747,LAL,Lakers,Los Angeles,0.0150492424,0.093820606,0.1088698484,0.0283516666,-0.0372939393,0.0180754545,0.0402262121,0.0268621212,66,20.8,8.0,2.2,2.0
1642844,Dylan,Harper,1610612759,SAS,Spurs,San Antonio,-0.0042780701,0.1110803508,0.1067987719,-0.0038247368,-0.0697419298,0.0274568421,0.0847982456,0.0322377192,57,22.2,11.1,3.4,3.8
1629023,P.J.,Washington,1610612742,DAL,Mavericks,Dallas,-0.1383686274,0.2447764705,0.106390196,-0.0567666666,-0.1106568627,0.0715647058,0.0614803921,0.0938960784,51,30.8,14.2,7.0,1.9
1641783,Tristan,da Silva,1610612753,ORL,Magic,Orlando,-0.0390234375,0.1453551562,0.1063395312,-0.0108259375,-0.049696875,0.0352125,0.046261875,0.0478998437,64,24.4,9.5,3.8,1.5
1642274,Yves,Missi,1610612740,NOP,Pelicans,New Orleans,-0.040825862,0.1462610344,0.1054368965,-0.0148796551,-0.0551720689,0.0537624137,0.031787931,0.0637298275,58,19.1,5.6,5.7,1.2
1627739,Kris,Dunn,1610612746,LAC,Clippers,LA,-0.0418557142,0.1459121428,0.1040621428,-0.0157194285,-0.0822794285,0.0311684285,0.0846912857,0.0444841428,70,27.6,7.7,3.4,3.6
1641739,Toumani,Camara,1610612757,POR,Trail Blazers,Portland,-0.0861271428,0.1896857142,0.1035628571,-0.0292028571,-0.1029842857,0.0544685714,0.0793942857,0.0563342857,70,33.3,12.8,5.3,2.6
203110,Draymond,Green,1610612744,GSW,Warriors,Golden State,-0.0871946428,0.1904642857,0.1032857142,-0.0323107142,-0.1420089285,0.0572803571,0.1233821428,0.0605428571,56,27.2,8.6,5.6,5.3
1629111,Jock,Landale,1610612737,ATL,Hawks,Atlanta,-0.0028,0.1056016129,0.1027951612,0.0047532258,-0.048998387,0.0535532258,0.0418306451,0.0263806451,62,22.1,10.7,5.8,1.6
1642347,Jamal,Shead,1610612761,TOR,Raptors,Toronto,-0.0011985294,0.1025632352,0.1013705882,-0.0264191176,-0.0720279411,0.0158485294,0.1249794117,0.0306220588,68,21.9,6.6,1.9,5.1
1628381,John,Collins,1610612746,LAC,Clippers,LA,-0.0473968965,0.1486527586,0.1012541379,0.0188927586,-0.070732931,0.0454013793,0.0266034482,0.0434424137,58,27.5,13.8,5.3,1.0
1630643,Jay,Huff,1610612754,IND,Pacers,Indiana,-0.0606385714,0.1614142857,0.1007685714,-0.0068857142,-0.0561771428,0.0362642857,0.0265,0.0811357142,70,20.7,9.4,3.8,1.3
203083,Andre,Drummond,1610612755,PHI,76ers,Philadelphia,-0.0449561538,0.1452355769,0.1002832692,-0.0258548076,-0.0494530769,0.0802151923,0.0312242307,0.0404063461,52,20.0,6.7,8.7,1.1
1630249,Vít,Krejčí,1610612757,POR,Trail Blazers,Portland,-0.009928125,0.109884375,0.0999640625,0.0052671875,-0.0339609375,0.01935625,0.04199375,0.037875,64,21.6,8.6,2.3,1.6
