PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,OFFENSE,DEFENSE,FULL,SHOOTING,TURNOVERS,REBOUNDS,CREATION,ONBALLDEF,GAMESPLAYED,MINUTES,PTS,REB,AST
1629006,Josh,Okogie,1610612745,HOU,Rockets,Houston,-0.0230230769,0.0857323076,0.0627153846,-0.015116923,-0.0289415384,0.026316923,0.0252876923,0.0199092307,65,18.5,4.9,2.7,0.9
1642258,Zaccharie,Risacher,1610612737,ATL,Hawks,Atlanta,-0.0480745454,0.1092327272,0.0611454545,-0.0139218181,-0.0453781818,0.0268854545,0.0287763636,0.0308127272,55,23.6,9.9,3.9,1.3
1641729,Brice,Sensabaugh,1610612762,UTA,Jazz,Utah,-0.0402575757,0.1008727272,0.0606090909,0.0057848484,-0.0677469696,0.0283393939,0.0446378787,0.0219393939,66,22.7,13.9,3.0,1.7
1641716,Jarace,Walker,1610612754,IND,Pacers,Indiana,-0.066289855,0.1254971014,0.0592086956,-0.0132811594,-0.0930304347,0.0478884057,0.0707869565,0.0255449275,69,25.6,11.3,5.2,2.4
1629012,Collin,Sexton,1610612741,CHI,Bulls,Chicago,-0.0472235714,0.1061351785,0.0589008928,0.0243041071,-0.1183966071,0.0162773214,0.0728183928,0.0344573214,56,22.8,14.5,2.0,3.4
1630172,Patrick,Williams,1610612741,CHI,Bulls,Chicago,-0.0400081666,0.0982528333,0.0582396666,-0.0146958333,-0.0470923333,0.0235421666,0.0437368333,0.029456,60,19.7,6.9,2.9,1.4
1642383,Walter,Clayton Jr.,1610612763,MEM,Grizzlies,Memphis,-0.0258844827,0.0836275862,0.0577465517,-0.0186362068,-0.0691155172,0.0165086206,0.0823189655,0.0245344827,58,19.6,7.2,2.0,3.9
1626145,Tyus,Jones,1610612743,DEN,Nuggets,Denver,-0.0060442622,0.0636360655,0.0575983606,-0.0166032786,-0.0199409836,0.0094278688,0.0519278688,0.0182016393,61,15.2,3.0,1.1,2.5
1642363,Nique,Clifford,1610612758,SAC,Kings,Sacramento,-0.0480666666,0.1028878787,0.0548318181,-0.0273212121,-0.0606681818,0.0286651515,0.0537787878,0.0320590909,66,23.8,7.8,3.6,2.1
1630543,Isaiah,Jackson,1610612746,LAC,Clippers,LA,-0.0549162745,0.1096284313,0.0547082352,-0.0050158823,-0.072072549,0.0483733333,0.0249258823,0.0385813725,51,16.5,6.6,5.3,0.9
1630568,Luka,Garza,1610612738,BOS,Celtics,Boston,-0.0150084745,0.0691220338,0.054118644,0.0104779661,-0.0378932203,0.0287932203,0.0161271186,0.0169813559,59,15.6,7.4,3.9,0.9
1641730,Noah,Clowney,1610612751,BKN,Nets,Brooklyn,-0.0783467741,0.1324548387,0.054116129,-0.0120080645,-0.0767516129,0.0362903225,0.0448677419,0.0416516129,62,27.4,12.5,4.1,1.7
1642267,Bub,Carrington,1610612764,WAS,Wizards,Washington,-0.0393681159,0.0925173913,0.0531550724,-0.0039607246,-0.1012084057,0.0301140579,0.0983233333,0.0091166666,69,27.6,10.0,3.6,4.5
203484,Kentavious,Caldwell-Pope,1610612763,MEM,Grizzlies,Memphis,-0.0431607843,0.0962098039,0.0530490196,-0.0102705882,-0.0684529411,0.0247686274,0.0637274509,0.0207372549,51,21.3,8.4,2.5,2.7
202685,Jonas,Valančiūnas,1610612743,DEN,Nuggets,Denver,-0.0299793103,0.0822586206,0.0522775862,0.0165913793,-0.067487931,0.0391206896,0.0218137931,0.0225224137,58,13.3,8.3,4.9,1.2
203939,Dwight,Powell,1610612742,DAL,Mavericks,Dallas,-0.0089134615,0.0603153846,0.051425,0.0042653846,-0.0237711538,0.030875,0.0145884615,0.0086980769,52,13.8,3.2,3.8,0.9
202691,Klay,Thompson,1610612742,DAL,Mavericks,Dallas,-0.0610266666,0.1111916666,0.0501783333,-0.0042866666,-0.0586516666,0.0225516666,0.0358433333,0.0263983333,60,21.9,11.9,2.2,1.4
1642262,Cody,Williams,1610612762,UTA,Jazz,Utah,-0.0519741071,0.1008694642,0.04889,-0.0238348214,-0.0473678571,0.0249183928,0.0389455357,0.0282689285,56,22.2,7.3,2.8,1.5
1642874,Danny,Wolf,1610612751,BKN,Nets,Brooklyn,-0.0399490909,0.08852,0.04856,-0.0132090909,-0.0542690909,0.0348163636,0.0441454545,0.02222,55,21.0,8.9,4.9,2.3
1628415,Dillon,Brooks,1610612756,PHX,Suns,Phoenix,-0.093086,0.141612,0.048532,-0.002604,-0.11362,0.033912,0.060424,0.030348,50,30.6,20.9,3.7,1.8
1629020,Jarred,Vanderbilt,1610612747,LAL,Lakers,Los Angeles,-0.037630909,0.086090909,0.0484545454,-0.0181163636,-0.0422327272,0.0374090909,0.0290072727,0.0169436363,55,17.8,4.5,4.6,1.2
1641842,Ronald,Holland II,1610612765,DET,Pistons,Detroit,-0.0562486153,0.104566,0.048318923,-0.0212884615,-0.0626576923,0.0375287692,0.0392975384,0.0233172307,65,20.2,8.4,4.3,1.3
1630579,Jericho,Sims,1610612749,MIL,Bucks,Milwaukee,-0.0314233333,0.0796583333,0.0482461111,0.0138905555,-0.0584222222,0.0411607407,0.0168342592,0.0106148148,54,17.7,4.1,4.9,1.1
1630533,Ziaire,Williams,1610612751,BKN,Nets,Brooklyn,-0.067032653,0.1152346938,0.0482061224,-0.0154163265,-0.0482489795,0.0211755102,0.0263836734,0.0453020408,49,22.8,9.6,2.4,1.0
1642272,Jared,McCain,1610612760,OKC,Thunder,Oklahoma City,-0.0291672727,0.07722,0.04804,-0.0037054545,-0.0451581818,0.0191581818,0.03684,0.01702,55,17.5,8.4,2.1,1.4
1642278,Tyler,Kolek,1610612752,NYK,Knicks,New York,0.0004035714,0.0475285714,0.0479321428,-0.0055392857,-0.0421857142,0.011325,0.0575017857,0.0095142857,56,12.2,4.4,1.6,2.8
1630611,Gui,Santos,1610612744,GSW,Warriors,Golden State,-0.0627051724,0.1102913793,0.0475896551,-0.0080051724,-0.0937310344,0.0347913793,0.0565482758,0.0326189655,58,19.0,8.2,3.8,2.1
1631323,Simone,Fontecchio,1610612748,MIA,Heat,Miami,-0.028667258,0.0737216129,0.0450704838,-0.0096890322,-0.0355312903,0.0247304838,0.03143,0.0119604838,62,17.1,8.4,3.1,1.5
1641772,Nae'Qwan,Tomlin,1610612739,CLE,Cavaliers,Cleveland,-0.031295,0.0744462962,0.0431587037,-0.0229185185,-0.0228962962,0.0218611111,0.0229333333,0.0236061111,54,15.8,5.8,2.8,0.8
1642954,Will,Richard,1610612744,GSW,Warriors,Golden State,-0.0435610169,0.086598305,0.0430322033,-0.0106779661,-0.0406508474,0.0207864406,0.0272084745,0.0226525423,59,20.1,6.7,2.6,1.4
201587,Nicolas,Batum,1610612746,LAC,Clippers,LA,-0.0420875,0.0849203125,0.0428328125,-0.00793125,-0.03861875,0.0216140625,0.0249390625,0.0216078125,64,18.2,4.0,2.5,0.9
1627780,Gary,Payton II,1610612744,GSW,Warriors,Golden State,-0.0461919354,0.0885145161,0.0423241935,-0.0221080645,-0.0520951612,0.0316338709,0.0365451612,0.0275612903,62,14.6,6.8,3.5,1.7
1631133,Jabari,Walker,1610612755,PHI,76ers,Philadelphia,-0.0138821052,0.0557333333,0.041851228,-0.00783,-0.0169315789,0.0282280701,0.0148110526,0.009248421,57,12.3,4.4,3.1,0.5
1641767,Ben,Sheppard,1610612754,IND,Pacers,Indiana,-0.0455603448,0.0873655172,0.0418086206,-0.0254603448,-0.0339396551,0.0288,0.0404275862,0.0146586206,58,21.5,7.0,3.1,1.8
201566,Russell,Westbrook,1610612758,SAC,Kings,Sacramento,-0.0878871875,0.12950625,0.041620625,-0.0460567187,-0.1673390625,0.0514903125,0.1484048437,0.0227165625,64,29.0,15.2,5.4,6.7
1628371,Jonathan,Isaac,1610612753,ORL,Magic,Orlando,-0.0273788461,0.067551923,0.0401788461,-0.0151692307,-0.0152096153,0.0227596153,0.0082480769,0.0241538461,52,10.0,2.6,2.5,0.4
1628997,Caleb,Martin,1610612742,DAL,Mavericks,Dallas,-0.0312948275,0.0711482758,0.0398465517,-0.0115965517,-0.0326448275,0.0219068965,0.02855,0.020537931,58,14.8,3.9,2.5,1.4
1630549,Day'Ron,Sharpe,1610612751,BKN,Nets,Brooklyn,-0.0574290322,0.0954580645,0.0380370967,0.0026145161,-0.1031032258,0.051248387,0.0451596774,0.0245435483,62,18.7,8.7,6.7,2.3
1642869,Noah,Penda,1610612753,ORL,Magic,Orlando,-0.0301622,0.0673526,0.0371904,-0.0193012,-0.0324268,0.025826,0.0250434,0.022014,50,13.9,4.4,3.5,1.2
1641707,Taylor,Hendricks,1610612763,MEM,Grizzlies,Memphis,-0.04476,0.081482,0.036716,-0.015186,-0.037808,0.028946,0.022646,0.022624,50,18.1,7.1,3.6,0.9
1627824,Guerschon,Yabusele,1610612741,CHI,Bulls,Chicago,-0.0314745762,0.0673803389,0.0359023728,-0.0055277966,-0.0315881355,0.0272425423,0.0171876271,0.0148654237,59,13.6,5.0,3.2,0.9
1630534,Ochai,Agbaji,1610612751,BKN,Nets,Brooklyn,-0.0417218181,0.0769072727,0.0351872727,-0.0269236363,-0.0278872727,0.020770909,0.02248,0.0253418181,55,15.7,4.9,2.3,0.8
1628418,Thomas,Bryant,1610612739,CLE,Cavaliers,Cleveland,-0.0264748076,0.0600921153,0.0336288461,-0.0050473076,-0.0243673076,0.022449423,0.0114884615,0.0172082692,52,11.4,5.8,3.0,0.6
1642348,Justin,Edwards,1610612755,PHI,76ers,Philadelphia,-0.0196330188,0.051921132,0.0322994339,-0.0008356603,-0.0283943396,0.0120207547,0.0247728301,0.0125154716,53,15.6,6.2,1.7,1.4
1642846,Ace,Bailey,1610612762,UTA,Jazz,Utah,-0.0800613114,0.111972459,0.0319177049,-0.0322859016,-0.0699644262,0.0344827868,0.0500144262,0.0233893442,61,26.8,12.8,4.0,1.7
1631321,Sidy,Cissoko,1610612757,POR,Trail Blazers,Portland,-0.0493666666,0.0801682539,0.030795238,-0.0240777777,-0.050563492,0.0215888888,0.0445047619,0.0159571428,63,20.7,5.7,2.3,1.5
1641740,Jaylen,Clark,1610612750,MIN,Timberwolves,Minnesota,-0.023605,0.0539433333,0.0303283333,-0.0156216666,-0.0144316666,0.0139633333,0.0146683333,0.0154666666,60,12.5,3.9,1.7,0.5
1629018,Gary,Trent Jr.,1610612749,MIL,Bucks,Milwaukee,-0.0343003508,0.06309,0.0287861403,-0.0149791228,-0.0284526315,0.0087789473,0.0315438596,0.0081575438,57,20.9,7.4,1.0,1.2
1642868,Carter,Bryant,1610612759,SAS,Spurs,San Antonio,-0.0245447457,0.0517242372,0.0271913559,-0.0114664406,-0.0172303389,0.0139208474,0.0103084745,0.0196337288,59,10.5,3.9,2.3,0.5
1642962,Drake,Powell,1610612751,BKN,Nets,Brooklyn,-0.0374173076,0.0640192307,0.0266134615,-0.006801923,-0.0388807692,0.0127942307,0.0314846153,0.0127961538,52,19.4,6.1,1.6,1.4
1642860,Will,Riley,1610612764,WAS,Wizards,Washington,-0.0282116393,0.0543634426,0.0261567213,-0.0043463934,-0.0393150819,0.0145308196,0.0317311475,0.0123854098,61,20.1,8.9,2.6,1.6
1642419,Jamison,Battle,1610612761,TOR,Raptors,Toronto,-0.009718,0.035814,0.02609,0.003402,-0.015316,0.011878,0.006652,0.005932,50,8.8,3.0,1.5,0.4
1641738,Kobe,Brown,1610612754,IND,Pacers,Indiana,-0.0234019607,0.0493117647,0.0259058823,-0.0056431372,-0.0274509803,0.0194156862,0.0193,0.0103607843,51,13.9,4.8,2.7,1.0
1642848,Tre,Johnson,1610612764,WAS,Wizards,Washington,-0.0689807142,0.0936385714,0.0246560714,-0.0199096428,-0.0729258928,0.0230105357,0.0546678571,0.0207844642,56,24.0,12.4,2.8,2.0
1641712,Rayan,Rupert,1610612763,MEM,Grizzlies,Memphis,-0.0405293103,0.0650793103,0.0245568965,-0.0168293103,-0.025775862,0.018525862,0.0196741379,0.0195224137,58,14.9,4.2,2.4,0.8
1642847,Jeremiah,Fears,1610612740,NOP,Pelicans,New Orleans,-0.1067073239,0.1297401408,0.0230328169,-0.0434042253,-0.1229678873,0.0337183098,0.084722676,0.037596338,71,25.0,13.0,3.6,3.2
1641711,Gradey,Dick,1610612761,TOR,Raptors,Toronto,-0.03650625,0.058875,0.022375,-0.0172515625,-0.0288203125,0.016534375,0.021478125,0.00948125,64,15.0,6.3,2.1,0.7
1642877,Micah,Peavy,1610612740,NOP,Pelicans,New Orleans,-0.0309442307,0.0477538461,0.0168134615,-0.0320057692,-0.0129442307,0.0142,0.0234038461,0.0093807692,52,13.6,3.9,1.8,0.9
203903,Jordan,Clarkson,1610612752,NYK,Knicks,New York,-0.0415033333,0.0567583333,0.015245,-0.0069433333,-0.0495716666,0.013475,0.02955,0.00997,60,18.0,9.0,1.7,1.3
1642920,Kobe,Sanders,1610612746,LAC,Clippers,LA,-0.0586356896,0.0724681034,0.0138375862,-0.0111481034,-0.0566594827,0.0169967241,0.0302234482,0.0114734482,58,20.6,6.9,2.4,1.7
1642885,Mohamed,Diawara,1610612752,NYK,Knicks,New York,-0.0196915254,0.0311016949,0.0114050847,-0.0053322033,-0.0172322033,0.0078355932,0.010659322,0.0080338983,59,8.6,3.4,1.3,0.6
1642265,Rob,Dillingham,1610612741,CHI,Bulls,Chicago,-0.0551437735,0.0488501886,-0.0062954716,-0.0341650943,-0.0554566037,0.0159822641,0.0462624528,0.0073049056,53,13.2,5.2,1.8,2.2
