PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
1642382,Branden Carlson,1610612760,OKC,35,27,8,376.0,148463,28.1,14.7,13.4,4.4,4.66,4.14
1641764,Brandin Podziemski,1610612744,GSW,69,33,36,1941.0,776596,147.1,82.2,64.9,4.41,4.71,4.07
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,8014,1.5,0.7,0.8,4.18,4.12,4.24
1627742,Brandon Ingram,1610612761,TOR,66,38,28,2251.0,812079,153.8,80.7,73.1,4.01,4.28,3.75
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,630187,119.4,67.0,52.3,4.26,4.58,3.9
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,547036,103.6,56.0,47.6,4.56,4.97,4.16
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,580859,110.0,58.0,52.0,4.21,4.44,3.98
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,83850,15.9,8.9,7.0,4.17,4.47,3.85
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,464907,88.1,45.2,42.9,3.88,3.93,3.83
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,111425,21.1,10.9,10.2,4.58,4.74,4.42
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,637566,120.8,64.5,56.3,4.04,4.24,3.84
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,361629,68.5,36.1,32.4,4.51,4.78,4.26
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,753163,142.6,76.4,66.2,4.4,4.74,4.06
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,6131,1.2,0.6,0.6,4.52,4.56,4.49
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,331244,62.7,34.2,28.6,4.84,5.06,4.62
203468,CJ McCollum,1610612737,ATL,64,29,35,1909.0,787112,149.1,82.0,67.0,4.6,5.12,4.08
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,799431,151.4,84.6,66.9,4.29,4.87,3.73
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,22654,4.3,2.4,1.9,4.32,4.74,3.89
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,396554,75.1,39.9,35.2,4.37,4.6,4.13
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,359414,68.1,36.1,31.9,4.55,4.91,4.19
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,175638,33.3,17.5,15.8,4.49,4.67,4.3
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,628366,119.0,65.5,53.5,4.49,4.96,4.01
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,339768,64.4,35.6,28.7,4.29,4.58,3.97
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,128954,24.4,13.0,11.5,4.34,4.73,4.01
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,497953,94.3,51.0,43.3,4.22,4.55,3.89
1626166,Cameron Payne,1610612755,PHI,15,7,8,260.0,108402,20.5,11.4,9.2,4.38,4.82,3.96
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,367459,69.6,37.5,32.1,4.32,4.67,3.97
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,249540,47.3,23.1,24.1,4.48,4.51,4.44
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,725866,137.5,70.6,66.9,4.43,4.63,4.23
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,568599,107.7,56.4,51.3,4.55,4.85,4.26
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,51203,9.7,4.8,4.9,4.37,4.52,4.24
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,14351,2.7,1.4,1.3,4.42,4.65,4.19
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,75946,14.4,7.7,6.7,4.45,4.6,4.3
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,678836,128.6,68.6,59.9,4.29,4.66,3.92
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,33926,6.4,3.2,3.2,4.27,4.29,4.24
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,6678,1.3,0.7,0.6,4.67,4.81,4.52
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,9845,1.9,0.9,1.0,4.16,4.13,4.18
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,74409,14.1,7.8,6.3,3.93,4.07,3.77
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,69212,13.1,7.0,6.1,4.46,4.72,4.19
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,426351,80.7,42.1,38.6,4.32,4.5,4.14
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,129787,24.6,12.6,12.0,4.41,4.65,4.18
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,5455,1.0,0.5,0.5,4.85,5.36,4.43
203991,Clint Capela,1610612745,HOU,62,37,25,776.0,285256,54.0,28.9,25.1,4.05,4.16,3.92
1629632,Coby White,1610612766,CHA,39,21,18,1043.0,401997,76.1,41.8,34.3,4.22,4.66,3.78
