PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
1631127,Harrison Ingram,1610612759,SAS,5,4,1,17.0,27,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
1629312,Haywood Highsmith,1610612756,PHX,6,3,3,80.0,92,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
1630529,Herbert Jones,1610612740,NOP,48,22,26,1388.0,2228,20,2,8,0.25,2,2,1.0,7,0.35,9,0.45,3,0.333,2,0.1,1,0.05
1642864,Hugo González,1610612738,BOS,64,43,21,980.0,1141,17,7,8,0.875,0,0,0.0,14,0.824,9,0.529,2,0.222,0,0.0,0,0.0
1630621,Hunter Dickinson,1610612740,NOP,1,0,1,5.0,7,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642282,Hunter Sallis,1610612755,PHI,7,3,4,26.0,62,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1641816,Hunter Tyson,1610612743,DEN,21,15,6,162.0,212,2,0,1,0.0,0,0,0.0,0,0.0,1,0.5,1,1.0,0,0.0,0,0.0
1630193,Immanuel Quickley,1610612761,TOR,65,38,27,2114.0,4799,37,10,17,0.588,2,2,1.0,23,0.622,18,0.486,7,0.389,1,0.027,1,0.027
1642403,Isaac Jones,1610612765,DET,5,3,2,24.0,15,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1630171,Isaac Okoro,1610612741,CHI,55,25,30,1480.0,1620,33,8,15,0.533,2,2,1.0,18,0.545,14,0.424,2,0.143,1,0.03,1,0.03
1642268,Isaiah Collier,1610612762,UTA,59,16,43,1517.0,4024,16,7,8,0.875,0,0,0.0,14,0.875,8,0.5,3,0.375,0,0.0,0,0.0
1642384,Isaiah Crawford,1610612745,HOU,11,5,6,67.0,51,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1628392,Isaiah Hartenstein,1610612760,OKC,38,31,7,951.0,1791,135,27,49,0.551,11,20,0.55,69,0.511,66,0.489,14,0.212,4,0.03,11,0.081
1630543,Isaiah Jackson,1610612746,LAC,51,16,35,838.0,1103,71,16,26,0.615,2,2,1.0,36,0.507,36,0.507,6,0.167,6,0.085,1,0.014
1630198,Isaiah Joe,1610612760,OKC,61,47,14,1335.0,1775,20,4,6,0.667,2,2,1.0,10,0.5,11,0.55,3,0.273,2,0.1,1,0.05
1630587,Isaiah Livers,1610612756,PHX,34,20,14,333.0,363,6,1,1,1.0,0,0,0.0,2,0.333,5,0.833,2,0.4,0,0.0,0,0.0
1641815,Isaiah Stevens,1610612758,SAC,3,0,3,43.0,94,2,1,1,1.0,0,0,0.0,2,1.0,0,0.0,0,0.0,1,0.5,0,0.0
1630191,Isaiah Stewart,1610612765,DET,55,39,16,1273.0,1434,123,28,49,0.571,8,12,0.667,64,0.52,62,0.504,16,0.258,4,0.033,5,0.041
1627826,Ivica Zubac,1610612754,IND,48,17,31,1447.0,2304,227,57,99,0.576,4,8,0.5,123,0.542,103,0.454,11,0.107,14,0.062,4,0.018
1631120,JD Davison,1610612745,HOU,25,20,5,184.0,341,2,0,0,0.0,0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0
1629630,Ja Morant,1610612763,MEM,20,7,13,568.0,1431,6,2,2,1.0,0,0,0.0,4,0.667,3,0.5,1,0.333,1,0.167,0,0.0
1642266,Ja'Kobe Walter,1610612761,TOR,58,34,24,1096.0,1311,24,9,10,0.9,5,6,0.833,24,1.0,11,0.458,3,0.273,0,0.0,3,0.125
1631095,Jabari Smith Jr.,1610612745,HOU,64,38,26,2238.0,3241,80,21,42,0.5,7,10,0.7,51,0.638,28,0.35,4,0.143,3,0.038,5,0.063
1631133,Jabari Walker,1610612755,PHI,56,31,25,701.0,843,22,4,8,0.5,6,6,1.0,14,0.636,10,0.455,2,0.2,0,0.0,3,0.136
1631210,Jacob Toppin,1610612737,ATL,5,3,2,17.0,35,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
1630702,Jaden Hardy,1610612764,WAS,48,12,36,709.0,1026,3,1,2,0.5,0,0,0.0,2,0.667,0,0.0,0,0.0,1,0.333,0,0.0
1631093,Jaden Ivey,1610612741,CHI,37,23,14,670.0,1119,11,4,5,0.8,0,0,0.0,9,0.818,5,0.455,0,0.0,0,0.0,0,0.0
1630183,Jaden McDaniels,1610612750,MIN,68,41,27,2152.0,3166,31,13,18,0.722,0,0,0.0,26,0.839,11,0.355,4,0.364,1,0.032,0,0.0
1630256,Jae'Sean Tate,1610612745,HOU,34,24,10,287.0,372,9,7,7,1.0,0,0,0.0,15,1.667,1,0.111,0,0.0,0,0.0,0,0.0
1642942,Jahmai Mashack,1610612763,MEM,24,9,15,449.0,641,17,5,13,0.385,0,0,0.0,10,0.588,3,0.176,1,0.333,0,0.0,0,0.0
1642443,Jahmir Young,1610612748,MIA,11,8,3,51.0,113,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1643141,Jahmyl Telfort,1610612746,LAC,8,2,6,32.0,30,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631170,Jaime Jaquez Jr.,1610612748,MIA,64,36,28,1830.0,4261,48,15,22,0.682,4,4,1.0,35,0.729,22,0.458,9,0.409,2,0.042,2,0.042
1631222,Jake LaRavia,1610612747,LAL,70,45,25,1732.0,2586,37,17,23,0.739,1,4,0.25,37,1.0,10,0.27,1,0.1,1,0.027,2,0.054
1627751,Jakob Poeltl,1610612761,TOR,33,20,13,845.0,1236,113,37,56,0.661,8,12,0.667,85,0.752,38,0.336,7,0.184,10,0.088,6,0.053
1628973,Jalen Brunson,1610612752,NYK,64,43,21,2231.0,5850,26,7,9,0.778,0,0,0.0,14,0.538,15,0.577,6,0.4,2,0.077,0,0.0
1631105,Jalen Duren,1610612765,DET,59,41,18,1637.0,2829,228,67,111,0.604,31,42,0.738,171,0.75,74,0.325,13,0.176,10,0.044,20,0.088
1630224,Jalen Green,1610612756,PHX,22,12,10,561.0,1036,6,4,4,1.0,0,0,0.0,8,1.333,2,0.333,0,0.0,0,0.0,0,0.0
1630552,Jalen Johnson,1610612737,ATL,62,36,26,2187.0,5590,145,51,77,0.662,15,18,0.833,120,0.828,52,0.359,23,0.442,4,0.028,9,0.062
1629618,Jalen Pickett,1610612743,DEN,44,28,16,736.0,1312,16,3,6,0.5,0,0,0.0,6,0.375,10,0.625,0,0.0,0,0.0,0,0.0
1641771,Jalen Slawson,1610612754,IND,5,0,5,128.0,208,2,1,1,1.0,0,0,0.0,2,1.0,0,0.0,0,0.0,1,0.5,0,0.0
1630188,Jalen Smith,1610612741,CHI,51,25,26,1064.0,1789,82,17,30,0.567,10,14,0.714,45,0.549,35,0.427,5,0.143,6,0.073,7,0.085
1630591,Jalen Suggs,1610612753,ORL,46,27,19,1234.0,2879,10,1,3,0.333,0,0,0.0,2,0.2,6,0.6,1,0.167,1,0.1,0,0.0
1631114,Jalen Williams,1610612760,OKC,26,19,7,755.0,1453,20,6,7,0.857,2,2,1.0,14,0.7,11,0.55,4,0.364,0,0.0,1,0.05
1630592,Jalen Wilson,1610612751,BKN,45,8,37,638.0,858,6,0,1,0.0,0,0,0.0,0,0.0,4,0.667,0,0.0,0,0.0,0,0.0
1631288,Jamal Cain,1610612753,ORL,27,15,12,215.0,252,6,1,3,0.333,2,2,1.0,4,0.667,2,0.333,1,0.5,0,0.0,1,0.167
1627750,Jamal Murray,1610612743,DEN,65,38,27,2273.0,4924,59,17,24,0.708,14,15,0.933,50,0.847,25,0.424,7,0.28,3,0.051,6,0.102
1642347,Jamal Shead,1610612761,TOR,68,39,29,1494.0,3292,20,3,8,0.375,0,0,0.0,6,0.3,10,0.5,3,0.3,0,0.0,0,0.0
1631123,Jamaree Bouyea,1610612756,PHX,36,18,18,527.0,984,5,1,1,1.0,0,0,0.0,2,0.4,2,0.4,0,0.0,1,0.2,0,0.0
201935,James Harden,1610612739,CLE,60,33,27,2097.0,4571,23,3,6,0.5,6,6,1.0,12,0.522,13,0.565,2,0.154,0,0.0,1,0.043
1630164,James Wiseman,1610612754,IND,4,0,4,58.0,61,1,0,0,0.0,1,2,0.5,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0
1642364,Jamir Watkins,1610612764,WAS,37,9,28,699.0,828,27,6,8,0.75,3,8,0.375,15,0.556,15,0.556,2,0.133,0,0.0,4,0.148
1642419,Jamison Battle,1610612761,TOR,50,29,21,440.0,475,8,4,5,0.8,0,0,0.0,8,1.0,3,0.375,1,0.333,0,0.0,0,0.0
1641716,Jarace Walker,1610612754,IND,69,14,55,1765.0,2891,47,9,18,0.5,5,8,0.625,23,0.489,22,0.468,3,0.136,0,0.0,4,0.085
1642272,Jared McCain,1610612760,OKC,55,37,18,958.0,1652,11,1,4,0.25,2,2,1.0,4,0.364,5,0.455,0,0.0,1,0.091,1,0.091
1628991,Jaren Jackson Jr.,1610612762,UTA,48,19,29,1455.0,2340,44,7,21,0.333,12,14,0.857,27,0.614,11,0.25,2,0.182,0,0.0,5,0.114
1629020,Jarred Vanderbilt,1610612747,LAL,55,33,22,978.0,1257,24,4,7,0.571,2,4,0.5,10,0.417,12,0.5,4,0.333,1,0.042,2,0.083
1628386,Jarrett Allen,1610612739,CLE,51,33,18,1405.0,1968,216,68,121,0.562,29,40,0.725,166,0.769,57,0.264,9,0.158,11,0.051,20,0.093
1642859,Jase Richardson,1610612753,ORL,46,21,25,519.0,804,7,2,3,0.667,0,0,0.0,4,0.571,3,0.429,0,0.0,1,0.143,0,0.0
1642914,Javon Small,1610612763,MEM,33,12,21,626.0,1239,13,2,5,0.4,2,2,1.0,7,0.538,7,0.538,4,0.571,0,0.0,0,0.0
1631451,Javonte Cooke,1610612757,POR,19,6,13,94.0,175,2,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0
1629750,Javonte Green,1610612765,DET,69,50,19,1224.0,1708,40,12,20,0.6,7,8,0.875,31,0.775,12,0.3,4,0.333,2,0.05,4,0.1
1629637,Jaxson Hayes,1610612747,LAL,58,38,20,1019.0,1124,90,23,32,0.719,11,18,0.611,58,0.644,42,0.467,5,0.119,3,0.033,9,0.1
1630643,Jay Huff,1610612754,IND,70,15,55,1448.0,2006,48,6,15,0.4,12,12,1.0,24,0.5,25,0.521,3,0.12,2,0.042,6,0.125
1627759,Jaylen Brown,1610612738,BOS,62,40,22,2116.0,4254,47,10,20,0.5,5,6,0.833,25,0.532,15,0.319,7,0.467,3,0.064,3,0.064
1641740,Jaylen Clark,1610612750,MIN,60,35,25,749.0,659,10,1,1,1.0,0,0,0.0,2,0.2,9,0.9,4,0.444,0,0.0,0,0.0
1642377,Jaylen Wells,1610612763,MEM,66,24,42,1756.0,2108,30,14,18,0.778,3,6,0.5,32,1.067,6,0.2,1,0.167,1,0.033,3,0.1
1631119,Jaylin Williams,1610612760,OKC,55,45,10,1120.0,2375,52,11,18,0.611,6,8,0.75,29,0.558,24,0.462,7,0.292,4,0.077,4,0.077
1642281,Jaylon Tyson,1610612739,CLE,64,40,24,1727.0,2578,98,29,54,0.537,5,6,0.833,65,0.663,34,0.347,10,0.294,7,0.071,3,0.031
1643257,Jayson Kent,1610612757,POR,1,1,0,3.0,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1628369,Jayson Tatum,1610612738,BOS,6,5,1,176.0,393,4,1,1,1.0,0,0,0.0,2,0.5,3,0.75,1,0.333,0,0.0,0,0.0
201145,Jeff Green,1610612745,HOU,25,17,8,134.0,133,3,1,2,0.5,0,0,0.0,2,0.667,1,0.333,0,0.0,0,0.0,0,0.0
203924,Jerami Grant,1610612757,POR,54,25,29,1610.0,2519,39,6,12,0.5,4,4,1.0,16,0.41,19,0.487,2,0.105,4,0.103,2,0.051
1642847,Jeremiah Fears,1610612740,NOP,71,25,46,1774.0,3868,25,10,15,0.667,0,0,0.0,21,0.84,8,0.32,0,0.0,2,0.08,0,0.0
1630526,Jeremiah Robinson-Earl,1610612742,DAL,22,8,14,361.0,477,4,1,2,0.5,2,2,1.0,4,1.0,1,0.25,0,0.0,0,0.0,1,0.25
1631110,Jeremy Sochan,1610612752,NYK,39,27,12,416.0,599,31,11,16,0.688,1,2,0.5,24,0.774,13,0.419,2,0.154,1,0.032,1,0.032
1630579,Jericho Sims,1610612749,MIL,54,21,33,956.0,1290,83,9,12,0.75,2,2,1.0,20,0.241,64,0.771,6,0.094,4,0.048,1,0.012
1641724,Jett Howard,1610612753,ORL,47,25,22,598.0,660,6,3,4,0.75,0,0,0.0,6,1.0,1,0.167,1,1.0,1,0.167,0,0.0
1628975,Jevon Carter,1610612753,ORL,40,19,21,608.0,1122,4,0,0,0.0,2,2,1.0,2,0.5,2,0.5,0,0.0,1,0.25,1,0.25
202710,Jimmy Butler III,1610612744,GSW,38,23,15,1182.0,2441,64,12,21,0.571,16,16,1.0,45,0.703,30,0.469,11,0.367,1,0.016,9,0.141
1642866,Joan Beringer,1610612750,MIN,32,17,15,218.0,261,13,5,9,0.556,0,0,0.0,10,0.769,3,0.231,1,0.333,0,0.0,0,0.0
