PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
1641767,Ben Sheppard,1610612754,IND,58,13,45,1245.0,405,1993,1107,66.5,2.0,1.34,0.203,15,0,47,0.467,0.0,0.511
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,815,2365,1336,118.4,3.0,2.26,0.345,61,9,111,0.754,0.556,1.09
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,11,155,71,6.5,2.51,2.04,0.071,1,0,3,0.0,0.0,0.667
1641731,Bilal Coulibaly,1610612764,WAS,47,13,34,1252.0,519,2129,958,109.6,3.09,2.38,0.244,22,2,97,1.0,1.0,0.938
202687,Bismack Biyombo,1610612759,SAS,20,16,4,117.0,17,137,63,4.2,1.83,0.4,0.124,8,1,18,0.0,0.0,0.611
1642396,Blake Hinson,1610612762,UTA,10,3,7,202.0,96,237,149,7.0,1.76,0.98,0.405,5,0,10,0.4,0.0,0.6
1631104,Blake Wesley,1610612757,POR,23,14,9,301.0,120,659,291,44.2,4.02,3.59,0.182,4,0,11,0.5,0.0,0.545
1626171,Bobby Portis,1610612749,MIL,66,26,40,1600.0,904,3043,1739,96.0,1.89,0.99,0.297,71,164,180,0.648,0.634,0.928
1641752,Bobi Klintman,1610612765,DET,11,7,4,69.0,20,97,55,2.5,1.53,0.6,0.206,3,0,8,0.0,0.0,0.0
203992,Bogdan Bogdanović,1610612746,LAC,20,5,15,421.0,154,743,326,47.5,3.84,3.26,0.207,5,0,6,0.0,0.0,0.667
1630538,Bones Hyland,1610612750,MIN,61,38,23,925.0,465,2184,977,141.0,3.87,3.13,0.213,7,1,19,0.857,2.0,0.421
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,49,177,109,8.6,2.92,2.54,0.277,1,0,7,0.0,0.0,1.143
1642382,Branden Carlson,1610612760,OKC,35,27,8,376.0,170,523,280,11.0,1.27,0.24,0.325,20,1,83,0.7,0.0,1.06
1641764,Brandin Podziemski,1610612744,GSW,69,33,36,1941.0,892,4156,2010,250.3,3.61,2.9,0.215,55,8,112,0.527,0.5,0.607
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,8,27,18,1.0,2.24,1.04,0.296,4,0,5,0.5,0.0,0.8
1627742,Brandon Ingram,1610612761,TOR,66,38,28,2251.0,1443,3687,2505,209.5,3.41,2.31,0.391,67,101,110,0.537,0.485,0.955
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,1081,3155,1744,171.3,3.26,2.46,0.343,70,14,103,0.571,0.357,0.835
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,769,2884,997,243.6,5.07,5.31,0.267,17,0,35,0.706,0.0,0.629
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,920,2241,1408,91.4,2.45,1.78,0.411,36,1,55,0.75,0.0,0.636
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,66,415,193,30.4,4.39,3.96,0.159,0,0,9,0.0,0.0,0.667
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,481,1512,1017,42.7,1.7,0.6,0.318,56,80,102,0.446,0.838,0.853
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,47,289,131,12.6,2.61,2.19,0.163,7,0,16,0.0,0.0,0.5
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,528,2599,1156,152.7,3.52,2.93,0.203,57,0,171,0.684,0.0,0.772
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,340,1147,544,42.7,2.23,1.46,0.296,7,1,22,0.714,0.0,1.045
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,688,4079,1485,283.7,4.17,3.83,0.169,12,5,35,0.5,0.4,0.514
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,6,12,10,0.3,1.34,0.59,0.5,0,0,0,0.0,0.0,0.0
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,354,1407,826,46.6,1.99,1.26,0.252,25,1,43,0.96,0.0,0.884
203468,CJ McCollum,1610612737,ATL,64,29,35,1909.0,1193,3668,1639,282.3,4.62,4.22,0.325,38,3,44,0.763,0.667,0.614
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,1497,5502,2307,447.4,4.88,4.43,0.272,60,71,89,0.683,0.606,0.787
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,23,63,50,1.7,1.63,0.42,0.365,2,0,4,1.0,0.0,0.0
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,507,1828,843,113.2,3.72,3.43,0.277,11,0,13,0.909,0.0,0.923
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,227,1040,444,54.4,3.14,2.45,0.218,16,1,31,0.188,0.0,0.323
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,142,651,327,32.0,2.95,2.41,0.218,5,0,28,0.8,0.0,0.679
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,740,3485,1827,207.5,3.57,3.28,0.212,22,0,49,0.455,0.0,0.551
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,560,1677,987,115.3,4.12,3.65,0.334,12,8,15,0.583,1.25,0.933
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,193,432,244,19.8,2.75,2.35,0.447,8,2,48,1.25,2.0,1.0
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,520,1676,1074,64.0,2.29,1.64,0.31,28,0,44,0.786,0.0,0.909
1626166,Cameron Payne,1610612755,PHI,15,7,8,260.0,113,621,248,45.7,4.42,3.55,0.182,1,0,3,0.0,0.0,0.667
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,363,1698,977,103.6,3.66,3.13,0.214,19,1,36,0.632,0.0,0.75
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,229,737,454,24.5,2.0,1.06,0.311,20,0,45,0.3,0.0,0.8
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,577,2569,1170,145.3,3.39,2.99,0.225,36,2,79,0.444,1.0,0.582
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,721,2994,1438,134.1,2.69,1.99,0.241,31,8,134,0.742,0.875,0.933
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,47,179,107,5.7,1.9,0.92,0.263,12,0,21,0.167,0.0,0.762
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,11,41,17,0.8,1.23,0.39,0.268,3,0,12,0.333,0.0,0.75
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,65,192,160,6.3,1.96,1.08,0.339,2,0,1,1.0,0.0,0.0
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,1034,2771,1479,101.7,2.2,1.1,0.373,106,63,336,0.679,0.841,1.125
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,21,113,63,3.1,1.66,0.47,0.186,2,0,7,1.0,0.0,1.143
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,9,21,13,0.7,2.08,1.86,0.429,0,0,0,0.0,0.0,0.0
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,2,31,11,1.0,1.99,1.32,0.065,2,0,3,0.0,0.0,0.0
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,47,510,207,42.1,4.96,4.26,0.092,6,3,4,0.0,0.0,0.0
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,65,171,114,4.5,1.58,0.78,0.38,1,0,3,3.0,0.0,1.333
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,396,1647,865,69.2,2.52,1.51,0.24,65,1,134,0.677,1.0,0.813
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,62,354,188,7.8,1.32,0.36,0.175,20,1,93,0.15,0.0,0.473
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,0,31,12,1.7,3.37,3.58,0.0,0,0,0,0.0,0.0,0.0
203991,Clint Capela,1610612745,HOU,62,37,25,776.0,235,964,544,24.1,1.5,0.41,0.244,72,6,255,0.472,0.667,0.773
1629632,Coby White,1610612766,CHA,39,21,18,1043.0,692,2161,1027,151.3,4.2,3.63,0.32,10,1,11,0.5,0.0,0.818
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,7,73,33,2.9,2.37,1.88,0.096,1,0,2,0.0,0.0,0.0
1642262,Cody Williams,1610612762,UTA,56,15,41,1244.0,408,1474,741,55.4,2.25,1.58,0.277,35,0,107,0.571,0.0,0.86
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,2,11,4,0.5,2.87,2.18,0.182,0,0,0,0.0,0.0,0.0
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,234,1285,445,111.8,5.22,5.01,0.182,2,0,11,0.0,0.0,0.545
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,2,15,7,0.4,1.62,0.53,0.133,1,0,3,0.0,0.0,0.667
1631221,Collin Gillespie,1610612756,PHX,69,38,31,1998.0,912,4222,1879,273.4,3.88,3.72,0.216,38,0,71,0.289,0.0,0.268
1642867,Collin Murray-Boyles,1610612761,TOR,47,25,22,1046.0,366,1575,999,37.1,1.41,0.45,0.232,103,14,310,0.456,0.714,0.594
1629012,Collin Sexton,1610612741,CHI,56,22,34,1275.0,813,2666,1174,206.4,4.64,4.43,0.305,27,1,46,0.704,0.0,0.804
1642843,Cooper Flagg,1610612742,DAL,58,19,39,1946.0,1167,3892,1728,242.9,3.74,3.03,0.3,62,29,112,0.935,0.586,1.045
1630557,Corey Kispert,1610612737,ATL,48,21,27,933.0,457,1234,772,34.8,1.69,0.95,0.37,15,0,42,0.8,0.0,1.214
1642504,Cormac Ryan,1610612749,MIL,1,0,1,8.0,5,10,8,0.3,1.66,1.7,0.5,0,0,0,0.0,0.0,0.0
1641854,Craig Porter Jr.,1610612739,CLE,58,39,19,1024.0,258,1998,901,102.4,3.07,2.48,0.129,41,1,85,0.439,0.0,0.353
1642938,Curtis Jones,1610612743,DEN,6,4,2,31.0,9,46,27,2.3,2.96,2.76,0.196,1,0,1,2.0,0.0,2.0
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,264,1209,486,84.8,4.21,3.65,0.218,2,1,10,0.0,2.0,0.6
1641747,DaRon Holmes II,1610612743,DEN,19,11,8,194.0,83,251,180,7.0,1.67,0.62,0.331,14,1,18,0.0,0.0,0.389
1631342,Daeqwon Plowden,1610612758,SAC,21,6,15,514.0,181,639,349,19.5,1.83,1.12,0.283,15,0,31,0.933,0.0,1.097
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,10,51,22,4.4,5.2,3.9,0.196,0,0,1,0.0,0.0,2.0
1631207,Dalen Terry,1610612755,PHI,43,18,25,511.0,160,865,457,36.8,2.55,2.28,0.185,9,0,28,0.778,0.0,0.357
1642261,Dalton Knecht,1610612747,LAL,48,29,19,509.0,201,645,363,24.0,2.24,1.32,0.312,13,0,21,0.615,0.0,1.143
1629655,Daniel Gafford,1610612742,DAL,49,11,38,1062.0,455,1374,752,37.8,1.65,0.51,0.331,88,36,290,0.75,0.667,1.093
1642450,Daniss Jenkins,1610612765,DET,59,44,15,1040.0,455,2282,978,185.5,4.88,4.62,0.199,17,0,27,0.353,0.0,1.0
1642874,Danny Wolf,1610612751,BKN,55,14,41,1150.0,491,1956,1114,85.7,2.63,1.85,0.251,37,15,90,0.541,0.4,0.778
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,5,40,22,0.8,1.14,0.38,0.125,0,0,3,0.0,0.0,0.0
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,0,5,2,0.6,7.06,7.8,0.0,0,0,0,0.0,0.0,0.0
1629636,Darius Garland,1610612746,LAC,34,18,16,1010.0,619,2248,877,178.8,4.77,4.39,0.275,8,1,19,0.75,0.0,0.632
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,32,132,53,9.2,4.19,3.39,0.242,1,0,2,0.0,0.0,1.0
1631223,David Roddy,1610612743,DEN,2,1,1,12.0,2,31,12,1.6,3.11,1.74,0.065,0,0,1,0.0,0.0,0.0
1630558,Davion Mitchell,1610612748,MIA,59,33,26,1667.0,534,3818,1525,213.6,3.36,3.22,0.14,11,0,19,0.364,0.0,0.211
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,540,2177,1440,72.6,2.0,0.92,0.248,177,48,422,0.395,0.729,0.95
1628368,De'Aaron Fox,1610612759,SAS,61,46,15,1916.0,1162,4074,1518,294.9,4.34,3.9,0.285,35,2,48,0.657,1.0,0.938
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,615,1836,1024,73.3,2.4,1.71,0.335,37,4,58,0.946,0.0,0.879
1629001,De'Anthony Melton,1610612744,GSW,38,19,19,866.0,499,1923,869,122.4,3.82,3.38,0.259,34,2,62,0.294,2.0,0.581
201599,DeAndre Jordan,1610612740,NOP,10,6,4,163.0,41,190,101,4.1,1.28,0.21,0.216,10,1,38,0.6,1.0,0.921
1630610,DeJon Jarreau,1610612763,MEM,3,1,2,57.0,15,125,54,6.9,3.32,2.52,0.12,3,0,5,0.0,0.0,0.8
201942,DeMar DeRozan,1610612758,SAC,69,17,52,2184.0,1283,2986,1978,203.4,4.09,3.41,0.43,102,197,54,0.578,0.614,0.87
1629731,Dean Wade,1610612739,CLE,55,33,22,1235.0,322,1564,842,40.0,1.54,0.64,0.206,34,0,77,0.735,0.0,0.61
1629028,Deandre Ayton,1610612747,LAL,61,39,22,1682.0,759,2285,1072,56.6,1.49,0.39,0.332,231,62,570,0.602,0.855,1.032
1627749,Dejounte Murray,1610612740,NOP,9,5,4,246.0,175,604,189,57.1,5.67,5.44,0.29,1,1,3,2.0,0.0,0.667
1630166,Deni Avdija,1610612757,POR,54,27,27,1802.0,1305,4509,1887,312.7,4.16,3.72,0.289,60,28,86,0.617,0.357,0.767
203471,Dennis Schröder,1610612739,CLE,59,21,38,1479.0,673,3498,1385,267.5,4.59,4.06,0.192,6,3,13,0.333,0.0,0.385
1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,30,170,103,4.8,1.7,0.42,0.176,14,0,33,0.143,0.0,0.848
1642852,Derik Queen,1610612740,NOP,70,25,45,1731.0,803,3449,1798,166.3,2.89,1.77,0.233,102,86,194,0.667,0.407,1.026
1627884,Derrick Jones Jr.,1610612746,LAC,38,18,20,1039.0,420,1296,664,43.6,2.02,1.13,0.324,28,0,101,1.071,0.0,1.059
1628401,Derrick White,1610612738,BOS,66,44,22,2260.0,1147,5264,2306,362.3,4.13,3.61,0.218,12,0,73,1.0,0.0,0.493
1630217,Desmond Bane,1610612753,ORL,69,38,31,2356.0,1419,4194,2290,230.1,3.29,2.34,0.338,33,1,102,0.788,0.0,0.912
1626164,Devin Booker,1610612756,PHX,54,32,22,1810.0,1391,3488,2139,273.0,4.7,4.07,0.399,38,45,71,0.737,0.333,0.732
1642269,Devin Carter,1610612758,SAC,27,4,23,386.0,183,806,376,50.8,3.78,3.34,0.227,8,1,39,0.75,0.0,0.872
1630170,Devin Vassell,1610612759,SAS,56,43,13,1724.0,798,2410,1445,92.9,2.31,1.64,0.331,25,1,25,0.44,0.0,0.48
