PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,421,105,230,0.457,99,124,0.798,316,0.751,100,0.238,17,0.04,20,0.048,62,0.147
1631248,Baylor Scheierman,1610612738,BOS,64,44,20,1115.0,120,25,42,0.595,2,2,1.0,53,0.442,66,0.55,14,0.117,9,0.075,1,0.008
1642879,Ben Saraf,1610612751,BKN,32,8,24,587.0,236,37,81,0.457,23,28,0.821,99,0.419,113,0.479,30,0.127,24,0.102,14,0.059
1641767,Ben Sheppard,1610612754,IND,58,13,45,1245.0,122,24,53,0.453,15,18,0.833,64,0.525,53,0.434,9,0.074,7,0.057,9,0.074
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,321,68,146,0.466,63,70,0.9,208,0.648,103,0.321,17,0.053,26,0.081,37,0.115
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,16,2,4,0.5,0,0,0.0,4,0.25,8,0.5,2,0.125,4,0.25,0,0.0
1641731,Bilal Coulibaly,1610612764,WAS,47,13,34,1252.0,247,37,111,0.333,43,64,0.672,121,0.49,75,0.304,13,0.053,14,0.057,33,0.134
202687,Bismack Biyombo,1610612759,SAS,20,16,4,117.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642396,Blake Hinson,1610612762,UTA,10,3,7,202.0,8,3,3,1.0,0,0,0.0,6,0.75,5,0.625,0,0.0,0,0.0,0,0.0
1631104,Blake Wesley,1610612757,POR,23,14,9,301.0,123,17,35,0.486,5,8,0.625,40,0.325,74,0.602,19,0.154,6,0.049,4,0.033
1626171,Bobby Portis,1610612749,MIL,66,26,40,1600.0,99,28,63,0.444,4,8,0.5,60,0.606,24,0.242,2,0.02,6,0.061,4,0.04
1641752,Bobi Klintman,1610612765,DET,11,7,4,69.0,9,1,3,0.333,0,0,0.0,2,0.222,1,0.111,0,0.0,4,0.444,0,0.0
203992,Bogdan Bogdanović,1610612746,LAC,20,5,15,421.0,87,15,31,0.484,14,18,0.778,45,0.517,45,0.517,11,0.126,1,0.011,9,0.103
1630538,Bones Hyland,1610612750,MIN,61,38,23,925.0,162,39,71,0.549,8,14,0.571,89,0.549,72,0.444,15,0.093,8,0.049,7,0.043
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,19,1,10,0.1,2,2,1.0,4,0.211,5,0.263,3,0.158,2,0.105,1,0.053
1642382,Branden Carlson,1610612760,OKC,35,27,8,376.0,10,2,8,0.25,0,2,0.0,4,0.4,0,0.0,0,0.0,1,0.1,1,0.1
1641764,Brandin Podziemski,1610612744,GSW,69,33,36,1941.0,527,91,186,0.489,53,70,0.757,242,0.459,263,0.499,57,0.108,30,0.057,36,0.068
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,5,0,2,0.0,0,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0
1627742,Brandon Ingram,1610612761,TOR,66,38,28,2251.0,689,163,320,0.509,88,108,0.815,423,0.614,245,0.356,52,0.075,53,0.077,54,0.078
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,468,105,242,0.434,65,74,0.878,283,0.605,142,0.303,32,0.068,39,0.083,38,0.081
