PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
203952,Andrew Wiggins,1610612748,MIA,57,30,27,1765.0,101,63,38,0.624,218,0.463,5,0.474,5.8,190,64,125,0.337,379,0.501,57,0.59,6.4,291,127,163,0.436,586,0.497,62,0.555,6.2
1629014,Anfernee Simons,1610612741,CHI,49,27,22,1235.0,31,8,23,0.258,65,0.477,1,0.484,13.4,104,23,81,0.221,186,0.559,16,0.612,9.2,135,31,104,0.23,248,0.544,17,0.584,10.1
1641710,Anthony Black,1610612753,ORL,59,32,27,1824.0,44,17,26,0.386,126,0.349,7,0.37,11.8,188,33,154,0.176,321,0.586,29,0.644,7.6,232,50,180,0.216,443,0.524,36,0.57,8.4
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,62,49,13,0.79,119,0.521,6,0.549,3.3,159,57,102,0.358,253,0.628,21,0.685,5.3,221,106,115,0.48,358,0.617,27,0.668,4.7
1630162,Anthony Edwards,1610612750,MIN,57,34,23,2027.0,35,8,26,0.229,76,0.461,1,0.467,15.5,257,58,199,0.226,396,0.649,33,0.708,6.9,292,66,225,0.226,466,0.627,34,0.676,7.9
1630264,Anthony Gill,1610612764,WAS,28,5,23,531.0,39,19,20,0.487,87,0.448,0,0.448,7.2,65,26,39,0.4,118,0.551,11,0.607,5.9,104,45,59,0.433,198,0.525,11,0.556,6.4
1641810,Antonio Reeves,1610612766,CHA,4,2,2,41.0,2,1,1,0.5,4,0.5,0,0.5,9.6,6,2,4,0.333,7,0.857,0,0.857,7.2,8,3,5,0.375,11,0.727,0,0.727,7.8
1630574,Ariel Hukporti,1610612752,NYK,35,23,12,378.0,45,28,17,0.622,116,0.388,4,0.402,5.2,89,30,59,0.337,163,0.546,22,0.631,5.7,134,58,76,0.433,272,0.493,26,0.545,5.5
1642854,Asa Newell,1610612737,ATL,28,12,16,362.0,37,26,11,0.703,84,0.44,3,0.457,6.3,44,16,28,0.364,76,0.579,7,0.638,6.1,81,42,39,0.519,156,0.519,10,0.555,6.2
1641709,Ausar Thompson,1610612765,DET,59,43,16,1533.0,127,85,42,0.669,248,0.512,9,0.531,5.9,224,61,163,0.272,349,0.642,24,0.689,6.9,351,146,205,0.416,579,0.606,33,0.643,6.6
1630559,Austin Reaves,1610612747,LAL,43,30,13,1486.0,29,10,19,0.345,79,0.367,3,0.382,12.8,180,31,149,0.172,295,0.61,21,0.657,8.0,209,41,168,0.196,366,0.571,24,0.611,8.7
1630245,Ayo Dosunmu,1610612750,MIN,58,30,28,1551.0,39,15,24,0.385,99,0.394,2,0.402,13.2,145,29,116,0.2,270,0.537,25,0.592,9.3,184,44,140,0.239,363,0.507,27,0.548,10.2
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,127,76,51,0.598,283,0.449,11,0.467,7.2,467,123,344,0.263,675,0.692,60,0.759,5.7,594,199,395,0.335,918,0.647,71,0.701,6.0
1631248,Baylor Scheierman,1610612738,BOS,55,39,16,1050.0,46,17,29,0.37,124,0.371,4,0.383,11.9,177,46,131,0.26,270,0.656,24,0.72,7.1,223,63,160,0.283,376,0.593,28,0.641,8.1
1642879,Ben Saraf,1610612751,BKN,24,5,19,457.0,9,4,5,0.444,38,0.237,1,0.243,13.1,39,12,27,0.308,65,0.6,7,0.672,7.7,48,16,32,0.333,100,0.48,8,0.522,8.7
1641767,Ben Sheppard,1610612754,IND,54,13,41,1189.0,39,14,25,0.359,85,0.459,4,0.481,10.8,138,29,109,0.21,217,0.636,27,0.726,8.2,177,43,134,0.243,288,0.615,31,0.689,8.8
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,43,22,21,0.512,121,0.355,4,0.368,8.7,203,38,165,0.187,303,0.67,21,0.72,7.2,246,60,186,0.244,405,0.607,25,0.647,7.5
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,6,1,5,0.167,9,0.667,0,0.667,13.5,8,3,5,0.375,16,0.5,2,0.571,9.1,14,4,10,0.286,25,0.56,2,0.609,11.0
1641731,Bilal Coulibaly,1610612764,WAS,46,13,33,1228.0,40,20,20,0.5,125,0.32,5,0.333,7.3,168,40,125,0.238,267,0.629,25,0.694,6.5,208,60,145,0.288,370,0.562,30,0.612,6.6
202687,Bismack Biyombo,1610612759,SAS,14,13,1,97.0,4,2,2,0.5,25,0.16,3,0.182,5.8,15,4,11,0.267,37,0.405,5,0.469,4.3,19,6,13,0.316,58,0.328,8,0.38,4.7
1642396,Blake Hinson,1610612762,UTA,9,3,6,184.0,8,3,5,0.375,14,0.571,1,0.615,11.9,16,3,12,0.188,26,0.615,3,0.696,8.3,24,6,17,0.25,38,0.632,4,0.706,9.6
1631104,Blake Wesley,1610612757,POR,14,6,8,230.0,7,2,5,0.286,16,0.438,0,0.438,15.6,22,2,20,0.091,34,0.647,5,0.759,6.2,29,4,25,0.138,50,0.58,5,0.644,8.5
1626171,Bobby Portis,1610612749,MIL,65,26,39,1583.0,86,50,35,0.581,199,0.432,3,0.439,6.8,336,84,252,0.25,541,0.621,39,0.669,5.5,422,134,287,0.318,700,0.603,42,0.641,5.7
1641752,Bobi Klintman,1610612765,DET,6,3,3,47.0,5,3,2,0.6,12,0.417,0,0.417,10.4,13,4,9,0.308,18,0.722,3,0.867,5.2,18,7,11,0.389,28,0.643,3,0.72,6.7
203992,Bogdan Bogdanović,1610612746,LAC,18,4,14,399.0,6,1,5,0.167,21,0.286,3,0.333,20.0,49,9,40,0.184,95,0.516,16,0.62,8.7,55,10,45,0.182,115,0.478,19,0.573,9.9
1630538,Bones Hyland,1610612750,MIN,46,30,16,753.0,21,4,17,0.19,40,0.525,1,0.538,14.2,79,23,56,0.291,124,0.637,10,0.693,9.9,100,27,73,0.27,161,0.621,11,0.667,10.8
203078,Bradley Beal,1610612746,LAC,5,2,3,101.0,2,1,1,0.5,4,0.5,0,0.5,12.4,3,0,3,0.0,9,0.333,0,0.333,9.0,5,1,4,0.2,13,0.385,0,0.385,10.4
1642382,Branden Carlson,1610612760,OKC,25,20,5,331.0,24,14,10,0.583,69,0.348,6,0.381,7.0,68,15,53,0.221,114,0.596,11,0.66,4.3,92,29,63,0.315,175,0.526,17,0.582,5.0
1641764,Brandin Podziemski,1610612744,GSW,68,33,35,1911.0,65,31,29,0.477,164,0.396,8,0.417,9.9,296,61,232,0.206,458,0.646,43,0.713,6.5,361,92,261,0.255,615,0.587,51,0.64,7.1
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,4,4,0,1.0,6,0.667,0,0.667,2.0,2,1,1,0.5,6,0.333,1,0.4,4.6,6,5,1,0.833,12,0.5,1,0.545,2.9
1627742,Brandon Ingram,1610612761,TOR,62,36,26,2147.0,52,27,24,0.519,139,0.374,5,0.388,9.2,315,94,221,0.298,477,0.66,23,0.694,6.3,367,121,245,0.33,597,0.615,28,0.645,6.7
1641706,Brandon Miller,1610612766,CHA,51,32,19,1557.0,56,17,39,0.304,119,0.471,6,0.496,13.1,210,49,161,0.233,359,0.585,42,0.662,6.8,266,66,200,0.248,471,0.565,48,0.629,8.1
1630314,Brandon Williams,1610612742,DAL,53,20,33,1237.0,28,9,19,0.321,91,0.308,4,0.322,12.9,148,34,114,0.23,260,0.569,22,0.622,8.3,176,43,133,0.244,345,0.51,26,0.552,9.1
1641729,Brice Sensabaugh,1610612762,UTA,60,17,43,1412.0,54,22,32,0.407,126,0.429,5,0.446,12.7,144,31,113,0.215,249,0.578,18,0.623,7.2,198,53,145,0.268,363,0.545,23,0.582,8.7
1642355,Bronny James,1610612747,LAL,9,3,6,124.0,4,3,1,0.75,7,0.571,1,0.667,10.4,11,2,9,0.182,26,0.423,1,0.44,8.8,15,5,10,0.333,33,0.455,2,0.484,9.2
201572,Brook Lopez,1610612746,LAC,56,33,23,1206.0,31,25,6,0.806,79,0.392,2,0.403,4.1,163,72,91,0.442,309,0.528,45,0.617,6.3,194,97,97,0.5,381,0.509,47,0.581,6.0
1642964,Brooks Barnhizer,1610612760,OKC,27,22,5,252.0,13,8,4,0.615,35,0.371,1,0.382,7.4,47,4,43,0.085,68,0.691,3,0.723,5.8,60,12,47,0.2,98,0.612,4,0.638,6.2
1628971,Bruce Brown,1610612743,DEN,68,41,27,1688.0,76,26,50,0.342,184,0.413,9,0.434,9.1,192,28,163,0.146,314,0.611,29,0.674,7.3,268,54,213,0.201,485,0.553,38,0.6,7.8
1631121,Bryce McGowens,1610612740,NOP,35,13,22,812.0,12,7,5,0.583,46,0.261,1,0.267,12.7,76,16,60,0.211,142,0.535,12,0.585,7.6,88,23,65,0.261,185,0.476,13,0.512,8.3
1642267,Bub Carrington,1610612764,WAS,65,14,51,1827.0,31,11,20,0.355,66,0.47,3,0.492,12.7,220,41,177,0.186,342,0.643,31,0.707,8.0,251,52,197,0.207,402,0.624,34,0.682,8.6
1627741,Buddy Hield,1610612737,ATL,39,21,18,700.0,26,12,14,0.462,83,0.313,3,0.325,11.1,82,16,66,0.195,144,0.569,12,0.621,6.9,108,28,80,0.259,217,0.498,15,0.535,7.9
203468,CJ McCollum,1610612737,ATL,59,25,34,1762.0,50,13,37,0.26,112,0.446,0,0.446,13.1,168,29,139,0.173,265,0.634,18,0.68,9.5,218,42,176,0.193,372,0.586,18,0.616,10.3
1630595,Cade Cunningham,1610612765,DET,60,44,16,2056.0,53,25,28,0.472,136,0.39,1,0.393,9.7,283,66,217,0.233,431,0.657,29,0.704,8.0,336,91,245,0.271,556,0.604,30,0.639,8.3
1631216,Caleb Houstan,1610612737,ATL,5,4,1,38.0,4,3,1,0.75,7,0.571,0,0.571,11.1,2,1,1,0.5,3,0.667,0,0.667,12.8,6,4,2,0.667,10,0.6,0,0.6,11.7
1631126,Caleb Love,1610612757,POR,36,17,19,866.0,25,6,19,0.24,59,0.424,1,0.431,16.8,89,16,72,0.18,128,0.695,5,0.724,8.8,114,22,91,0.193,183,0.623,6,0.644,10.6
1628997,Caleb Martin,1610612742,DAL,50,17,33,791.0,28,7,21,0.25,59,0.475,3,0.5,8.1,115,22,93,0.191,194,0.593,25,0.68,7.9,143,29,114,0.203,249,0.574,28,0.647,7.9
1642353,Cam Christie,1610612746,LAC,30,13,17,353.0,17,6,11,0.353,36,0.472,1,0.486,9.6,52,8,44,0.154,93,0.559,9,0.619,7.7,69,14,55,0.203,127,0.543,10,0.59,8.2
