PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
1642933,Keshon Gilbert,1610612737,ATL,3,0,3,48.0,52,3,1,1,1.0,2,2,1.0,4,1.333,1,0.333,0,0.0,0,0.0,1,0.333
201142,Kevin Durant,1610612745,HOU,65,38,27,2373.0,4176,49,26,33,0.788,11,12,0.917,64,1.306,6,0.122,0,0.0,4,0.082,4,0.082
1628989,Kevin Huerter,1610612765,DET,58,32,26,1278.0,2149,88,47,66,0.712,4,8,0.5,99,1.125,16,0.182,2,0.023,0,0.0,4,0.045
201567,Kevin Love,1610612762,UTA,37,10,27,613.0,1129,59,14,36,0.389,10,12,0.833,39,0.661,13,0.22,2,0.034,3,0.051,5,0.085
1641755,Kevin McCullar Jr.,1610612752,NYK,20,11,9,130.0,216,11,4,7,0.571,0,2,0.0,8,0.727,3,0.273,0,0.0,0,0.0,1,0.091
1629645,Kevin Porter Jr.,1610612749,MIL,38,18,20,1261.0,3025,43,13,21,0.619,2,2,1.0,30,0.698,16,0.372,3,0.07,3,0.07,1,0.023
1626172,Kevon Looney,1610612740,NOP,18,2,16,251.0,407,53,19,29,0.655,4,4,1.0,42,0.792,20,0.377,6,0.113,2,0.038,2,0.038
1641718,Keyonte George,1610612762,UTA,54,16,38,1786.0,4252,35,16,23,0.696,6,8,0.75,39,1.114,7,0.2,1,0.029,0,0.0,4,0.114
1642863,Khaman Maluach,1610612756,PHX,35,17,18,260.0,309,69,26,41,0.634,6,8,0.75,58,0.841,15,0.217,1,0.014,6,0.087,3,0.043
203114,Khris Middleton,1610612742,DAL,52,16,36,1252.0,1745,56,15,29,0.517,8,10,0.8,39,0.696,19,0.339,3,0.054,1,0.018,4,0.071
1630165,Killian Hayes,1610612758,SAC,12,6,6,210.0,444,5,2,3,0.667,0,0,0.0,4,0.8,2,0.4,1,0.2,0,0.0,0,0.0
202691,Klay Thompson,1610612742,DAL,60,18,42,1315.0,1528,27,11,21,0.524,0,2,0.0,22,0.815,4,0.148,0,0.0,1,0.037,1,0.037
1641738,Kobe Brown,1610612754,IND,51,15,36,707.0,1026,70,20,34,0.588,10,12,0.833,50,0.714,24,0.343,2,0.029,4,0.057,6,0.086
1641723,Kobe Bufkin,1610612747,LAL,11,7,4,90.0,148,2,1,1,1.0,0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0
1642920,Kobe Sanders,1610612746,LAC,58,30,28,1192.0,1660,41,17,25,0.68,0,0,0.0,36,0.878,13,0.317,3,0.073,1,0.024,0,0.0
1642886,Koby Brea,1610612756,PHX,5,1,4,23.0,38,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642851,Kon Knueppel,1610612766,CHA,69,36,33,2189.0,3593,95,26,37,0.703,10,10,1.0,63,0.663,46,0.484,8,0.084,5,0.053,4,0.042
1627739,Kris Dunn,1610612746,LAC,70,34,36,1931.0,3665,107,28,43,0.651,4,4,1.0,60,0.561,58,0.542,16,0.15,2,0.019,0,0.0
1631200,Kris Murray,1610612757,POR,45,20,25,1069.0,924,117,26,47,0.553,12,14,0.857,67,0.573,50,0.427,9,0.077,7,0.06,7,0.06
204001,Kristaps Porziņģis,1610612744,GSW,23,10,13,544.0,904,114,39,60,0.65,32,40,0.8,114,1.0,13,0.114,1,0.009,5,0.044,20,0.175
203937,Kyle Anderson,1610612750,MIN,32,10,22,625.0,1060,59,20,31,0.645,4,10,0.4,44,0.746,17,0.288,5,0.085,4,0.068,5,0.085
1642271,Kyle Filipowski,1610612762,UTA,68,21,47,1558.0,2687,216,79,127,0.622,28,41,0.683,190,0.88,44,0.204,10,0.046,13,0.06,23,0.106
1628398,Kyle Kuzma,1610612749,MIL,64,27,37,1691.0,2807,156,65,109,0.596,10,18,0.556,142,0.91,31,0.199,10,0.064,4,0.026,8,0.051
200768,Kyle Lowry,1610612755,PHI,11,6,5,99.0,150,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642273,Kyshawn George,1610612764,WAS,48,10,38,1391.0,2798,50,18,25,0.72,4,4,1.0,41,0.82,18,0.36,5,0.1,0,0.0,2,0.04
1643018,LJ Cryer,1610612744,GSW,9,3,6,116.0,203,3,0,0,0.0,0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0
1630163,LaMelo Ball,1610612766,CHA,60,33,27,1654.0,4335,55,20,29,0.69,0,0,0.0,43,0.782,18,0.327,4,0.073,3,0.055,1,0.018
1642950,Lachlan Olbrich,1610612741,CHI,26,7,19,164.0,279,29,9,14,0.643,2,2,1.0,20,0.69,10,0.345,2,0.069,2,0.069,1,0.034
1629013,Landry Shamet,1610612752,NYK,45,29,16,1038.0,1252,34,12,15,0.8,2,2,1.0,28,0.824,16,0.471,4,0.118,2,0.059,0,0.0
1626204,Larry Nance Jr.,1610612739,CLE,29,21,8,353.0,450,52,12,30,0.4,0,0,0.0,24,0.462,16,0.308,2,0.038,3,0.058,0,0.0
1628374,Lauri Markkanen,1610612762,UTA,42,17,25,1443.0,2223,218,110,162,0.679,29,34,0.853,259,1.188,16,0.073,1,0.005,7,0.032,15,0.069
