PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT
1630559,Austin Reaves,1610612747,LAL,44,31,13,1513.0,3187,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1630245,Ayo Dosunmu,1610612750,MIN,61,32,29,1615.0,3122,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,3446,147,25,63,0.397,19,24,0.792,70,0.476,57,0.388,12,0.082,10,0.068,12,0.082
1631248,Baylor Scheierman,1610612738,BOS,64,44,20,1115.0,1277,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642879,Ben Saraf,1610612751,BKN,32,8,24,587.0,1355,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1641767,Ben Sheppard,1610612754,IND,58,13,45,1245.0,1993,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,2365,9,1,2,0.5,3,4,0.75,5,0.556,3,0.333,0,0.0,2,0.222,2,0.222
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,155,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1641731,Bilal Coulibaly,1610612764,WAS,47,13,34,1252.0,2129,2,0,0,0.0,2,2,1.0,2,1.0,1,0.5,1,0.5,0,0.0,1,0.5
202687,Bismack Biyombo,1610612759,SAS,20,16,4,117.0,137,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
1642396,Blake Hinson,1610612762,UTA,10,3,7,202.0,237,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631104,Blake Wesley,1610612757,POR,23,14,9,301.0,659,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1626171,Bobby Portis,1610612749,MIL,66,26,40,1600.0,3043,164,45,84,0.536,13,14,0.929,104,0.634,62,0.378,17,0.104,8,0.049,7,0.043
1641752,Bobi Klintman,1610612765,DET,11,7,4,69.0,97,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
203992,Bogdan Bogdanović,1610612746,LAC,20,5,15,421.0,743,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1630538,Bones Hyland,1610612750,MIN,61,38,23,925.0,2184,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,177,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642382,Branden Carlson,1610612760,OKC,35,27,8,376.0,523,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1641764,Brandin Podziemski,1610612744,GSW,69,33,36,1941.0,4156,8,2,2,1.0,0,0,0.0,4,0.5,6,0.75,1,0.125,0,0.0,0,0.0
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,27,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1627742,Brandon Ingram,1610612761,TOR,66,38,28,2251.0,3687,101,20,49,0.408,8,10,0.8,49,0.485,36,0.356,8,0.079,6,0.059,5,0.05
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,3155,14,2,8,0.25,1,2,0.5,5,0.357,4,0.286,0,0.0,1,0.071,1,0.071
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,2884,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,2241,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,415,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,1512,80,29,47,0.617,6,8,0.75,67,0.838,24,0.3,7,0.088,2,0.025,4,0.05
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,289,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,2599,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,1147,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,4079,5,1,4,0.25,0,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,0,0.0
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,1407,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
203468,CJ McCollum,1610612737,ATL,64,29,35,1909.0,3668,3,1,2,0.5,0,0,0.0,2,0.667,1,0.333,0,0.0,0,0.0,0,0.0
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,5502,71,20,37,0.541,1,2,0.5,43,0.606,28,0.394,12,0.169,2,0.028,1,0.014
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,63,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,1828,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,1040,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
