PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
1642879,Ben Saraf,1610612751,BKN,32,8,24,587.0,186,99,0.457,30,0.227,11,0.16,8,0.375,0,0.0,4,0.667,0.418
1641767,Ben Sheppard,1610612754,IND,58,13,45,1245.0,405,64,0.453,210,0.372,35,0.311,24,0.556,0,0.0,7,0.333,0.533
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,815,208,0.466,133,0.384,202,0.368,121,0.721,5,0.5,46,0.556,0.492
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,11,4,0.5,3,0.143,0,0.0,2,0.5,0,0.0,0,0.0,0.281
1641731,Bilal Coulibaly,1610612764,WAS,47,13,34,1252.0,519,121,0.333,144,0.324,39,0.304,91,0.691,2,0.0,22,0.727,0.478
202687,Bismack Biyombo,1610612759,SAS,20,16,4,117.0,17,0,0.0,0,0.0,0,0.0,11,0.556,0,0.0,0,0.0,0.545
1642396,Blake Hinson,1610612762,UTA,10,3,7,202.0,96,6,1.0,72,0.511,7,0.3,6,0.429,0,0.0,2,0.25,0.674
1631104,Blake Wesley,1610612757,POR,23,14,9,301.0,120,40,0.486,30,0.345,4,0.118,6,0.5,0,0.0,2,0.5,0.51
1626171,Bobby Portis,1610612749,MIL,66,26,40,1600.0,904,60,0.444,452,0.471,173,0.461,167,0.621,104,0.536,46,0.667,0.581
1641752,Bobi Klintman,1610612765,DET,11,7,4,69.0,20,2,0.333,12,0.308,0,0.0,0,0.0,0,0.0,0,0.0,0.385
203992,Bogdan Bogdanović,1610612746,LAC,20,5,15,421.0,154,45,0.484,36,0.267,74,0.453,4,0.5,0,0.0,0,0.0,0.486
1630538,Bones Hyland,1610612750,MIN,61,38,23,925.0,465,89,0.549,160,0.409,136,0.41,8,0.571,2,1.0,6,1.0,0.587
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,49,4,0.1,21,0.438,8,0.222,8,0.5,0,0.0,0,0.0,0.448
1642382,Branden Carlson,1610612760,OKC,35,27,8,376.0,170,4,0.25,60,0.323,3,0.25,88,0.778,0,0.0,14,0.6,0.601
1641764,Brandin Podziemski,1610612744,GSW,69,33,36,1941.0,892,242,0.489,244,0.38,233,0.343,68,0.66,4,1.0,29,0.632,0.53
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,8,0,0.0,0,0.0,0,0.0,4,0.5,0,0.0,2,0.5,0.333
1627742,Brandon Ingram,1610612761,TOR,66,38,28,2251.0,1443,423,0.509,348,0.413,524,0.459,105,0.705,49,0.408,36,0.405,0.526
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,1081,283,0.434,368,0.399,289,0.378,86,0.745,5,0.25,40,0.5,0.525
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,769,408,0.509,83,0.25,120,0.434,22,0.727,0,0.0,12,0.5,0.503
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,920,242,0.563,304,0.36,216,0.397,35,0.448,0,0.0,27,0.6,0.547
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,66,10,0.313,17,0.4,31,0.353,6,0.75,0,0.0,0,0.0,0.492
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,481,42,0.385,256,0.348,56,0.387,87,0.603,67,0.617,25,0.455,0.515
