PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,123,310,0.397,365,119,295,0.403,0.589
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,28,112,0.25,83,27,109,0.248,0.371
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,100,281,0.356,298,98,275,0.356,0.53
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,6,15,0.4,17,5,14,0.357,0.567
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,84,236,0.356,244,76,220,0.345,0.517
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,6,18,0.333,17,5,17,0.294,0.472
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,45,118,0.381,133,43,113,0.381,0.564
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,33,81,0.407,99,33,81,0.407,0.611
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,60,160,0.375,180,60,156,0.385,0.563
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,2,4,0.5,6,2,4,0.5,0.75
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,54,144,0.375,162,54,143,0.378,0.563
203468,CJ McCollum,1610612737,ATL,64,29,35,1908.0,82,221,0.371,239,75,211,0.355,0.541
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,51,147,0.347,143,41,135,0.304,0.486
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,6,12,0.5,18,6,12,0.5,0.75
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,68,196,0.347,204,68,194,0.351,0.52
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,23,64,0.359,65,19,49,0.388,0.508
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,11,38,0.289,33,11,37,0.297,0.434
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,71,152,0.467,205,63,140,0.45,0.674
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,20,58,0.345,60,20,55,0.364,0.517
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,6,16,0.375,18,6,16,0.375,0.563
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,72,171,0.421,214,70,165,0.424,0.626
1626166,Cameron Payne,1610612755,PHI,16,8,8,273.0,7,24,0.292,21,7,24,0.292,0.438
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,35,96,0.365,104,34,94,0.362,0.542
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,38,114,0.333,114,38,114,0.333,0.5
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,72,210,0.343,215,71,207,0.343,0.512
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,63,188,0.335,185,59,182,0.324,0.492
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,4,9,0.444,12,4,9,0.444,0.667
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,0,1,0.0,0,,,,0.0
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,18,49,0.367,52,16,46,0.348,0.531
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,74,198,0.374,210,62,174,0.356,0.53
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,2,14,0.143,6,2,14,0.143,0.214
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,0,3,0.0,0,0,3,0.0,0.0
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,0,2,0.0,0,0,2,0.0,0.0
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,3,11,0.273,9,3,11,0.273,0.409
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,15,47,0.319,45,15,47,0.319,0.479
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,29,96,0.302,85,27,91,0.297,0.443
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,2,12,0.167,5,1,5,0.2,0.208
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,0,4,0.0,0,0,4,0.0,0.0
203991,Clint Capela,1610612745,HOU,62,37,25,776.0,0,0,,0,,,,
1629632,Coby White,1610612766,CHA,39,21,18,1043.0,60,153,0.392,178,58,151,0.384,0.582
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,0,4,0.0,0,0,4,0.0,0.0
1642262,Cody Williams,1610612762,UTA,56,15,41,1244.0,25,93,0.269,75,25,92,0.272,0.403
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,0,2,0.0,0,0,2,0.0,0.0
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,14,43,0.326,42,14,43,0.326,0.488
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,0,0,,0,,,,
1631221,Collin Gillespie,1610612756,PHX,69,38,31,1998.0,122,246,0.496,362,118,239,0.494,0.736
1642867,Collin Murray-Boyles,1610612761,TOR,47,25,22,1046.0,19,60,0.317,54,16,47,0.34,0.45
1629012,Collin Sexton,1610612741,CHI,56,22,34,1275.0,60,139,0.432,177,57,133,0.429,0.637
1642843,Cooper Flagg,1610612742,DAL,58,19,39,1946.0,31,97,0.32,87,25,88,0.284,0.448
1630557,Corey Kispert,1610612737,ATL,48,21,27,933.0,63,171,0.368,189,63,170,0.371,0.553
1642504,Cormac Ryan,1610612749,MIL,1,0,1,8.0,1,3,0.333,3,1,3,0.333,0.5
1641854,Craig Porter Jr.,1610612739,CLE,58,39,19,1024.0,14,40,0.35,42,14,40,0.35,0.525
1642938,Curtis Jones,1610612743,DEN,6,4,2,31.0,2,7,0.286,5,1,6,0.167,0.357
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,19,58,0.328,56,18,57,0.316,0.483
1641747,DaRon Holmes II,1610612743,DEN,19,11,8,194.0,19,42,0.452,55,17,40,0.425,0.655
1631342,Daeqwon Plowden,1610612758,SAC,22,6,16,545.0,29,97,0.299,87,29,97,0.299,0.448
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,0,0,,0,,,,
1631207,Dalen Terry,1610612755,PHI,44,19,25,515.0,19,52,0.365,57,19,52,0.365,0.548
1642261,Dalton Knecht,1610612747,LAL,48,29,19,509.0,27,82,0.329,81,27,82,0.329,0.494
1629655,Daniel Gafford,1610612742,DAL,49,11,38,1062.0,2,3,0.667,4,,,,0.667
1642450,Daniss Jenkins,1610612765,DET,59,44,15,1040.0,38,85,0.447,112,36,81,0.444,0.659
1642874,Danny Wolf,1610612751,BKN,55,14,41,1150.0,55,171,0.322,165,55,171,0.322,0.482
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,1,3,0.333,3,1,3,0.333,0.5
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,0,0,,0,,,,
1629636,Darius Garland,1610612746,LAC,34,18,16,1010.0,41,104,0.394,122,40,103,0.388,0.587
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,1,3,0.333,3,1,2,0.5,0.5
1631223,David Roddy,1610612743,DEN,2,1,1,12.0,0,1,0.0,0,0,1,0.0,0.0
1630558,Davion Mitchell,1610612748,MIA,59,33,26,1667.0,55,134,0.41,164,54,133,0.406,0.612
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,8,35,0.229,24,8,34,0.235,0.343
1628368,De'Aaron Fox,1610612759,SAS,61,46,15,1916.0,69,176,0.392,200,62,163,0.38,0.568
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,64,194,0.33,188,60,185,0.324,0.485
1629001,De'Anthony Melton,1610612744,GSW,38,19,19,866.0,49,135,0.363,145,47,133,0.353,0.537
201599,DeAndre Jordan,1610612740,NOP,10,6,4,163.0,0,0,,0,,,,
1630610,DeJon Jarreau,1610612763,MEM,3,1,2,57.0,0,1,0.0,0,0,1,0.0,0.0
201942,DeMar DeRozan,1610612758,SAC,70,17,53,2208.0,71,173,0.41,177,35,102,0.343,0.512
1629731,Dean Wade,1610612739,CLE,55,33,22,1235.0,65,179,0.363,194,64,178,0.36,0.542
1629028,Deandre Ayton,1610612747,LAL,61,39,22,1682.0,35,71,0.493,70,,,,0.493
1627749,Dejounte Murray,1610612740,NOP,9,5,4,246.0,9,20,0.45,27,9,20,0.45,0.675
1630166,Deni Avdija,1610612757,POR,54,27,27,1803.0,78,208,0.375,231,75,203,0.369,0.555
203471,Dennis Schröder,1610612739,CLE,59,21,38,1479.0,55,153,0.359,164,54,147,0.367,0.536
1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,0,0,,0,,,,
1642852,Derik Queen,1610612740,NOP,70,25,45,1731.0,28,87,0.322,74,18,61,0.295,0.425
1627884,Derrick Jones Jr.,1610612746,LAC,38,18,20,1039.0,45,123,0.366,134,44,121,0.364,0.545
1628401,Derrick White,1610612738,BOS,66,44,22,2260.0,95,288,0.33,285,95,287,0.331,0.495
1630217,Desmond Bane,1610612753,ORL,69,38,31,2356.0,88,198,0.444,260,84,188,0.447,0.657
1626164,Devin Booker,1610612756,PHX,54,32,22,1810.0,45,118,0.381,131,41,104,0.394,0.555
1642269,Devin Carter,1610612758,SAC,27,4,23,386.0,6,38,0.158,18,6,38,0.158,0.237
1630170,Devin Vassell,1610612759,SAS,56,43,13,1724.0,139,337,0.412,402,124,313,0.396,0.596
1628415,Dillon Brooks,1610612756,PHX,50,30,20,1530.0,77,216,0.356,227,73,206,0.354,0.525
1641794,Dillon Jones,1610612752,NYK,5,4,1,24.0,1,2,0.5,3,1,2,0.5,0.75
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,13,39,0.333,31,5,27,0.185,0.397
1631230,Dominick Barlow,1610612755,PHI,59,33,26,1449.0,26,91,0.286,73,21,77,0.273,0.401
1642270,Donovan Clingan,1610612757,POR,65,33,32,1774.0,62,180,0.344,183,59,176,0.335,0.508
1628378,Donovan Mitchell,1610612739,CLE,61,38,23,2043.0,96,230,0.417,281,89,217,0.41,0.611
1628978,Donte DiVincenzo,1610612750,MIN,70,43,27,2155.0,165,424,0.389,494,164,422,0.389,0.583
1627827,Dorian Finney-Smith,1610612745,HOU,32,20,12,562.0,24,86,0.279,72,24,86,0.279,0.419
