player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
1449,Larry Bird,BOS,20,520,425,400,25,136,0,51.43,53.63,-2.2,196,7,121
1450,Kevin McHale,BOS,21,465,303,303,0,150,0,61.51,63.01,-1.5,172,0,121
76673,Alex English,DEN,14,423,304,303,1,109,0,58.91,60.09,-1.18,163,0,97
76003,Kareem Abdul-Jabbar,LAL,19,416,300,300,0,103,0,59.17,60.23,-1.06,168,0,80
1460,James Worthy,LAL,19,408,267,265,2,111,0,63.06,64.59,-1.53,166,1,75
77141,Dennis Johnson,BOS,21,364,319,305,14,93,0,48.86,50.57,-1.71,142,0,80
305,Robert Parish,BOS,21,359,276,276,0,111,0,54.15,55.26,-1.11,136,0,87
77691,Calvin Natt,DEN,15,334,238,238,0,89,0,59.12,60.25,-1.13,131,0,72
77142,Magic Johnson,LAL,19,333,226,219,7,118,0,57.71,59.91,-2.2,116,1,100
2,Byron Scott,LAL,19,321,267,246,21,44,0,53.59,56.05,-2.46,138,10,35
77449,Moses Malone,PHL,13,262,212,211,1,103,0,49.62,50.91,-1.29,90,0,82
76504,Adrian Dantley,UTH,10,253,151,150,1,122,0,59.53,61.8,-2.27,79,0,95
76017,Danny Ainge,BOS,21,231,208,192,16,39,0,49.04,51.3,-2.26,97,7,30
76681,Julius Erving,PHL,13,222,187,186,1,63,0,50.68,51.7,-1.02,84,0,54
187,Terry Cummings,MIL,8,220,149,148,1,58,0,61.62,63.03,-1.41,86,0,48
78351,Andrew Toney,PHL,13,219,174,160,14,61,0,51.77,54.52,-2.75,83,6,47
78318,Isiah Thomas,DET,9,219,166,151,15,62,0,53.55,56.65,-3.1,83,6,47
77498,Bob McAdoo,LAL,19,217,193,192,1,47,0,50.0,50.78,-0.78,91,0,35
78404,Kiki Vandeweghe,POR,9,202,158,151,7,33,0,56.74,58.54,-1.8,85,1,31
76385,Maurice Cheeks,PHL,13,198,153,148,5,42,0,56.09,57.73,-1.64,81,0,36
76444,Michael Cooper,LAL,19,198,126,100,26,52,0,60.0,66.5,-6.5,71,8,48
787,Charles Barkley,PHL,13,194,139,133,6,63,0,55.91,58.18,-2.27,75,4,40
77530,Mike McGee,LAL,17,190,142,124,18,42,0,55.23,59.2,-3.97,76,9,29
77097,Dan Issel,DEN,15,186,159,158,1,48,0,50.68,51.63,-0.95,73,1,39
77626,Sidney Moncrief,MIL,8,184,99,89,10,75,0,65.02,69.7,-4.68,55,4,70
78482,Scott Wedman,BOS,21,182,134,112,22,38,0,55.49,60.38,-4.89,73,10,26
76890,Darrell Griffith,UTH,10,175,158,122,36,25,0,46.42,51.78,-5.36,72,13,18
1847,Thurl Bailey,UTH,10,169,152,152,0,55,0,47.08,47.96,-0.88,62,0,45
76441,Wayne Cooper,DEN,15,164,143,143,0,40,0,50.31,51.06,-0.75,67,0,30
76686,Mike Evans,DEN,15,155,143,92,51,17,0,43.79,51.5,-7.71,62,17,14
17,Clyde Drexler,POR,9,150,134,127,7,45,0,46.88,48.76,-1.88,55,2,38
76874,Rickey Green,UTH,10,150,106,99,7,38,0,58.37,61.11,-2.74,57,1,35
77376,Lafayette Lever,DEN,11,146,122,120,2,63,0,47.25,48.76,-1.51,49,0,48
78369,Kelly Tripucka,DET,9,133,118,117,1,40,0,48.01,49.04,-1.03,49,0,35
78331,Mychal Thompson,POR,9,133,102,102,0,49,0,52.57,53.82,-1.25,50,0,33
100263,Bill Laimbeer,DET,9,132,107,105,2,51,0,49.44,50.99,-1.55,48,0,36
76176,Rolando Blackman,DAL,4,131,92,90,2,38,0,58.48,60.25,-1.77,47,1,36
78537,Jeff Wilkins,UTH,10,129,118,117,1,35,0,47.43,48.35,-0.92,51,0,27
77167,Vinnie Johnson,DET,9,128,103,100,3,28,0,54.01,55.5,-1.49,53,0,22
77879,Paul Pressey,MIL,8,122,88,85,3,38,0,56.22,58.25,-2.03,45,1,31
76944,Bill Hanzlik,DEN,15,120,92,91,1,41,0,53.1,54.53,-1.43,45,0,30
78571,Ray Williams,BOS,19,120,116,101,15,25,0,44.12,47.24,-3.12,47,2,24
78390,Terry Tyler,DET,9,120,100,99,1,27,0,52.63,53.63,-1.0,49,0,22
893,Michael Jordan,CHI,4,117,78,70,8,58,0,52.7,56.51,-3.81,34,1,48
77819,Jim Paxson,POR,9,116,101,91,10,24,0,49.15,51.99,-2.84,47,3,19
76350,Kenny Carr,POR,9,116,95,94,1,20,0,54.98,55.88,-0.9,50,0,16
76016,Mark Aguirre,DAL,4,116,89,87,2,32,0,54.72,56.27,-1.55,44,1,27
77950,Clint Richardson,PHL,13,115,94,94,0,10,0,58.08,58.43,-0.35,53,0,9
78395,Darnell Valentine,POR,9,115,88,88,0,31,0,55.56,56.57,-1.01,43,0,29
77905,Kurt Rambis,LAL,19,115,81,81,0,28,0,60.53,61.62,-1.09,48,0,19
78378,Elston Turner,DEN,15,114,102,100,2,19,0,50.67,51.65,-0.98,50,2,12
1381,John Long,DET,9,112,105,101,4,15,0,48.91,50.18,-1.27,48,1,15
76804,George Gervin,SAN,5,111,79,76,3,34,0,56.92,59.07,-2.15,42,0,27
77615,Mike Mitchell,SAN,5,109,78,77,1,24,0,60.22,61.54,-1.32,44,0,21
77193,Bobby Jones,PHL,13,106,78,78,0,20,0,60.23,61.06,-0.83,46,0,14
165,Hakeem Olajuwon,HOU,5,106,88,88,0,46,0,47.75,48.97,-1.22,42,0,22
78055,Ralph Sampson,HOU,5,106,100,99,1,37,0,44.54,45.58,-1.04,43,1,19
76753,World Free,CLE,4,105,93,89,4,25,0,48.84,50.48,-1.64,41,0,23
78233,Larry Spriggs,LAL,16,98,77,75,2,29,0,52.97,54.59,-1.62,40,0,18
600014,Artis Gilmore,SAN,5,89,52,52,0,45,0,59.73,61.98,-2.25,29,0,31
77395,Lewis Lloyd,HOU,5,86,77,77,0,14,0,51.19,51.71,-0.52,38,0,10
78025,Dan Roundfield,DET,9,82,68,68,0,17,0,53.59,54.32,-0.73,33,0,16
78615,Orlando Woolridge,CHI,4,82,68,68,0,18,0,53.25,54.0,-0.75,34,0,14
306,Steve Colter,POR,9,80,75,64,11,8,0,47.34,50.94,-3.6,36,3,5
894,Ricky Pierce,MIL,8,79,73,71,2,9,0,50.32,51.33,-1.01,36,0,7
77487,Cedric Maxwell,BOS,20,76,43,43,0,43,0,58.91,61.37,-2.46,21,0,34
77324,Mitch Kupchak,LAL,16,75,53,52,1,22,0,58.14,59.83,-1.69,31,0,13
64,Sam Perkins,DAL,4,75,49,45,4,34,0,55.15,58.63,-3.48,24,1,26
433,Buck Williams,NJN,3,74,40,40,0,30,0,67.27,69.55,-2.28,26,0,22
78549,Gus Williams,WAS,4,72,71,61,10,12,0,43.9,47.19,-3.29,30,3,9
78041,Jeff Ruland,WAS,4,70,47,45,2,20,0,60.34,62.72,-2.38,28,0,14
175,Alton Lister,MIL,8,69,60,60,0,32,0,45.39,46.57,-1.18,27,0,15
77419,John Lucas,HOU,5,68,80,66,14,22,0,34.69,37.91,-3.22,26,2,14
304,John Stockton,UTH,10,68,45,43,2,35,0,53.54,56.29,-2.75,21,0,26
76618,T.R. Dunn,DEN,15,68,65,65,0,19,0,45.64,46.35,-0.71,27,0,14
77030,Roy Hinson,CLE,4,67,48,48,0,23,0,56.3,57.64,-1.34,26,0,15
77263,Albert King,NJN,3,66,57,56,1,13,0,51.56,52.61,-1.05,28,1,9
77633,Johnny Moore,SAN,5,66,54,51,3,23,0,49.25,51.47,-2.22,25,1,15
76217,Sam Bowie,POR,9,66,59,59,0,25,0,46.15,47.14,-0.99,26,0,14
117,Jeff Malone,WAS,4,65,56,53,3,13,0,50.78,52.66,-1.88,27,1,10
77034,Craig Hodges,MIL,8,64,77,54,23,5,0,35.16,40.4,-5.24,28,4,4
76154,Kent Benson,DET,9,63,46,46,0,15,0,58.88,59.89,-1.01,25,0,13
78515,Willie White,DEN,10,63,57,54,3,12,0,48.84,50.58,-1.74,27,2,7
78418,Jay Vincent,DAL,4,62,56,56,0,29,0,43.97,45.08,-1.11,20,0,22
77071,Phil Hubbard,CLE,4,62,45,44,1,17,0,57.41,59.07,-1.66,24,1,13
76497,Quintin Dailey,CHI,4,61,62,55,7,11,0,42.96,45.63,-2.67,26,1,8
77986,Cliff T. Robinson,WAS,4,59,56,56,0,12,0,47.58,48.14,-0.56,25,0,9
77420,Maurice Lucas,PHX,3,59,47,47,0,19,0,52.21,53.29,-1.08,22,0,15
77952,Micheal Ray Richardson,NJN,3,55,57,55,2,14,0,42.31,43.54,-1.23,23,0,9
122,Fred Roberts,UTH,10,54,43,43,0,20,0,50.94,52.12,-1.18,19,0,16
1622,Rodney McCray,HOU,5,53,34,34,0,23,0,58.24,60.06,-1.82,19,0,15
