player_id,player_name,team_abbr,team_name
1631214,Alondes Williams,,
1631205,Buddy Boeheim,,
1628449,Chris Boucher,,
1641753,Chris Livingston,,
101108,Chris Paul,,
1628998,Cody Martin,,
1641732,Colby Jones,,
1630175,Cole Anthony,,
1630625,Dalano Banton,,
203967,Dario Saric,,
1642468,Darius Brown,,
1641809,Drew Peterson,,
1641871,Duop Reath,,
201569,Eric Gordon,,
1629726,Garrison Mathews,,
1641761,Grant Nelson,,
1642282,Hunter Sallis,,
1641816,Hunter Tyson,,
1631210,Jacob Toppin,,
1643141,Jahmyl Telfort,,
1630164,James Wiseman,,
1631451,Javonte Cooke,,
1630526,Jeremiah Robinson-Earl,,
1630548,Johnny Juzang,,
1642955,Kadary Richmond,,
1643133,Lawson Lovering,,
1628366,Lonzo Ball,,
1631247,Luke Travers,,
1631103,Malaki Branham,,
1641813,Mark Sears,,
1642939,Miles Kelly,,
1628964,Mo Bamba,,
1628420,Monte Morris,,
1642368,N'Faly Dante,,
1628502,Nigel Hayes-Davis,,
1631115,Orlando Robinson,,
1627746,Skal Labissiere,,
1630649,Stanley Umude,,
1628396,Tony Bradley,,
1642280,Trentyn Flowers,,
1631246,Vince Williams Jr.,,
1642854,Asa Newell,ATL,Atlanta Hawks
1627741,Buddy Hield,ATL,Atlanta Hawks
203468,CJ McCollum,ATL,Atlanta Hawks
1631216,Caleb Houstan,ATL,Atlanta Hawks
1631132,Christian Koloko,ATL,Atlanta Hawks
1630557,Corey Kispert,ATL,Atlanta Hawks
1630700,Dyson Daniels,ATL,Atlanta Hawks
1629216,Gabe Vincent,ATL,Atlanta Hawks
1630552,Jalen Johnson,ATL,Atlanta Hawks
1629111,Jock Landale,ATL,Atlanta Hawks
1630228,Jonathan Kuminga,ATL,Atlanta Hawks
1630811,Keaton Wallace,ATL,Atlanta Hawks
1642933,Keshon Gilbert,ATL,Atlanta Hawks
1631243,Mouhamed Gueye,ATL,Atlanta Hawks
1629638,Nickeil Alexander-Walker,ATL,Atlanta Hawks
1630168,Onyeka Okongwu,ATL,Atlanta Hawks
1642484,RayJ Dennis,ATL,Atlanta Hawks
1642258,Zaccharie Risacher,ATL,Atlanta Hawks
1642879,Ben Saraf,BKN,Brooklyn Nets
1643052,Chaney Johnson,BKN,Brooklyn Nets
1642874,Danny Wolf,BKN,Brooklyn Nets
1630549,Day'Ron Sharpe,BKN,Brooklyn Nets
1642962,Drake Powell,BKN,Brooklyn Nets
1630604,E.J. Liddell,BKN,Brooklyn Nets
1642856,Egor Dëmin,BKN,Brooklyn Nets
1630592,Jalen Wilson,BKN,Brooklyn Nets
1631169,Josh Minott,BKN,Brooklyn Nets
1641869,Malachi Smith,BKN,Brooklyn Nets
1629008,Michael Porter Jr.,BKN,Brooklyn Nets
1629651,Nic Claxton,BKN,Brooklyn Nets
1641730,Noah Clowney,BKN,Brooklyn Nets
1642849,Nolan Traore,BKN,Brooklyn Nets
1630534,Ochai Agbaji,BKN,Brooklyn Nets
1629611,Terance Mann,BKN,Brooklyn Nets
1630623,Tyson Etienne,BKN,Brooklyn Nets
1630533,Ziaire Williams,BKN,Brooklyn Nets
1642873,Amari Williams,BOS,Boston Celtics
1631248,Baylor Scheierman,BOS,Boston Celtics
1629646,Charles Bassey,BOS,Boston Celtics
1628401,Derrick White,BOS,Boston Celtics
1642864,Hugo González,BOS,Boston Celtics
1627759,Jaylen Brown,BOS,Boston Celtics
1628369,Jayson Tatum,BOS,Boston Celtics
1642910,John Tonje,BOS,Boston Celtics
1641775,Jordan Walsh,BOS,Boston Celtics
1630568,Luka Garza,BOS,Boston Celtics
1642917,Max Shulga,BOS,Boston Celtics
1629674,Neemias Queta,BOS,Boston Celtics
202696,Nikola Vučević,BOS,Boston Celtics
1630202,Payton Pritchard,BOS,Boston Celtics
1631199,Ron Harper Jr.,BOS,Boston Celtics
1630573,Sam Hauser,BOS,Boston Celtics
1641810,Antonio Reeves,CHA,Charlotte Hornets
1641706,Brandon Miller,CHA,Charlotte Hornets
1629632,Coby White,CHA,Charlotte Hornets
1629684,Grant Williams,CHA,Charlotte Hornets
1630182,Josh Green,CHA,Charlotte Hornets
1642851,Kon Knueppel,CHA,Charlotte Hornets
1630163,LaMelo Ball,CHA,Charlotte Hornets
1642862,Liam McNeeley,CHA,Charlotte Hornets
1628970,Miles Bridges,CHA,Charlotte Hornets
1631217,Moussa Diabaté,CHA,Charlotte Hornets
1641790,PJ Hall,CHA,Charlotte Hornets
1626192,Pat Connaughton,CHA,Charlotte Hornets
1641750,Ryan Kalkbrenner,CHA,Charlotte Hornets
