player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts,q1_pure_ts,q1_sp,q1_std_ts,q1_delta,q2_pure_ts,q2_sp,q2_std_ts,q2_delta,q3_pure_ts,q3_sp,q3_std_ts,q3_delta,q4_pure_ts,q4_sp,q4_std_ts,q4_delta,q1_pts,q1_fgm,q1_fga,q1_fg3m,q1_fg3a,q1_ftm,q1_fta,q2_pts,q2_fgm,q2_fga,q2_fg3m,q2_fg3a,q2_ftm,q2_fta,q3_pts,q3_fgm,q3_fga,q3_fg3m,q3_fg3a,q3_ftm,q3_fta,q4_pts,q4_fgm,q4_fga,q4_fg3m,q4_fg3a,q4_ftm,q4_fta
1630173,Precious Achiuwa,TOR,0022100171,"Nov 11, 2021",PHI,4,10,2,11,16.67,18.38,-1.72,8,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,50.0,2,53.19,-3.19,14.29,6,16.67,-2.38,0.0,1,0.0,0.0,0,0,2,0,0,0,0,2,0,1,0,0,2,2,2,1,6,0,2,0,0,0,0,1,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100238,"Nov 19, 2021",SAC,6,5,0,5,60.0,60.0,0.0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,1,100.0,0.0,,0,,,0.0,1,0.0,0.0,66.67,3,66.67,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,3,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100252,"Nov 21, 2021",GSW,12,9,1,9,60.0,63.56,-3.56,7,6,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2,100.0,0.0,60.0,2,75.0,-15.0,,0,,,45.45,5,45.96,-0.5,4,2,2,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,5,2,5,0,0,1,1
1630173,Precious Achiuwa,TOR,0022100272,"Nov 24, 2021",MEM,17,11,0,11,68.0,77.27,-9.27,8,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0.0,1,0.0,0.0,80.95,9,94.44,-13.49,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,7,9,3,3,0,0,0,0,1,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100284,"Nov 26, 2021",IND,9,7,2,8,52.94,57.11,-4.17,6,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,3,66.67,0.0,,0,,,62.5,4,64.43,-1.93,0.0,1,0.0,0.0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,1,2,0,0,1,0,1,0,0
1630173,Precious Achiuwa,TOR,0022100302,"Nov 28, 2021",BOS,6,11,0,11,24.0,27.27,-3.27,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,3,33.33,-4.76,0.0,1,0.0,0.0,28.57,3,33.33,-4.76,22.22,4,25.0,-2.78,2,1,3,0,1,0,0,0,0,1,0,0,0,0,2,1,3,0,1,0,0,2,1,4,0,1,0,0
1630173,Precious Achiuwa,TOR,0022100315,"Nov 30, 2021",MEM,5,8,4,10,23.81,25.61,-1.81,7,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0.0,0.0,27.27,5,31.51,-4.24,50.0,2,50.0,0.0,,0,,,0,0,3,0,0,0,0,3,0,3,0,1,3,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100329,"Dec 02, 2021",MIL,6,8,2,9,33.33,33.78,-0.45,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.33,3,33.33,0.0,33.33,3,33.33,0.0,100.0,1,100.0,0.0,0.0,2,0.0,0.0,2,1,3,0,0,0,0,2,1,3,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,2
1630173,Precious Achiuwa,TOR,0022100351,"Dec 05, 2021",WAS,10,10,0,10,47.62,50.0,-2.38,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,4,50.0,0.0,100.0,1,100.0,0.0,33.33,3,33.33,0.0,40.0,2,50.0,-10.0,4,2,4,0,0,0,0,2,1,1,0,0,0,0,2,1,3,0,0,0,0,2,1,2,0,1,0,0
1630173,Precious Achiuwa,TOR,0022100443,"Dec 18, 2021",GSW,17,12,1,12,62.96,68.33,-5.37,9,12,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,1,100.0,0.0,0.0,1,0.0,0.0,50.0,4,62.5,-12.5,76.92,6,77.64,-0.72,2,1,1,0,0,0,0,0,0,1,0,0,0,0,5,2,4,1,2,0,0,10,5,6,0,0,0,1
