player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
2548,Dwyane Wade,MIA,79,2380,1739,1461,278,763,2086,52.67,57.36,-4.69,1378,1366,49.56,278,264,31.65,260,397,76.35,3,9,100.0,83,230,92.37,0,0,,17,13,76.47,1,1,50.0,0,0,,0,0,,0,0,,66,100,75.76,854,88,584
2544,LeBron James,CLE,81,2300,1613,1229,384,758,1944,52.66,59.08,-6.42,1133,1122,49.51,383,393,34.2,270,420,77.78,4,12,100.0,96,262,90.97,1,4,100.0,5,4,66.67,2,3,75.0,0,0,,0,0,,0,0,,50,80,80.0,789,132,590
977,Kobe Bryant,LAL,82,2201,1712,1376,336,564,1973,50.9,56.14,-5.24,1319,1250,47.38,336,354,35.12,165,288,87.27,5,14,93.33,57,164,95.91,0,0,,22,17,68.0,0,0,,0,0,,0,0,,1,1,100.0,68,113,83.09,800,118,483
1717,Dirk Nowitzki,DAL,81,2092,1616,1446,170,543,1887,53.03,56.39,-3.36,1395,1324,47.46,170,183,35.88,157,281,89.49,2,5,83.33,51,145,94.77,0,0,,54,53,92.98,1,1,50.0,0,0,,0,0,,0,0,,57,100,88.5,774,61,483
201142,Kevin Durant,OKC,74,1871,1390,1160,230,524,1653,52.94,57.73,-4.78,1117,1042,46.64,230,291,42.17,166,290,87.35,2,5,83.33,43,120,93.02,0,0,,46,37,78.72,2,4,100.0,0,0,,0,0,,1,1,100.0,46,81,88.04,661,97,452
1712,Antawn Jamison,WAS,81,1801,1441,1122,319,452,1642,49.3,54.91,-5.61,1072,1024,47.76,318,333,34.91,152,231,75.99,5,15,100.0,50,135,90.0,1,4,100.0,4,3,75.0,0,0,,0,0,,0,0,,0,0,,40,56,70.0,674,112,341
101108,Chris Paul,NOP,78,1777,1255,1079,176,520,1493,55.43,59.88,-4.45,1034,1044,50.48,176,192,36.36,108,182,84.26,4,12,100.0,45,127,94.07,0,0,,5,7,100.0,0,0,,0,0,,0,0,,1,2,100.0,120,211,88.28,631,64,451
200750,Brandon Roy,POR,78,1765,1318,1098,220,505,1557,52.51,57.3,-4.78,1061,1026,48.35,220,249,37.73,172,274,79.65,3,8,88.89,37,107,96.4,0,0,,13,10,76.92,1,1,50.0,0,0,,0,0,,0,0,,50,90,90.0,633,83,416
2547,Chris Bosh,TOR,77,1746,1263,1214,49,617,1548,54.7,56.89,-2.19,1160,1098,47.33,49,36,24.49,229,375,81.88,0,0,,54,155,95.68,0,0,,8,6,66.67,0,0,,0,0,,0,0,,0,0,,48,76,79.17,615,12,504
101122,Danny Granger,IND,67,1726,1277,827,450,458,1492,49.86,58.37,-8.51,788,700,44.42,448,540,40.18,152,266,87.5,9,23,85.19,39,112,95.73,2,8,100.0,24,24,92.31,0,0,,0,0,,0,0,,0,0,,30,53,88.33,571,182,402
2732,Ben Gordon,CHI,82,1697,1315,893,422,380,1505,49.45,57.25,-7.8,859,782,45.52,419,510,40.57,114,199,87.28,4,10,83.33,34,97,95.1,3,12,100.0,42,39,88.64,0,0,,0,0,,0,0,,0,0,,30,48,78.69,598,173,328
2207,Joe Johnson,ATL,79,1688,1420,1006,414,362,1613,46.68,53.44,-6.76,985,900,45.69,414,447,35.99,100,166,83.0,0,0,,21,58,92.06,0,0,,46,36,75.0,0,0,,0,0,,0,0,,1,2,100.0,46,79,86.81,620,149,299
1713,Vince Carter,NJN,80,1660,1345,953,392,408,1544,47.56,54.44,-6.88,920,808,43.91,391,450,38.36,120,192,80.0,1,1,33.33,33,95,95.96,1,4,100.0,23,19,82.61,0,0,,0,0,,0,0,,2,2,100.0,53,89,83.96,588,151,333
1718,Paul Pierce,BOS,81,1658,1181,877,304,553,1435,51.51,58.2,-6.7,831,750,45.13,304,357,39.14,169,280,82.84,6,13,72.22,46,131,94.93,0,0,,9,7,63.64,0,0,,0,0,,0,0,,0,0,,70,120,85.71,540,119,459
2730,Dwight Howard,ORL,79,1624,979,977,2,849,1357,57.81,60.03,-2.22,883,932,52.77,2,0,0.0,283,336,59.36,0,0,,94,247,87.59,0,0,,1,1,50.0,3,4,66.67,0,0,,0,0,,1,0,0.0,90,104,57.78,560,0,504
2210,Richard Jefferson,MIL,82,1607,1222,930,292,518,1470,49.39,55.42,-6.03,890,762,42.81,291,345,39.52,184,291,79.08,3,9,100.0,40,114,95.0,1,4,100.0,24,21,80.77,0,0,,0,0,,0,0,,0,0,,37,61,82.43,537,116,417
2561,David West,NOP,76,1593,1292,1267,25,415,1497,52.68,54.01,-1.34,1230,1134,46.1,25,18,24.0,134,234,87.31,0,0,,37,107,96.4,0,0,,35,30,78.95,0,0,,0,0,,0,0,,0,0,,36,70,97.22,610,6,367
2225,Tony Parker,SAS,72,1581,1263,1198,65,363,1426,53.52,55.56,-2.04,1160,1164,50.17,65,57,29.23,127,198,77.95,0,0,,38,107,93.86,0,0,,1,1,100.0,1,1,50.0,0,0,,0,0,,0,0,,34,53,77.94,639,19,284
2738,Andre Iguodala,PHI,82,1539,1147,886,261,519,1388,50.07,55.95,-5.88,846,844,49.88,261,240,30.65,176,244,69.32,6,13,72.22,40,112,93.33,0,0,,9,6,66.67,0,0,,0,0,,0,0,,0,0,,50,80,80.0,542,80,375
2200,Pau Gasol,LAL,81,1528,1045,1043,2,439,1246,60.37,61.7,-1.33,1005,1106,55.02,2,3,50.0,144,224,77.78,0,0,,38,109,95.61,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,100.0,56,85,75.89,592,1,343
201564,O.J. Mayo,MEM,82,1515,1283,905,378,279,1430,47.01,53.89,-6.88,886,796,44.92,378,435,38.36,68,118,86.76,3,7,77.78,19,53,92.98,0,0,,38,37,94.87,0,0,,0,0,,0,0,,0,0,,38,69,90.79,562,145,246
2397,Yao Ming,HOU,77,1514,1032,1031,1,440,1256,60.44,61.77,-1.33,994,1056,53.12,1,3,100.0,136,236,86.76,0,0,,37,104,93.69,0,0,,42,32,74.42,0,0,,0,0,,0,0,,3,3,100.0,43,80,93.02,566,1,381
2546,Carmelo Anthony,DEN,66,1504,1207,1037,170,468,1425,49.28,53.22,-3.94,999,868,43.44,170,189,37.06,157,249,79.3,1,2,66.67,38,108,94.74,0,0,,6,4,66.67,0,0,,0,0,,0,0,,0,0,,54,84,78.5,535,63,371
200752,Rudy Gay,MEM,79,1493,1262,1020,242,344,1426,48.01,52.82,-4.81,994,922,46.38,242,255,35.12,127,190,74.8,1,2,66.67,26,74,94.87,0,0,,11,9,81.82,0,0,,0,0,,0,0,,0,0,,25,41,82.0,572,85,264
200746,LaMarcus Aldridge,POR,81,1470,1243,1215,28,334,1394,51.62,52.88,-1.26,1182,1122,47.46,28,21,25.0,122,192,78.69,0,0,,33,88,88.89,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,100.0,28,46,82.14,601,7,261
2734,Devin Harris,NJN,69,1468,1039,819,220,603,1323,50.6,56.27,-5.67,761,666,43.76,220,192,29.09,199,323,81.16,5,15,100.0,58,163,93.68,0,0,,30,30,90.91,0,0,,0,0,,0,0,,0,0,,50,79,79.8,455,64,494
1733,Al Harrington,GSW,73,1467,1212,742,470,293,1344,46.03,54.7,-8.67,715,668,46.71,470,513,36.38,102,156,76.47,2,4,66.67,27,77,95.06,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,28,49,87.5,532,171,232
1495,Tim Duncan,SAS,75,1450,1107,1105,2,483,1323,53.72,54.94,-1.22,1053,1012,48.05,2,0,0.0,186,264,70.97,0,0,,52,141,90.38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,30,33,55.93,558,0,334
2422,John Salmons,SAC,79,1446,1093,791,302,347,1248,51.01,58.04,-7.04,749,696,46.46,302,378,41.72,121,208,85.95,0,0,,42,115,91.27,0,0,,5,4,80.0,1,1,50.0,0,0,,0,0,,0,0,,28,44,78.57,516,126,288
1891,Jason Terry,DAL,74,1443,1168,712,456,221,1272,47.89,57.02,-9.13,692,708,51.16,456,501,36.62,62,108,87.1,1,3,100.0,20,56,93.33,0,0,,8,6,75.0,0,0,,0,0,,0,0,,0,0,,33,61,92.42,541,167,194
