player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
893,Michael Jordan,CHI,18,552,407,345,62,187,0,51.93,56.41,-4.48,187,25,153
252,Karl Malone,UTH,18,477,401,398,3,176,0,48.62,49.85,-1.23,188,0,101
56,Gary Payton,SEA,21,434,334,234,100,109,0,49.49,56.81,-7.32,162,41,69
431,Shawn Kemp,SEA,20,418,258,255,3,156,0,61.93,63.98,-2.05,147,0,124
96,Detlef Schrempf,SEA,21,336,259,202,57,92,0,50.37,56.1,-5.73,123,21,69
204,Jeff Hornacek,UTH,18,315,207,149,58,82,0,56.86,64.79,-7.93,104,34,73
406,Shaquille O'Neal,ORL,12,310,216,216,0,122,0,55.96,57.48,-1.52,131,0,48
937,Scottie Pippen,CHI,18,305,287,182,105,80,0,40.18,47.33,-7.15,112,30,51
358,Anfernee Hardaway,ORL,12,280,217,162,55,78,0,49.38,55.71,-6.33,101,20,58
765,Hersey Hawkins,SEA,21,259,168,104,64,95,0,52.32,61.73,-9.41,76,22,85
64,Sam Perkins,SEA,21,258,196,109,87,61,0,47.78,57.89,-10.11,90,32,46
764,David Robinson,SAN,10,236,161,161,0,105,0,55.27,56.95,-1.68,83,0,70
120,Steven Smith,ATL,10,217,171,110,61,52,0,47.69,55.96,-8.27,75,25,42
304,John Stockton,UTH,18,199,157,119,38,59,0,48.42,54.38,-5.96,70,11,48
165,Hakeem Olajuwon,HOU,8,179,147,146,1,40,0,53.43,54.37,-0.94,75,0,29
935,Bryon Russell,UTH,18,172,124,71,53,38,0,50.74,61.11,-10.37,58,25,31
121,Patrick Ewing,NYK,8,172,137,135,2,63,0,50.74,52.21,-1.47,65,1,41
302,Mookie Blaylock,ATL,10,171,145,61,84,24,0,42.96,54.96,-12.0,61,33,16
389,Toni Kukoc,CHI,15,162,151,83,68,37,0,39.8,48.42,-8.62,59,13,31
166,Ron Harper,CHI,18,158,134,87,47,42,0,44.26,51.81,-7.55,57,15,29
363,Christian Laettner,ATL,10,157,122,119,3,54,0,52.16,53.86,-1.7,59,1,38
98,Nick Anderson,ORL,11,156,127,64,63,45,0,43.09,53.13,-10.04,55,18,28
251,Sean Elliott,SAN,10,155,117,83,34,64,0,46.69,53.39,-6.7,47,10,51
26,Luc Longley,CHI,18,150,130,130,0,37,0,50.51,51.27,-0.76,61,0,28
219,Vinny Del Negro,SAN,10,143,124,97,27,19,0,48.64,54.02,-5.38,57,16,13
192,Dennis Scott,ORL,12,136,116,47,69,22,0,42.11,54.11,-12.0,48,26,14
23,Dennis Rodman,CHI,18,135,103,103,0,59,0,50.94,52.34,-1.4,50,0,35
270,Horace Grant,ORL,9,135,94,94,0,15,0,66.5,67.1,-0.6,61,0,13
17,Clyde Drexler,HOU,8,133,118,84,34,34,0,43.75,50.02,-6.27,49,9,26
317,John Starks,NYK,8,128,87,42,45,39,0,49.61,61.44,-11.83,39,21,29
422,Avery Johnson,SAN,10,123,121,119,2,27,0,45.39,46.28,-0.89,52,0,19
70,Steve Kerr,CHI,18,122,87,34,53,31,0,47.29,60.61,-13.32,39,17,27
456,Chuck Person,SAN,10,121,77,30,47,17,0,55.5,71.61,-16.11,41,25,14
717,Arvydas Sabonis,POR,5,118,81,72,9,60,0,51.08,54.93,-3.85,35,5,43
3,Grant Long,ATL,10,114,111,87,24,25,0,42.07,46.72,-4.65,44,6,20
356,Chris Morris,UTH,18,112,106,69,37,16,0,42.26,49.54,-7.28,45,10,12
156,Antoine Carr,UTH,18,109,97,97,0,25,0,49.77,50.46,-0.69,46,0,17
