player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
2544,LeBron James,MIA,23,596,432,336,96,175,513,52.51,58.55,-6.04,319,318,49.84,96,108,37.5,58,92,79.31,0,0,,17,47,92.16,0,0,,3,1,33.33,0,0,,0,0,,0,0,,0,0,,20,30,75.0,212,36,136
2225,Tony Parker,SAS,21,432,365,334,31,112,421,49.48,52.14,-2.65,327,298,45.57,31,33,35.48,38,58,76.32,0,0,,7,19,90.48,0,0,,7,6,85.71,0,0,,0,0,,0,0,,0,0,,11,18,81.82,167,11,87
1495,Tim Duncan,SAS,21,381,321,320,1,98,365,51.42,52.32,-0.9,309,280,45.31,1,0,0.0,35,53,75.71,0,0,,11,31,93.94,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,9,17,100.0,151,0,79
202331,Paul George,IND,19,365,277,173,104,126,334,46.56,54.9,-8.34,164,152,46.34,103,99,32.04,37,54,72.97,3,7,77.78,9,26,96.3,1,3,75.0,1,1,100.0,0,0,,0,0,,0,0,,0,0,,16,23,71.88,119,34,93
2548,Dwyane Wade,MIA,22,347,315,311,4,78,351,48.74,49.67,-0.93,304,272,44.74,4,3,25.0,27,41,75.93,0,0,,7,20,95.24,0,0,,1,1,100.0,0,0,,0,0,,0,0,,0,0,,8,10,62.5,144,1,58
2546,Carmelo Anthony,NYK,12,346,310,253,57,87,352,45.29,49.67,-4.38,246,204,41.46,57,51,29.82,32,57,89.06,0,0,,7,21,100.0,0,0,,5,6,100.0,0,0,,0,0,,0,0,,0,0,,5,7,70.0,126,17,77
201142,Kevin Durant,OKC,11,339,246,176,70,112,302,50.3,57.4,-7.11,166,160,48.19,70,66,31.43,32,51,79.69,1,2,66.67,10,29,96.67,0,0,,11,11,100.0,0,0,,0,0,,0,0,,0,0,,12,20,83.33,112,22,93
201579,Roy Hibbert,IND,19,323,235,235,0,103,284,56.37,57.61,-1.24,229,228,49.78,0,0,,26,42,80.77,0,0,,6,18,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,23,35,77.78,120,0,83
2561,David West,IND,19,302,249,246,3,94,292,50.76,52.0,-1.25,238,214,44.96,3,0,0.0,30,46,76.67,0,0,,8,22,91.67,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,13,20,76.92,115,0,72
202695,Kawhi Leonard,SAS,21,284,211,152,59,49,230,53.58,61.06,-7.47,141,162,57.45,59,69,38.98,14,18,64.29,0,0,,11,28,84.85,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,7,70.0,115,23,31
201939,Stephen Curry,GSW,12,281,235,129,106,38,253,45.77,55.82,-10.05,127,116,45.67,106,126,39.62,13,23,88.46,2,6,100.0,2,6,100.0,0,0,,2,2,100.0,0,0,,0,0,,0,0,,0,0,,1,2,100.0,102,42,35
