player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff
1629029,Luka Dončić,DAL,69,2342,1634,898,736,603,1906,50.84,61.65,-10.82,821,874,53.23,735,837,37.96,204,315,77.21,1,2,66.67,77,220,95.24,1,4,100.0,18,15,83.33,1,2,100.0,0,0,,2,2,100.0,0,0,,46,71,77.17
1628983,Shai Gilgeous-Alexander,OKC,75,2254,1487,1218,269,649,1791,57.91,63.58,-5.67,1144,1254,54.81,269,285,35.32,198,346,87.37,0,0,,74,213,95.95,0,0,,28,22,78.57,0,0,,0,0,,2,2,100.0,3,3,100.0,73,129,88.36
1630162,Anthony Edwards,MIN,79,2049,1558,1027,531,506,1780,49.34,57.54,-8.2,959,920,47.97,530,567,35.66,166,279,84.04,5,10,66.67,68,195,95.59,1,4,100.0,6,3,50.0,0,0,,1,2,100.0,6,4,66.67,0,0,,38,65,85.53
1628973,Jalen Brunson,NYK,74,2102,1573,1081,492,466,1779,51.22,59.11,-7.89,1003,960,47.86,487,576,39.43,117,204,87.18,9,25,92.59,78,218,93.16,5,20,100.0,35,27,77.14,2,6,100.0,0,0,,2,1,50.0,2,1,50.0,39,64,83.12
1628368,De'Aaron Fox,SAC,74,1966,1549,969,580,423,1737,47.94,56.65,-8.71,925,924,49.95,579,639,36.79,137,201,73.36,5,14,93.33,44,117,88.64,1,4,100.0,3,1,33.33,2,2,40.0,0,0,,1,1,100.0,0,0,,40,63,78.75
203507,Giannis Antetokounmpo,MIL,71,2166,1327,1207,120,755,1660,61.24,65.27,-4.03,1105,1360,61.54,120,102,28.33,262,340,64.89,1,0,0.0,102,269,87.91,0,0,,0,0,,2,3,75.0,0,0,,4,2,50.0,1,1,100.0,63,89,71.2
201942,DeMar DeRozan,CHI,78,1876,1341,1119,222,603,1619,53.49,58.39,-4.9,1051,1004,47.76,221,219,33.03,200,346,86.5,3,6,66.67,68,188,92.16,1,4,100.0,22,17,77.27,0,0,,0,0,,2,2,100.0,1,1,100.0,50,89,89.0
201142,Kevin Durant,PHX,74,2005,1422,1018,404,416,1613,54.72,62.46,-7.74,974,1062,54.52,402,492,40.8,128,215,83.98,5,15,100.0,44,127,96.21,2,8,100.0,14,12,85.71,1,3,100.0,0,0,,2,2,100.0,2,1,50.0,39,68,87.18
1631094,Paolo Banchero,ORL,77,1736,1360,1023,337,530,1602,48.36,54.48,-6.13,973,908,46.66,337,345,34.12,205,297,72.44,3,6,66.67,50,134,89.33,0,0,,2,1,50.0,0,0,,0,0,,2,1,50.0,0,0,,30,44,73.33
203999,Nikola Jokić,DEN,78,2056,1389,1163,226,434,1584,59.73,65.06,-5.33,1106,1346,60.85,226,240,35.4,121,206,85.12,1,1,33.33,57,156,91.23,0,0,,5,4,80.0,1,1,50.0,0,0,,5,4,80.0,0,0,,62,98,79.03
201939,Stephen Curry,GSW,73,1914,1423,560,863,317,1570,47.54,61.25,-13.71,533,516,48.41,854,1023,39.93,75,141,94.0,10,29,96.67,27,78,96.3,9,35,97.22,17,15,88.24,0,0,,0,0,,5,5,100.0,1,1,100.0,39,71,91.03
1630178,Tyrese Maxey,PHI,69,1789,1396,832,564,371,1570,48.0,57.37,-9.37,780,734,47.05,563,627,37.12,116,207,89.22,2,6,100.0,52,145,92.95,1,3,75.0,29,24,82.76,3,6,100.0,0,0,,2,1,50.0,1,1,100.0,21,35,83.33
1627749,Dejounte Murray,ATL,77,1718,1440,896,544,254,1553,46.7,55.36,-8.66,872,884,50.69,540,573,35.37,79,125,79.11,7,19,90.48,24,66,91.67,4,16,100.0,6,4,66.67,1,2,66.67,0,0,,1,0,0.0,0,0,,19,29,76.32
1626164,Devin Booker,PHX,68,1841,1305,887,418,457,1529,52.83,61.12,-8.29,848,902,53.18,418,456,36.36,120,207,86.25,15,43,95.56,39,113,96.58,0,0,,40,34,85.0,0,0,,0,0,,2,2,100.0,3,3,100.0,44,81,92.05
1628369,Jayson Tatum,BOS,69,1823,1313,755,558,459,1529,50.04,60.17,-10.13,717,740,51.6,554,609,36.64,143,237,82.87,10,26,86.67,38,107,93.86,4,16,100.0,20,16,80.0,1,2,66.67,0,0,,6,5,83.33,0,0,,36,65,90.28
203076,Anthony Davis,LAL,75,1856,1271,1167,104,509,1506,58.83,62.08,-3.25,1108,1240,55.96,104,84,26.92,159,259,81.45,1,3,100.0,59,167,94.35,0,0,,18,15,83.33,2,4,100.0,0,0,,1,1,100.0,1,1,100.0,53,82,78.1
1630224,Jalen Green,HOU,82,1610,1332,727,605,352,1489,44.44,54.14,-9.7,685,640,46.72,602,594,32.89,113,186,82.3,4,10,83.33,42,116,92.06,3,10,83.33,8,7,87.5,1,0,0.0,0,0,,1,0,0.0,0,0,,30,47,78.33
203081,Damian Lillard,MIL,71,1710,1238,635,603,487,1470,47.95,58.87,-10.92,605,560,46.28,598,627,34.95,119,216,90.76,23,64,92.75,30,90,100.0,5,20,100.0,33,28,82.35,0,0,,0,0,,1,1,100.0,2,1,50.0,54,103,95.37
1628969,Mikal Bridges,BKN,81,1602,1281,696,585,316,1431,46.26,56.41,-10.15,669,630,47.09,582,651,37.29,90,144,80.0,7,19,90.48,27,77,95.06,3,12,100.0,19,16,84.21,1,3,100.0,0,0,,1,0,0.0,2,2,100.0,30,48,80.0
1627783,Pascal Siakam,IND,79,1710,1255,1009,246,390,1419,54.34,59.93,-5.6,946,1044,55.18,246,255,34.55,141,210,74.47,1,1,33.33,63,168,88.89,0,0,,0,0,,1,1,50.0,1,2,100.0,1,0,0.0,0,0,,19,29,76.32
2544,LeBron James,LAL,70,1796,1250,896,354,397,1412,55.24,63.03,-7.79,824,918,55.7,353,432,40.79,138,206,74.64,2,4,66.67,72,200,92.59,1,4,100.0,2,1,50.0,1,0,0.0,2,4,100.0,0,0,,0,0,,17,27,79.41
1628398,Kyle Kuzma,WAS,69,1529,1295,849,446,237,1398,46.7,54.64,-7.93,815,828,50.8,444,444,33.33,86,133,77.33,1,2,66.67,34,92,90.2,2,8,100.0,3,3,100.0,0,0,,0,0,,1,1,100.0,0,0,,12,18,78.26
1641705,Victor Wembanyama,SAS,71,1522,1186,792,394,367,1351,48.58,56.48,-7.9,750,762,50.8,391,375,31.97,123,199,80.89,5,14,93.33,42,116,92.06,3,10,83.33,13,9,69.23,0,0,,0,0,,0,0,,0,0,,24,37,77.08
