player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
893,Michael Jordan,CHI,81,2633,1795,1697,98,793,0,58.76,61.41,-2.65,966,27,674
252,Karl Malone,UTH,80,2326,1559,1543,16,918,0,57.4,59.25,-1.85,809,5,703
107,Dale Ellis,SEA,82,2253,1710,1371,339,462,0,53.38,58.88,-5.5,857,162,377
904,Chris Mullin,GOS,82,2176,1630,1530,100,553,0,55.61,58.08,-2.47,830,23,493
76673,Alex English,DEN,82,2175,1881,1873,8,379,0,52.42,53.11,-0.69,924,2,325
17,Clyde Drexler,POR,78,2123,1672,1568,104,548,0,53.13,55.49,-2.36,829,27,438
1122,Dominique Wilkins,ATL,80,2099,1756,1651,105,524,0,50.69,52.83,-2.14,814,29,442
1472,Tom Chambers,PHX,81,2085,1643,1557,86,598,0,52.52,54.69,-2.17,774,28,509
787,Charles Barkley,PHL,79,2037,1208,1046,162,799,0,60.32,65.31,-4.99,700,35,602
165,Hakeem Olajuwon,HOU,82,2034,1556,1546,10,652,0,53.9,55.19,-1.29,790,0,454
187,Terry Cummings,MIL,80,1829,1563,1548,15,460,0,50.79,51.8,-1.01,730,7,362
121,Patrick Ewing,NYK,80,1815,1282,1276,6,484,0,59.43,60.7,-1.27,727,0,361
1450,Kevin McHale,BOS,78,1758,1211,1207,4,533,0,59.41,60.81,-1.4,661,0,436
782,Mitch Richmond,GOS,79,1741,1386,1296,90,506,0,51.69,54.11,-2.42,649,33,410
77142,Magic Johnson,LAL,77,1730,1137,949,188,563,0,57.19,62.47,-5.28,579,59,513
456,Chuck Person,IND,80,1728,1453,1248,205,307,0,50.56,54.41,-3.85,711,63,243
1365,Xavier McDaniel,SEA,82,1677,1385,1349,36,426,0,51.89,53.32,-1.43,677,11,312
77264,Bernard King,WAS,81,1674,1371,1341,30,441,0,52.1,53.48,-1.38,654,5,361
1460,James Worthy,LAL,81,1657,1282,1259,23,321,0,56.98,58.21,-1.23,702,2,251
117,Jeff Malone,WAS,76,1651,1410,1391,19,340,0,51.93,52.93,-1.0,677,1,296
134,Kevin Johnson,PHX,81,1650,1128,1106,22,576,0,57.81,59.72,-1.91,570,2,508
77449,Moses Malone,ATL,81,1637,1096,1084,12,711,0,56.16,58.1,-1.94,538,0,561
78369,Kelly Tripucka,CHH,71,1606,1215,1131,84,508,0,53.14,55.82,-2.68,568,30,440
1847,Thurl Bailey,UTH,82,1595,1272,1267,5,440,0,53.36,54.41,-1.05,615,2,363
76176,Rolando Blackman,DAL,78,1534,1249,1164,85,370,0,51.95,54.33,-2.38,594,30,316
166,Ron Harper,CLE,82,1526,1149,1033,116,430,0,53.66,57.02,-3.36,587,29,323
