player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
893,Michael Jordan,CHI,82,2580,1837,1744,93,671,0,58.13,60.5,-2.37,990,29,571
252,Karl Malone,UTH,82,2382,1608,1594,14,888,0,57.84,59.59,-1.75,847,4,684
121,Patrick Ewing,NYK,81,2154,1645,1639,6,623,0,54.96,56.12,-1.16,845,0,464
904,Chris Mullin,GOS,82,2107,1449,1316,133,580,0,58.35,61.82,-3.47,777,40,513
764,David Robinson,SAN,82,2101,1366,1359,7,777,0,59.76,61.51,-1.75,754,1,592
1122,Dominique Wilkins,ATL,81,2101,1640,1391,249,574,0,51.21,55.51,-4.3,770,85,476
896,Tim Hardaway,GOS,82,1881,1551,1299,252,381,0,50.36,54.72,-4.36,739,97,306
397,Reggie Miller,IND,82,1855,1164,842,322,600,0,57.08,64.95,-7.87,596,112,551
787,Charles Barkley,PHL,67,1849,1167,1012,155,658,0,58.75,63.47,-4.72,665,44,475
782,Mitch Richmond,GOS,77,1840,1424,1309,115,465,0,53.68,56.49,-2.81,703,40,394
77264,Bernard King,WAS,64,1817,1511,1474,37,485,0,51.27,52.68,-1.41,713,8,383
17,Clyde Drexler,POR,82,1767,1338,1147,191,524,0,52.11,56.33,-4.22,645,61,416
765,Hersey Hawkins,PHL,80,1767,1251,981,270,550,0,53.19,59.18,-5.99,590,108,479
149,Michael Adams,DEN,66,1752,1421,857,564,529,0,44.52,52.97,-8.45,560,167,465
134,Kevin Johnson,PHX,77,1710,1145,1101,44,616,0,57.97,60.38,-2.41,591,9,519
76338,Tony Campbell,MIN,77,1678,1502,1441,61,446,0,47.79,49.4,-1.61,652,16,358
1460,James Worthy,LAL,78,1670,1455,1365,90,266,0,51.13,53.12,-1.99,716,26,212
921,Brad Daugherty,CLE,76,1645,1155,1152,3,579,0,56.88,58.34,-1.46,605,0,435
247,Joe Dumars,DET,80,1629,1292,1247,45,417,0,53.48,55.2,-1.72,622,14,371
894,Ricky Pierce,SEA,78,1598,1156,1040,116,471,0,55.12,58.61,-3.49,561,46,430
76176,Rolando Blackman,DAL,80,1590,1316,1202,114,326,0,51.76,54.47,-2.71,634,40,282
156,Antoine Carr,SAC,77,1551,1228,1225,3,389,0,54.46,55.43,-0.97,628,0,295
77685,Larry Nance,CLE,80,1537,1211,1203,8,330,0,55.69,56.67,-0.98,635,2,265
77142,Magic Johnson,LAL,79,1531,976,726,250,573,0,55.17,62.33,-7.16,466,80,519
157,Derek Harper,DAL,77,1519,1226,980,246,391,0,49.17,54.33,-5.16,572,89,286
1472,Tom Chambers,PHX,76,1511,1271,1198,73,459,0,49.15,51.29,-2.14,556,20,379
78310,Reggie Theus,NJN,81,1510,1247,1103,144,343,0,50.65,54.01,-3.36,583,52,292
293,Charles Smith,LAC,74,1480,1168,1161,7,484,0,52.35,53.59,-1.24,548,0,384
77384,Reggie Lewis,BOS,79,1478,1219,1206,13,340,0,52.96,54.0,-1.04,598,1,281
456,Chuck Person,IND,80,1474,1231,1028,203,229,0,50.93,55.34,-4.41,620,69,165
895,Tyrone Corbin,MIN,82,1472,1311,1301,10,371,0,49.02,49.92,-0.9,587,2,296
937,Scottie Pippen,CHI,82,1461,1153,1085,68,340,0,53.83,56.08,-2.25,600,21,240
901,Otis Thorpe,HOU,82,1435,988,981,7,480,0,58.26,59.83,-1.57,549,3,334
1489,Lionel Simmons,SAC,79,1421,1301,1290,11,435,0,46.62,47.61,-0.99,549,3,320
304,John Stockton,UTH,82,1413,978,810,168,434,0,55.24,60.44,-5.2,496,58,363
265,Harvey Grant,WAS,77,1405,1224,1209,15,249,0,51.81,52.68,-0.87,609,2,185
71,Pooh Richardson,MIN,82,1401,1350,1222,128,165,0,46.81,49.24,-2.43,635,42,89
137,Vernon Maxwell,HOU,82,1397,1247,737,510,296,0,42.33,50.72,-8.39,504,172,217
345,Terry Porter,POR,81,1381,944,631,313,339,0,54.37,63.17,-8.8,486,130,279
181,Kenny Smith,HOU,78,1380,1003,868,135,340,0,55.62,59.86,-4.24,522,49,287
1365,Xavier McDaniel,PHX,81,1373,1186,1178,8,267,0,51.87,52.67,-0.8,590,0,193
271,Johnny Newman,CHH,81,1371,1017,933,84,476,0,52.85,55.89,-3.04,478,30,385
934,Derrick Coleman,NJN,74,1364,1100,1062,38,442,0,50.9,52.69,-1.79,514,13,323
