player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
893,Michael Jordan,CHI,82,2491,1850,1590,260,657,0,53.95,58.23,-4.28,916,111,548
252,Karl Malone,UTH,82,2106,1520,1480,40,708,0,55.6,57.49,-1.89,789,16,512
764,David Robinson,SAN,82,2051,1378,1369,9,823,0,57.16,58.93,-1.77,711,3,626
165,Hakeem Olajuwon,HOU,72,1936,1494,1480,14,548,0,54.54,55.79,-1.25,768,3,397
782,Mitch Richmond,SAC,81,1872,1368,853,515,491,0,50.03,59.09,-9.06,611,225,425
436,Juwan Howard,WAS,81,1789,1500,1487,13,426,0,52.02,53.01,-0.99,733,4,319
358,Anfernee Hardaway,ORL,82,1780,1215,932,283,580,0,54.05,60.54,-6.49,623,89,445
452,Vin Baker,MIL,82,1729,1429,1381,48,479,0,51.08,52.72,-1.64,699,10,321
121,Patrick Ewing,NYK,76,1711,1456,1428,28,461,0,50.31,51.57,-1.26,678,4,351
779,Glen Rice,CHH,79,1710,1296,893,403,381,0,50.65,58.42,-7.77,610,171,319
299,Glenn Robinson,MIL,82,1660,1382,1119,263,389,0,48.59,53.44,-4.85,627,90,316
913,Larry Johnson,CHH,81,1660,1225,1042,183,564,0,51.92,56.34,-4.42,583,67,427
76,Cedric Ceballos,LAL,78,1656,1203,1019,184,409,0,55.22,59.87,-4.65,638,51,329
787,Charles Barkley,PHX,71,1649,1160,985,175,566,0,53.87,58.52,-4.65,580,49,440
361,Clifford Robinson,POR,78,1644,1306,835,471,542,0,45.35,53.22,-7.87,553,178,360
297,Alonzo Mourning,MIA,70,1623,1076,1046,30,712,0,56.08,58.41,-2.33,563,9,488
255,Grant Hill,DET,80,1618,1221,1195,26,646,0,51.96,53.75,-1.79,564,5,485
275,Allan Houston,DET,82,1617,1244,797,447,362,0,49.04,57.62,-8.58,564,191,298
397,Reggie Miller,IND,76,1606,1066,656,410,498,0,52.83,62.48,-9.65,504,168,430
754,Jim Jackson,DAL,82,1604,1308,975,333,418,0,47.64,53.76,-6.12,569,121,345
56,Gary Payton,SEA,81,1563,1276,977,299,306,0,49.51,55.4,-5.89,618,98,229
431,Shawn Kemp,SEA,79,1550,937,925,12,664,0,60.78,63.05,-2.27,526,5,493
251,Sean Elliott,SAN,77,1537,1127,735,392,423,0,50.08,58.52,-8.44,525,161,326
45,George McCloud,DAL,79,1497,1281,603,678,224,0,43.22,54.26,-11.04,530,257,180
937,Scottie Pippen,CHI,77,1496,1216,815,401,324,0,47.39,55.06,-7.67,563,150,220
84,Latrell Sprewell,GOS,78,1473,1202,920,282,446,0,47.03,52.67,-5.64,515,91,352
375,Isaiah Rider,MIN,75,1470,1206,931,275,296,0,49.28,55.01,-5.73,560,102,248
210,Terrell Brandon,CLE,75,1449,1096,861,235,381,0,51.6,57.33,-5.73,510,91,338
120,Steven Smith,ATL,80,1446,1143,720,423,385,0,46.74,55.09,-8.35,494,140,318
406,Shaquille O'Neal,ORL,54,1434,1033,1031,2,511,0,55.6,57.0,-1.4,592,1,249
192,Dennis Scott,ORL,82,1431,1117,489,628,222,0,46.4,58.9,-12.5,491,267,182
288,Armen Gilliam,NJN,78,1429,1216,1215,1,350,0,51.35,52.15,-0.8,576,0,277
711,Jerry Stackhouse,PHL,72,1384,1091,799,292,518,0,46.26,52.47,-6.21,452,93,387
467,Jason Kidd,DAL,81,1348,1293,897,396,331,0,40.69,46.85,-6.16,493,133,229
757,Damon Stoudamire,TOR,70,1331,1129,792,337,296,0,46.04,52.85,-6.81,481,133,236
145,Tracy Murray,TOR,82,1325,1092,734,358,219,0,47.99,55.75,-7.76,496,151,182
221,Clar. Weatherspoon,PHL,78,1300,1015,1013,2,426,0,52.89,54.06,-1.17,491,0,318
919,Loy Vaught,LAC,80,1298,1087,1068,19,205,0,54.13,55.13,-1.0,571,7,149
765,Hersey Hawkins,SEA,82,1281,936,556,380,285,0,50.49,60.34,-9.85,443,146,249
302,Mookie Blaylock,ATL,81,1268,1123,500,623,170,0,41.72,52.93,-11.21,455,231,127
339,Tom Gugliotta,MIN,78,1261,1004,918,86,374,0,51.09,53.96,-2.87,473,26,289
393,Rod Strickland,POR,67,1256,1023,912,111,423,0,48.68,51.94,-3.26,471,38,276
693,Joe Smith,GOS,82,1251,1024,996,28,392,0,50.69,52.28,-1.59,469,10,303
204,Jeff Hornacek,UTH,82,1247,880,657,223,290,0,54.86,61.88,-7.02,442,104,259
714,Michael Finley,PHX,82,1233,976,790,186,323,0,50.1,55.14,-5.04,465,61,242
363,Christian Laettner,ATL,74,1217,907,868,39,396,0,54.11,56.28,-2.17,442,9,324
896,Tim Hardaway,MIA,80,1217,992,613,379,305,0,45.61,54.03,-8.42,419,138,241
137,Vernon Maxwell,PHL,75,1217,1052,592,460,332,0,42.02,50.79,-8.77,410,146,251
304,John Stockton,UTH,82,1209,818,593,225,282,0,56.42,64.17,-7.75,440,95,234
168,Chris Mills,CLE,80,1205,971,761,210,263,0,49.9,55.44,-5.54,454,79,218
107,Dale Ellis,DEN,81,1204,959,595,364,179,0,48.92,58.01,-9.09,459,150,136
193,Anthony Mason,NYK,82,1196,798,798,0,414,0,59.5,61.01,-1.51,449,0,298
209,Dell Curry,CHH,82,1192,974,568,406,171,0,47.21,56.8,-9.59,441,164,146
219,Vinny Del Negro,SAN,82,1191,962,812,150,214,0,52.05,56.38,-4.33,478,57,178
22,Rik Smits,IND,63,1164,894,889,5,293,0,55.8,56.9,-1.1,466,1,231
901,Otis Thorpe,DET,82,1161,853,849,4,362,0,56.03,57.35,-1.32,452,0,257
157,Derek Harper,NYK,82,1149,939,614,325,206,0,47.7,55.8,-8.1,436,121,156
922,Elden Campbell,LAL,82,1143,888,883,5,349,0,53.66,54.87,-1.21,447,0,249
296,Rick Fox,BOS,81,1137,928,656,272,254,0,47.73,54.68,-6.95,421,99,196
98,Nick Anderson,ORL,77,1134,904,474,430,240,0,45.76,56.16,-10.4,400,168,166
258,Brian Grant,SAC,78,1120,842,825,17,358,0,54.4,56.03,-1.63,427,4,262
179,Bryant Stith,DEN,82,1119,911,763,148,379,0,47.64,51.91,-4.27,379,41,320
49,Gheorghe Muresan,WAS,76,1104,798,797,1,278,0,58.88,59.98,-1.1,466,0,172
89,Nick Van Exel,LAL,74,1099,950,547,403,204,0,43.84,52.85,-9.01,396,144,163
51,Mahmoud Abdul-Rauf,DEN,57,1095,955,646,309,157,0,46.09,53.46,-7.37,414,121,146
198,Danny Ferry,CLE,82,1090,919,556,363,134,0,46.68,55.73,-9.05,422,143,103
96,Detlef Schrempf,SEA,63,1080,740,561,179,370,0,53.23,59.81,-6.58,360,73,287
3,Grant Long,ATL,82,1078,838,752,86,337,0,51.36,54.65,-3.29,395,31,257
422,Avery Johnson,SAN,82,1071,887,856,31,262,0,51.81,53.43,-1.62,438,6,189
389,Toni Kukoc,CHI,81,1065,787,571,216,267,0,51.77,58.87,-7.1,386,87,206
717,Arvydas Sabonis,POR,73,1058,723,619,104,305,0,57.04,61.71,-4.67,394,39,231
384,Calbert Cheaney,WAS,70,1055,905,751,154,214,0,48.44,52.79,-4.35,426,52,151
184,Bobby Phills,CLE,72,1051,826,615,211,240,0,49.98,56.41,-6.43,386,93,186
72,Kenny Anderson,CHH,69,1050,834,578,256,338,0,46.42,53.42,-7.0,349,92,260
134,Kevin Johnson,PHX,56,1047,674,617,57,398,0,58.07,61.65,-3.58,342,21,342
445,Wesley Person,PHX,82,1045,877,564,313,192,0,46.26,54.34,-8.08,390,117,148
898,Blue Edwards,VAN,82,1043,956,711,245,208,0,44.1,49.78,-5.68,401,84,157
129,Dino Radja,BOS,53,1043,852,852,0,275,0,52.7,53.6,-0.9,426,0,191
344,Dana Barros,BOS,80,1038,806,438,368,147,0,48.8,59.61,-10.81,379,150,130
183,Bison Dele,LAC,65,1029,766,760,6,267,0,57.01,58.24,-1.23,416,1,196
317,John Starks,NYK,81,1024,846,450,396,174,0,45.27,55.5,-10.23,375,143,131
735,Bryant Reeves,VAN,77,1021,877,874,3,299,0,49.66,50.62,-0.96,401,0,219
686,Antonio McDyess,DEN,76,1020,881,877,4,243,0,50.77,51.62,-0.85,427,0,166
124,Vlade Divac,LAL,79,1020,807,789,18,295,0,52.93,54.44,-1.51,414,3,189
143,Terry Dehere,LAC,82,1016,686,370,316,327,0,50.42,61.21,-10.79,315,139,247
769,B.J. Armstrong,GOS,82,1012,727,520,207,279,0,52.16,59.55,-7.39,340,98,234
133,David Wesley,BOS,82,1009,736,464,272,288,0,49.66,58.48,-8.82,338,116,217
17,Clyde Drexler,HOU,52,1005,764,529,235,338,0,47.83,55.06,-7.23,331,78,265
164,Chris Childs,NJN,78,1002,778,519,259,304,0,47.29,54.95,-7.66,324,95,259
1005,Walt Williams,MIA,73,995,808,515,293,232,0,46.47,54.67,-8.2,359,114,163
178,Olden Polynice,SAC,81,985,818,815,3,203,0,53.47,54.28,-0.81,431,1,122
932,Oliver Miller,TOR,76,982,795,784,11,221,0,53.9,55.03,-1.13,418,0,146
278,Stacey Augmon,ATL,77,976,738,734,4,317,0,54.31,55.61,-1.3,362,1,251
64,Sam Perkins,SEA,82,970,797,434,363,241,0,44.13,53.71,-9.58,325,129,191
21,Greg Anthony,VAN,69,967,781,510,271,297,0,45.4,53.03,-7.63,324,90,229
762,Shawn Bradley,NJN,79,944,873,869,4,246,0,47.29,48.1,-0.81,387,1,169
103,Todd Day,BOS,79,922,817,515,302,287,0,41.48,48.87,-7.39,299,100,224
136,P.J. Brown,NJN,81,915,798,783,15,265,0,48.77,50.02,-1.25,354,3,204
224,Eddie Jones,LAL,70,893,685,458,227,184,0,50.14,58.29,-8.15,337,83,136
902,Bimbo Coles,GOS,81,892,777,523,254,211,0,44.18,51.27,-7.09,318,88,168
