player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
201142,Kevin Durant,OKC,66,1848,1297,953,344,499,1545,53.77,60.93,-7.16,905,924,51.05,344,399,38.66,146,248,84.93,1,3,100.0,48,137,95.14,0,0,,45,39,84.78,1,2,100.0,0,0,,0,0,,0,0,,55,96,88.07,643,133,429
2544,LeBron James,MIA,62,1678,1169,1020,149,494,1396,56.29,60.52,-4.23,969,1032,53.25,149,162,36.24,159,253,79.56,0,0,,51,139,90.85,0,0,,12,10,71.43,3,6,100.0,0,0,,0,0,,1,0,0.0,52,76,73.08,621,54,382
977,Kobe Bryant,LAL,58,1616,1336,1049,287,451,1555,47.39,52.66,-5.27,1006,888,44.14,286,258,30.07,128,224,87.5,5,15,100.0,43,119,92.25,1,4,100.0,36,29,80.56,0,0,,0,0,,0,0,,0,0,,50,79,79.0,574,87,381
201566,Russell Westbrook,OKC,66,1558,1266,1070,196,413,1454,49.6,53.81,-4.21,1035,962,46.47,196,186,31.63,149,248,83.22,3,8,88.89,35,99,94.29,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,36,55,76.39,578,62,340
201567,Kevin Love,MIN,55,1432,1059,777,282,460,1279,50.07,56.76,-6.69,745,674,45.23,282,315,37.23,141,238,84.4,3,9,100.0,32,89,92.71,0,0,,15,14,77.78,1,1,50.0,0,0,,0,0,,2,2,100.0,58,90,77.59,474,105,379
201933,Blake Griffin,LAC,66,1368,1022,1006,16,468,1229,54.11,55.7,-1.59,949,1004,52.9,16,6,12.5,150,154,51.33,0,0,,57,143,83.63,0,0,,1,1,100.0,5,5,50.0,0,0,,0,0,,2,2,66.67,49,53,54.64,561,2,244
1717,Dirk Nowitzki,DAL,62,1342,1034,822,212,355,1217,50.93,56.38,-5.45,803,752,46.82,211,231,36.49,85,157,92.35,4,10,83.33,19,54,94.74,1,4,100.0,35,29,82.86,1,1,50.0,0,0,,0,0,,0,0,,58,104,89.66,473,78,318
201943,Brandon Jennings,MIL,66,1260,1121,733,388,239,1248,43.92,51.38,-7.46,718,650,45.26,387,384,33.07,66,106,80.3,2,4,66.67,15,39,86.67,1,4,100.0,33,30,88.24,1,2,100.0,0,0,,0,0,,0,0,,25,41,82.0,469,129,193
2546,Carmelo Anthony,NYK,55,1245,1025,822,203,367,1210,47.52,52.47,-4.95,792,686,43.31,203,204,33.5,121,196,80.99,1,2,66.67,30,80,88.89,0,0,,35,34,89.47,0,0,,0,0,,0,0,,0,0,,28,43,78.18,441,68,295
2746,Josh Smith,ATL,66,1237,1101,992,109,320,1236,47.02,49.81,-2.79,942,852,45.22,109,84,25.69,115,146,63.48,0,0,,50,131,87.33,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,24,60.0,504,28,201
200752,Rudy Gay,MEM,65,1232,1067,894,173,263,1191,47.94,52.08,-4.15,869,812,46.72,173,162,31.21,92,142,77.17,0,0,,25,70,93.33,0,0,,10,8,80.0,0,0,,0,0,,0,0,,0,0,,22,38,86.36,485,54,208
200746,LaMarcus Aldridge,POR,55,1191,943,932,11,274,1065,54.86,55.99,-1.13,902,902,50.0,11,6,18.18,98,160,81.63,0,0,,30,84,93.33,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,24,39,81.25,483,2,223
101108,Chris Paul,LAC,60,1189,890,677,213,302,1050,51.81,58.12,-6.31,664,666,50.15,212,234,36.79,49,84,85.71,6,16,88.89,13,37,94.87,1,4,100.0,39,29,72.5,0,0,,0,0,,0,0,,0,0,,66,119,90.15,425,79,260
101145,Monta Ellis,GSW,58,1181,1040,839,201,275,1169,46.21,50.86,-4.66,819,736,44.93,200,183,30.5,76,121,79.61,4,9,75.0,20,56,93.33,1,4,100.0,8,6,75.0,0,0,,0,0,,0,0,,0,0,,41,66,80.49,450,62,219
1718,Paul Pierce,BOS,61,1181,890,617,273,344,1058,49.27,56.7,-7.43,587,528,44.97,273,300,36.63,111,190,85.59,1,2,66.67,30,85,94.44,0,0,,24,21,87.5,0,0,,0,0,,0,0,,0,0,,32,55,84.62,394,100,293
2744,Al Jefferson,UTA,61,1170,1048,1044,4,177,1125,51.38,51.96,-0.58,1021,984,48.19,4,3,25.0,67,106,79.1,0,0,,23,60,86.96,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10,17,85.0,516,1,137
202326,DeMarcus Cousins,SAC,64,1160,999,985,14,373,1163,48.64,49.87,-1.23,938,798,42.54,14,6,14.29,129,181,70.16,0,0,,47,125,88.65,0,0,,2,1,33.33,2,4,100.0,0,0,,0,0,,1,0,0.0,30,45,75.0,448,2,262
101122,Danny Granger,IND,62,1159,941,618,323,291,1088,46.43,54.21,-7.77,601,502,41.76,321,363,37.69,84,145,86.31,3,8,88.89,17,50,98.04,2,8,100.0,26,25,92.59,1,2,100.0,0,0,,0,0,,0,0,,33,56,84.85,391,123,254
101114,Deron Williams,NJN,55,1154,961,619,342,305,1103,44.92,52.68,-7.76,598,510,42.64,336,327,32.44,84,148,88.1,7,18,85.71,21,59,93.65,6,23,95.83,15,11,68.75,0,0,,0,0,,0,0,,0,0,,36,58,79.45,391,115,257
101135,David Lee,GSW,57,1147,922,917,5,280,1045,53.88,54.87,-0.99,882,858,48.64,5,0,0.0,105,170,80.95,0,0,,35,95,90.48,0,0,,1,0,0.0,0,0,,0,0,,0,0,,0,0,,17,24,70.59,464,0,219
2200,Pau Gasol,LAL,65,1129,917,890,27,261,1037,53.2,54.71,-1.5,868,860,49.54,27,21,25.93,82,133,81.1,0,0,,22,61,92.42,0,0,,1,0,0.0,0,0,,0,0,,0,0,,0,0,,37,54,72.97,459,7,204
2207,Joe Johnson,ATL,60,1129,931,609,322,186,1031,47.64,55.73,-8.1,600,578,48.17,322,375,38.82,45,74,82.22,0,0,,9,25,92.59,0,0,,21,16,76.19,0,0,,0,0,,0,0,,0,0,,34,61,89.71,423,125,158
101115,Andrew Bynum,LAL,60,1123,796,791,5,338,945,58.04,59.44,-1.4,751,806,53.66,5,3,20.0,125,179,71.6,0,0,,40,105,87.5,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,24,30,62.5,444,1,234
1712,Antawn Jamison,CLE,65,1118,1044,777,267,271,1166,42.57,48.06,-5.48,753,612,40.64,265,267,33.58,86,119,69.19,3,8,88.89,24,61,84.72,2,6,75.0,0,0,,0,0,,0,0,,0,0,,1,0,0.0,32,45,71.43,421,91,185
2730,Dwight Howard,ORL,54,1113,726,719,7,572,983,54.8,56.92,-2.12,661,716,54.16,7,0,0.0,180,168,46.67,0,0,,58,139,79.89,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,77,90,58.44,416,0,281
2225,Tony Parker,SAS,60,1093,890,829,61,282,1026,51.48,53.89,-2.41,805,778,48.32,61,42,22.95,80,121,75.62,0,0,,24,65,90.28,0,0,,15,14,87.5,0,0,,0,0,,0,0,,0,0,,41,73,89.02,427,14,225
2548,Dwyane Wade,MIA,48,1082,837,781,56,297,981,53.38,55.91,-2.53,760,760,50.0,56,45,26.79,112,181,80.8,1,2,66.67,21,55,87.3,0,0,,16,15,75.0,0,0,,0,0,,0,0,,0,0,,15,24,80.0,416,15,235
202322,John Wall,WAS,66,1074,894,852,42,400,1071,48.16,50.19,-2.03,803,652,40.6,42,9,7.14,140,228,81.43,0,0,,49,131,89.12,0,0,,2,1,50.0,1,0,0.0,0,0,,0,0,,0,0,,34,53,77.94,378,3,315
200794,Paul Millsap,UTA,64,1060,861,830,31,253,974,52.84,54.51,-1.67,802,782,48.75,31,21,22.58,92,150,81.52,0,0,,28,77,91.67,0,0,,1,1,100.0,0,0,,0,0,,0,0,,0,0,,20,29,72.5,426,7,201
201942,DeMar DeRozan,TOR,63,1054,903,811,92,331,1054,47.29,50.26,-2.97,780,652,41.79,92,72,26.09,124,199,80.24,1,3,100.0,31,90,96.77,0,0,,3,3,100.0,1,2,100.0,0,0,,0,0,,0,0,,22,33,75.0,381,24,268
201935,James Harden,OKC,62,1043,629,337,292,367,798,54.41,65.97,-11.56,308,332,53.9,292,342,39.04,127,216,85.04,11,28,84.85,29,82,94.25,0,0,,11,10,83.33,0,0,,0,0,,0,0,,0,0,,20,33,82.5,309,114,311
201936,Tyreke Evans,SAC,63,1037,900,801,99,258,1021,48.08,51.16,-3.08,774,722,46.64,99,60,20.2,95,150,78.95,0,0,,27,72,88.89,0,0,,9,7,77.78,0,0,,0,0,,0,0,,0,0,,17,26,78.79,408,20,201
