player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff
1629029,Luka Dončić,LAL,64,2143,1457,763,694,645,1745,50.39,61.55,-11.16,700,752,53.71,693,759,36.51,203,309,76.11,18,45,83.33,63,175,92.59,1,4,100.0,11,9,81.82,0,0,,0,0,,1,1,100.0,1,1,100.0,54,88,81.48
1627759,Jaylen Brown,BOS,69,1977,1486,1100,386,510,1714,51.1,57.79,-6.7,1041,1048,50.34,384,396,34.38,182,295,81.04,6,14,77.78,59,164,92.66,2,7,87.5,8,6,75.0,0,0,,0,0,,1,1,100.0,3,2,66.67,28,44,78.57
1630178,Tyrese Maxey,PHI,66,1853,1413,854,559,391,1605,49.07,58.45,-9.38,820,824,50.24,557,606,36.27,123,219,89.02,3,9,100.0,34,99,97.06,2,8,100.0,27,26,92.86,0,0,,0,0,,1,1,100.0,5,4,80.0,33,57,86.36
1628378,Donovan Mitchell,CLE,69,1918,1385,777,608,418,1578,50.53,61.12,-10.6,738,816,55.28,607,660,36.24,110,193,87.73,12,30,83.33,39,108,92.31,1,4,100.0,19,12,63.16,1,2,66.67,0,0,,0,0,,2,2,100.0,49,91,92.86
201142,Kevin Durant,HOU,76,1986,1342,905,437,454,1560,55.55,64.41,-8.85,870,968,55.63,435,546,41.84,112,188,83.93,11,29,87.88,35,102,97.14,2,8,100.0,26,24,92.31,2,3,75.0,0,0,,1,1,100.0,3,3,100.0,63,114,90.48
1628973,Jalen Brunson,NYK,70,1808,1386,878,508,394,1560,49.21,57.97,-8.76,839,832,49.58,500,543,36.2,113,192,84.96,9,21,77.78,39,110,94.02,8,32,100.0,11,8,72.73,5,10,71.43,0,0,,1,1,100.0,2,2,100.0,33,57,86.36
1628983,Shai Gilgeous-Alexander,OKC,65,2010,1269,979,290,566,1531,59.22,66.2,-6.98,920,1060,57.61,290,333,38.28,186,333,89.52,9,24,88.89,59,167,94.35,0,0,,22,19,86.36,0,0,,1,2,100.0,1,1,100.0,3,1,33.33,40,70,87.5
1627750,Jamal Murray,DEN,73,1869,1335,783,552,379,1524,51.9,62.23,-10.32,753,752,49.93,551,717,43.38,92,164,89.13,13,34,87.18,30,87,96.67,1,4,100.0,35,29,82.86,1,2,100.0,0,0,,3,3,100.0,4,4,100.0,41,73,90.12
202695,Kawhi Leonard,LAC,64,1793,1242,804,438,416,1426,53.71,62.91,-9.2,752,814,54.12,436,498,38.07,129,236,91.47,9,25,92.59,52,148,94.87,2,8,100.0,12,11,91.67,1,2,100.0,0,0,,2,2,100.0,1,1,100.0,30,48,80.0
1630162,Anthony Edwards,MIN,60,1740,1218,707,511,436,1423,51.43,61.71,-10.28,669,708,52.91,510,606,39.61,149,242,81.21,6,13,72.22,38,106,92.98,1,4,100.0,17,15,88.24,0,0,,0,0,,2,1,50.0,0,0,,31,45,72.58
