player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts
727,Eric Snow,PHI,200104210PHI,"Apr 21, 2001",IND,14,17,1,17,38.89,40.14,-1.25,15,12,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947,Allen Iverson,IND,200104210PHI,"Apr 21, 2001",PHI,16,19,2,20,36.36,40.24,-3.88,15,14,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,Zan Tabak,IND,200104210PHI,"Apr 21, 2001",PHI,0,3,0,3,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,George Lynch,PHI,200104210PHI,"Apr 21, 2001",IND,6,4,0,4,75.0,75.0,0.0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Tyrone Hill,PHI,200104210PHI,"Apr 21, 2001",IND,8,9,0,9,44.44,44.44,0.0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,Travis Best,IND,200104210PHI,"Apr 21, 2001",PHI,16,12,2,13,59.26,62.11,-2.85,11,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
147,Jalen Rose,IND,200104210PHI,"Apr 21, 2001",PHI,17,22,0,22,36.96,38.64,-1.68,20,14,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Dikembe Mutombo,PHI,200104210PHI,"Apr 21, 2001",IND,12,6,8,10,60.0,63.03,-3.03,6,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979,Jermaine O'Neal,PHI,200104210PHI,"Apr 21, 2001",IND,12,11,4,13,46.15,47.02,-0.87,11,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
397,Reggie Miller,IND,200104210PHI,"Apr 21, 2001",PHI,15,21,2,22,29.41,34.28,-4.87,14,4,7,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Aaron McKie,PHI,200104210PHI,"Apr 21, 2001",IND,18,18,5,20,40.91,44.55,-3.64,15,10,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
64,Sam Perkins,IND,200104210PHI,"Apr 21, 2001",PHI,5,7,0,7,29.41,35.71,-6.3,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,Austin Croshere,IND,200104210PHI,"Apr 21, 2001",PHI,12,8,4,10,57.14,61.48,-4.34,7,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
761,Matt Geiger,PHI,200104210PHI,"Apr 21, 2001",IND,4,2,2,3,66.67,69.44,-2.77,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,Kevin Ollie,PHI,200104210PHI,"Apr 21, 2001",IND,0,2,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733,Al Harrington,IND,200104210PHI,"Apr 21, 2001",PHI,0,3,0,3,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,Raja Bell,PHI,200104210PHI,"Apr 21, 2001",IND,0,1,0,1,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
