player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
201566,Russell Westbrook,OKC,81,2551,1940,1357,583,832,2330,48.18,55.31,-7.13,1294,1122,43.35,582,597,34.19,257,446,86.77,25,63,84.0,63,178,94.18,1,4,100.0,40,30,68.18,4,7,100.0,0,0,,0,0,,0,0,,64,104,80.62,824,200,703
201935,James Harden,HOU,81,2356,1532,776,756,881,1917,50.12,61.37,-11.25,750,772,51.47,754,780,34.48,161,272,84.47,119,309,86.55,26,73,93.59,2,8,100.0,42,35,77.78,3,6,100.0,0,0,,0,0,,0,0,,60,101,82.11,674,262,746
202738,Isaiah Thomas,BOS,76,2199,1472,827,645,649,1782,51.89,62.56,-10.67,788,796,50.51,642,726,37.69,182,327,89.84,23,64,92.75,39,111,94.87,3,11,91.67,33,32,96.97,3,6,100.0,0,0,,0,0,,1,1,100.0,68,125,93.28,682,245,590
203076,Anthony Davis,NOP,75,2099,1526,1392,134,647,1830,54.76,57.96,-3.2,1319,1314,49.81,134,120,29.85,210,338,80.48,1,1,33.33,73,209,95.43,0,0,,31,23,69.7,2,4,100.0,0,0,,0,0,,2,1,50.0,58,89,78.76,770,40,519
1626157,Karl-Anthony Towns,MIN,82,2061,1479,1204,275,428,1667,56.3,61.81,-5.51,1148,1290,56.18,275,303,36.73,147,244,82.99,1,3,100.0,56,156,92.86,0,0,,5,4,66.67,0,0,,0,0,,0,0,,0,0,,35,61,87.14,802,101,356
203081,Damian Lillard,POR,75,2024,1489,911,578,545,1742,49.35,58.54,-9.18,869,810,46.61,574,630,36.59,136,251,92.28,25,64,85.33,42,118,93.65,4,16,100.0,34,33,89.19,0,0,,0,0,,0,0,,1,1,100.0,57,101,88.6,661,214,488
201942,DeMar DeRozan,TOR,74,2020,1545,1422,123,647,1855,52.33,55.2,-2.87,1376,1284,46.66,122,96,26.23,233,398,85.41,6,15,83.33,46,122,88.41,1,4,100.0,25,21,84.0,2,4,100.0,0,0,,0,0,,0,0,,44,76,87.36,721,33,545
201939,Stephen Curry,GSW,78,1975,1431,650,781,358,1598,49.36,62.16,-12.8,618,630,50.97,776,945,40.59,82,143,87.2,17,47,92.16,32,94,97.92,5,20,100.0,28,22,78.57,0,0,,0,0,,0,0,,0,0,,40,74,94.87,667,320,321
2544,LeBron James,CLE,74,1953,1344,1002,342,529,1572,54.87,61.93,-7.06,925,1070,57.84,341,369,36.07,181,248,68.51,4,7,58.33,77,203,87.88,1,4,100.0,7,4,57.14,1,1,50.0,0,0,,0,0,,0,0,,35,47,68.12,736,124,357
202326,DeMarcus Cousins,SAC,72,1942,1431,1067,364,670,1735,49.85,56.26,-6.42,992,882,44.46,361,384,35.46,199,309,77.64,6,12,66.67,75,208,92.44,3,11,91.67,21,17,77.27,2,2,50.0,0,0,,0,0,,0,0,,76,117,78.0,647,131,517
203952,Andrew Wiggins,MIN,82,1933,1568,1279,289,542,1813,48.73,53.5,-4.77,1226,1106,45.11,288,306,35.42,200,302,75.5,2,5,83.33,53,148,93.08,1,3,75.0,6,8,88.89,0,0,,0,0,,0,0,,0,0,,37,55,75.34,709,103,412
202695,Kawhi Leonard,SAS,74,1888,1312,926,386,533,1559,53.29,61.04,-7.75,881,888,50.4,384,435,37.76,162,294,90.74,13,34,87.18,45,126,93.33,2,8,100.0,20,18,90.0,0,0,,0,0,,0,0,,0,0,,52,85,82.52,636,147,469
203468,CJ McCollum,POR,80,1837,1441,1001,440,294,1579,50.8,58.49,-7.69,974,960,49.28,440,555,42.05,88,161,91.48,4,11,91.67,27,79,97.53,0,0,,13,12,85.71,0,0,,0,0,,0,0,,0,0,,33,59,90.77,692,185,268
203507,Giannis Antetokounmpo,MIL,80,1832,1257,1077,180,612,1532,55.41,60.02,-4.6,1015,1090,53.69,180,147,27.22,220,333,75.68,1,3,100.0,62,177,95.16,0,0,,2,3,100.0,1,1,50.0,0,0,,0,0,,0,0,,51,78,76.47,656,49,471
202689,Kemba Walker,CHA,79,1830,1450,849,601,359,1603,47.41,56.9,-9.5,819,746,45.54,595,702,39.33,89,155,87.08,19,48,84.21,30,84,93.33,6,22,91.67,5,2,40.0,0,0,,0,0,,0,0,,0,0,,40,71,85.54,643,240,304
202681,Kyrie Irving,CLE,72,1816,1420,979,441,328,1575,50.32,58.04,-7.73,940,910,48.4,441,531,40.14,74,138,93.24,17,45,88.24,39,111,94.87,0,0,,38,30,78.95,0,0,,0,0,,0,0,,0,0,,26,51,98.08,671,177,297
202710,Jimmy Butler III,CHI,76,1815,1252,1004,248,674,1573,52.98,58.6,-5.63,952,854,44.85,246,267,36.18,239,421,88.08,7,19,90.48,52,145,92.95,2,8,100.0,29,27,90.0,0,0,,0,0,,0,0,,0,0,,46,74,81.32,570,91,584
202322,John Wall,WAS,78,1805,1433,1162,271,527,1674,49.26,54.21,-4.95,1107,1006,45.44,271,267,32.84,153,241,78.76,4,9,75.0,55,155,93.94,0,0,,13,11,78.57,1,2,100.0,0,0,,0,0,,1,1,100.0,69,113,81.88,647,89,422
203078,Bradley Beal,WAS,77,1777,1322,769,553,340,1490,50.24,60.38,-10.14,735,760,51.7,552,666,40.22,85,137,80.59,4,10,83.33,34,96,94.12,1,4,100.0,35,31,83.78,0,0,,0,0,,0,0,,0,0,,44,73,83.91,637,223,280
202331,Paul George,IND,75,1773,1350,854,496,372,1525,49.69,58.57,-8.87,822,790,48.05,493,576,38.95,96,170,88.54,11,29,87.88,32,94,97.92,3,12,100.0,24,26,96.3,0,0,,0,0,,0,0,,1,0,0.0,43,76,90.48,622,195,334
202691,Klay Thompson,GSW,78,1742,1376,729,647,218,1480,48.16,59.17,-11.01,713,720,50.49,646,801,41.33,72,121,84.03,3,9,100.0,16,46,95.83,1,4,100.0,8,7,87.5,0,0,,0,0,,0,0,,0,0,,21,34,85.0,644,268,186
1626164,Devin Booker,PHX,78,1726,1430,1025,405,441,1627,46.57,53.14,-6.57,971,810,41.71,405,441,36.3,137,224,81.75,5,12,80.0,54,155,95.68,0,0,,11,9,75.0,1,2,100.0,0,0,,0,0,,0,0,,43,73,86.9,606,147,367
2546,Carmelo Anthony,NYK,74,1659,1388,968,420,365,1559,46.59,53.56,-6.98,939,844,44.94,418,447,35.65,114,191,83.77,9,23,85.19,29,82,94.25,2,8,100.0,18,18,94.74,0,0,,0,0,,0,0,,0,0,,30,46,76.67,602,151,304
