player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
76804,George Gervin,SAN,79,2551,1987,1951,36,642,0,54.84,56.2,-1.36,993,10,555
77449,Moses Malone,HOU,81,2520,1822,1816,6,827,0,56.29,57.64,-1.35,945,0,630
76504,Adrian Dantley,UTH,81,2457,1586,1583,3,818,0,61.53,63.13,-1.6,904,1,648
76673,Alex English,DEN,82,2082,1553,1545,8,443,0,58.53,59.56,-1.03,855,0,372
76681,Julius Erving,PHL,81,1974,1428,1417,11,539,0,57.96,59.27,-1.31,780,3,411
78549,Gus Williams,SEA,80,1875,1592,1552,40,436,0,51.23,52.56,-1.33,773,9,320
77097,Dan Issel,DEN,81,1852,1236,1230,6,655,0,59.11,60.75,-1.64,651,4,546
77264,Bernard King,GOS,79,1833,1307,1302,5,499,0,58.79,60.04,-1.25,740,1,352
76003,Kareem Abdul-Jabbar,LAL,76,1818,1301,1298,3,442,0,59.67,60.78,-1.11,753,0,312
76753,World Free,GOS,78,1789,1452,1396,56,647,0,49.6,51.51,-1.91,650,10,479
78369,Kelly Tripucka,DET,82,1772,1281,1259,22,621,0,55.29,57.01,-1.72,636,5,495
1449,Larry Bird,BOS,77,1761,1414,1362,52,380,0,54.02,55.69,-1.67,711,11,328
78404,Kiki Vandeweghe,DEN,82,1760,1260,1247,13,405,0,59.9,61.19,-1.29,706,1,347
78532,Jamaal Wilkes,LAL,82,1734,1417,1413,4,336,0,54.63,55.41,-0.78,744,0,246
78418,Jay Vincent,DAL,81,1732,1448,1444,4,409,0,52.34,53.2,-0.86,719,1,293
78571,Ray Williams,NJN,82,1674,1383,1329,54,465,0,50.96,52.72,-1.76,639,9,387
78331,Mychal Thompson,POR,79,1642,1303,1303,0,446,0,53.8,54.76,-0.96,681,0,280
78149,Jack Sikma,SEA,82,1611,1212,1199,13,523,0,54.43,55.86,-1.43,581,2,447
305,Robert Parish,BOS,80,1590,1235,1235,0,355,0,56.28,57.14,-0.86,669,0,252
76890,Darrell Griffith,UTH,80,1582,1429,1377,52,271,0,49.73,51.09,-1.36,689,15,189
77626,Sidney Moncrief,MIL,80,1581,1063,1049,14,573,0,58.27,60.11,-1.84,556,1,468
77141,Dennis Johnson,PHX,80,1561,1228,1186,42,495,0,52.16,53.98,-1.82,577,8,399
77819,Jim Paxson,POR,82,1552,1259,1224,35,287,0,54.65,56.02,-1.37,662,8,220
600014,Artis Gilmore,CHI,82,1517,837,836,1,552,0,68.12,70.24,-2.12,546,1,424
1381,John Long,DET,69,1514,1294,1279,15,275,0,52.61,53.5,-0.89,637,2,238
78310,Reggie Theus,CHI,82,1508,1194,1094,100,449,0,51.34,54.18,-2.84,560,25,363
76091,Greg Ballard,WAS,79,1486,1307,1285,22,283,0,50.91,51.9,-0.99,621,9,235
77952,Micheal Ray Richardson,NYK,82,1469,1343,1242,101,303,0,47.54,49.75,-2.21,619,19,212
77142,Magic Johnson,LAL,78,1447,1036,1007,29,433,0,57.1,58.99,-1.89,556,6,329
77721,Norm Nixon,LAL,82,1440,1274,1262,12,224,0,51.72,52.46,-0.74,628,3,181
77993,Truck Robinson,PHX,74,1414,1128,1127,1,371,0,53.81,54.75,-0.94,579,1,255
76526,Johnny Davis,IND,82,1396,1153,1126,27,394,0,51.19,52.63,-1.44,538,5,315
1472,Tom Chambers,SDC,81,1392,1056,1054,2,458,0,54.12,55.35,-1.23,554,0,284
76249,Ron Brewer,CLE,72,1357,1194,1163,31,260,0,50.65,51.86,-1.21,569,8,211
77691,Calvin Natt,POR,75,1326,894,886,8,392,0,60.6,62.17,-1.57,515,2,294
76979,Elvin Hayes,HOU,82,1318,1100,1095,5,422,0,50.17,51.26,-1.09,519,0,280
76598,John Drew,ATL,70,1298,957,945,12,491,0,53.7,55.33,-1.63,465,4,364
76353,Joe Barry Carroll,GOS,76,1289,1016,1015,1,323,0,54.71,55.65,-0.94,527,0,235
