player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff
1628983,Shai Gilgeous-Alexander,OKC,73,2368,1587,1168,419,630,1887,56.07,63.51,-7.44,1111,1216,54.73,418,468,37.32,195,354,90.77,10,28,93.33,57,161,94.15,1,4,100.0,31,29,93.55,1,3,100.0,1,2,100.0,6,6,100.0,2,2,100.0,54,95,87.96
1630162,Anthony Edwards,MIN,77,2096,1565,776,789,460,1773,47.86,59.3,-11.43,723,672,46.47,787,927,39.26,158,263,83.23,6,14,77.78,53,150,94.34,2,8,100.0,15,13,86.67,1,2,100.0,1,2,100.0,2,2,100.0,0,0,,25,43,86.0
1626164,Devin Booker,PHX,75,1923,1420,869,551,483,1643,49.64,58.9,-9.26,828,860,51.93,546,534,32.6,140,256,91.43,14,40,95.24,41,119,96.75,5,20,100.0,22,20,90.91,2,4,66.67,0,0,,2,2,100.0,1,1,100.0,42,67,79.76
1629027,Trae Young,ATL,76,1841,1376,734,642,561,1643,46.55,56.72,-10.17,698,624,44.7,641,651,33.85,131,230,87.79,19,46,80.7,36,106,98.15,1,4,100.0,22,22,100.0,1,1,100.0,1,2,100.0,4,3,75.0,2,1,50.0,87,151,86.78
1628369,Jayson Tatum,BOS,70,1890,1435,723,712,428,1637,47.13,58.21,-11.08,692,744,53.76,709,726,34.13,119,196,82.35,19,46,80.7,31,88,94.62,3,12,100.0,26,17,65.38,2,5,100.0,0,0,,2,2,100.0,1,1,100.0,33,53,81.54
203507,Giannis Antetokounmpo,MIL,67,2036,1319,1256,63,707,1627,59.72,62.45,-2.73,1164,1374,59.02,63,42,22.22,260,320,61.54,1,3,100.0,92,239,86.59,0,0,,0,0,,5,9,90.0,0,0,,0,0,,1,1,100.0,41,48,58.54
1630595,Cade Cunningham,DET,69,1792,1432,1021,411,349,1599,49.45,56.51,-7.06,984,978,49.7,411,447,36.25,116,198,85.34,4,12,100.0,37,106,95.5,0,0,,23,17,73.91,0,0,,0,0,,3,2,66.67,0,0,,21,32,76.19
1630224,Jalen Green,HOU,82,1723,1437,776,661,336,1591,44.51,54.36,-9.85,751,698,46.47,655,684,34.81,109,182,83.49,12,28,77.78,25,70,93.33,6,22,91.67,11,7,63.64,0,0,,0,0,,3,2,66.67,1,1,100.0,18,29,80.56
201935,James Harden,LAC,78,1780,1277,619,658,568,1526,47.09,58.29,-11.2,585,518,44.27,647,666,34.31,143,250,87.41,48,131,90.97,34,96,94.12,11,43,97.73,22,19,86.36,0,0,,0,0,,0,0,,1,1,100.0,35,56,80.0
1629639,Tyler Herro,MIA,76,1826,1367,702,665,325,1519,48.99,60.46,-11.47,674,738,54.75,658,726,36.78,88,153,86.93,17,45,88.24,28,81,96.43,7,27,96.43,27,22,81.48,1,3,100.0,0,0,,1,0,0.0,1,1,100.0,17,30,88.24
203999,Nikola Jokić,DEN,68,1992,1313,991,322,426,1505,59.0,66.38,-7.38,939,1142,60.81,322,405,41.93,106,171,80.66,6,15,83.33,52,145,92.95,0,0,,9,7,77.78,1,2,100.0,0,0,,3,2,66.67,2,2,100.0,65,101,77.69
