player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts
2030,Kenyon Martin,NJN,200304190NJN,"Apr 19, 2003",MIL,21,16,3,17,60.0,60.62,-0.62,15,18,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Sam Cassell,MIL,200304190NJN,"Apr 19, 2003",NJN,16,12,0,12,61.54,66.67,-5.13,10,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,Jason Collins,NJN,200304190NJN,"Apr 19, 2003",MIL,13,7,4,9,72.22,74.2,-1.98,7,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2409,Marcus Haislip,MIL,200304190NJN,"Apr 19, 2003",NJN,8,6,0,6,66.67,66.67,0.0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,Jason Kidd,NJN,200304190NJN,"Apr 19, 2003",MIL,14,10,0,10,58.33,70.0,-11.67,6,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Gary Payton,MIL,200304190NJN,"Apr 19, 2003",NJN,8,11,2,11,30.77,33.67,-2.9,7,2,2,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954,Kerry Kittles,NJN,200304190NJN,"Apr 19, 2003",MIL,18,15,1,15,51.43,58.29,-6.86,10,12,4,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,Desmond Mason,MIL,200304190NJN,"Apr 19, 2003",NJN,14,11,7,14,48.28,49.72,-1.44,10,8,0,0,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
911,Ervin Johnson,NJN,200304190NJN,"Apr 19, 2003",MIL,0,2,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,Toni Kukoc,MIL,200304190NJN,"Apr 19, 2003",NJN,14,9,0,9,63.64,77.78,-14.14,5,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,Michael Redd,MIL,200304190NJN,"Apr 19, 2003",NJN,11,12,0,12,40.74,45.83,-5.09,9,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,Richard Jefferson,NJN,200304190NJN,"Apr 19, 2003",MIL,10,9,2,10,50.0,50.61,-0.61,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
915,Rodney Rogers,NJN,200304190NJN,"Apr 19, 2003",MIL,11,10,4,12,40.74,46.77,-6.03,7,8,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Anthony Mason,MIL,200304190NJN,"Apr 19, 2003",NJN,0,1,0,1,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Tim Thomas,MIL,200304190NJN,"Apr 19, 2003",NJN,25,14,3,16,67.57,81.59,-14.02,8,10,6,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,Dikembe Mutombo,NJN,200304190NJN,"Apr 19, 2003",MIL,2,3,0,3,33.33,33.33,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,Lucious Harris,NJN,200304190NJN,"Apr 19, 2003",MIL,17,10,4,12,62.96,72.28,-9.32,7,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
