player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
977,Kobe Bryant,LAL,82,2319,1690,1275,415,738,2032,51.16,57.55,-6.39,1214,1128,46.46,413,444,35.84,233,383,82.19,14,36,85.71,61,170,92.9,2,8,100.0,25,24,88.89,0,0,,0,0,,0,0,,0,0,,70,126,90.0,775,150,619
2544,LeBron James,CLE,75,2248,1642,1283,359,767,1991,50.98,56.78,-5.81,1196,1188,49.67,358,336,31.28,255,359,70.39,3,8,88.89,87,233,89.27,1,3,75.0,19,11,57.89,1,1,50.0,0,0,,0,0,,0,0,,71,109,76.76,794,113,547
947,Allen Iverson,DEN,82,2164,1556,1281,275,797,1929,51.72,56.75,-5.03,1214,1100,45.3,275,285,34.55,244,397,81.35,12,23,63.89,67,190,94.53,0,0,,28,26,76.47,1,1,50.0,0,0,,0,0,,0,0,,88,142,80.68,712,95,645
2405,Amar'e Stoudemire,PHX,79,1989,1211,1180,31,691,1501,63.26,65.64,-2.38,1070,1198,55.98,31,15,16.13,257,412,80.16,1,2,66.67,110,309,93.64,0,0,,0,0,,1,2,100.0,0,0,,0,0,,0,0,,31,51,82.26,714,5,556
2546,Carmelo Anthony,DEN,77,1976,1481,1317,164,588,1782,53.2,56.79,-3.59,1276,1258,49.29,162,168,34.57,181,290,80.11,0,0,,41,113,91.87,2,7,87.5,60,45,68.18,0,0,,0,0,,0,0,,1,1,100.0,59,94,79.66,728,58,462
2210,Richard Jefferson,NJN,82,1854,1328,1115,213,675,1659,52.31,57.05,-4.73,1075,1004,46.7,213,231,36.15,239,397,83.05,2,4,66.67,40,107,89.17,0,0,,34,26,66.67,0,0,,0,0,,0,0,,0,0,,56,85,75.89,619,77,539
1717,Dirk Nowitzki,DAL,77,1817,1314,1094,220,544,1580,53.57,58.49,-4.92,1050,1014,48.29,220,237,35.91,152,269,88.49,3,9,100.0,44,124,93.94,0,0,,34,26,76.47,0,0,,0,0,,0,0,,1,1,100.0,76,137,90.13,630,79,478
1884,Baron Davis,GSW,82,1790,1526,1001,525,422,1722,44.76,52.29,-7.53,959,870,45.36,525,519,32.95,136,201,73.9,2,6,100.0,42,115,91.27,0,0,,13,11,78.57,0,0,,0,0,,0,0,,1,0,0.0,44,68,77.27,650,173,317
2207,Joe Johnson,ATL,82,1779,1497,1053,444,379,1691,46.61,53.46,-6.86,1022,894,43.74,444,507,38.06,103,170,82.52,0,0,,31,88,94.62,0,0,,40,34,85.0,0,0,,0,0,,0,0,,0,0,,51,86,84.31,647,169,316
2202,Jason Richardson,CHA,81,1774,1450,859,591,327,1595,46.46,55.65,-9.19,827,740,44.74,589,717,40.58,111,167,75.23,2,5,83.33,32,87,90.62,2,7,87.5,0,0,,0,0,,0,0,,0,0,,0,0,,32,51,78.46,643,241,247
2744,Al Jefferson,MIN,82,1726,1441,1436,5,394,1607,52.61,53.46,-0.85,1374,1318,47.96,5,0,0.0,149,217,72.82,0,0,,62,165,88.71,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,17,26,76.47,721,0,284
2430,Carlos Boozer,UTA,81,1708,1297,1296,1,393,1466,57.16,58.1,-0.94,1240,1306,52.66,1,0,0.0,145,214,73.79,0,0,,56,153,91.07,0,0,,2,3,100.0,1,1,50.0,0,0,,0,0,,0,0,,21,31,73.81,709,0,290
2730,Dwight Howard,ORL,82,1694,974,970,4,895,1380,59.5,61.92,-2.42,886,998,56.32,4,0,0.0,303,355,58.58,0,0,,84,211,83.73,0,0,,1,1,50.0,0,0,,0,0,,0,0,,1,1,100.0,101,128,63.37,583,0,528
1712,Antawn Jamison,WAS,79,1689,1417,1063,354,438,1609,46.58,52.46,-5.88,1018,906,44.5,351,351,33.33,142,220,77.46,10,23,76.67,45,121,89.63,3,11,91.67,4,4,80.0,0,0,,0,0,,0,0,,1,0,0.0,35,53,75.71,618,120,333
101108,Chris Paul,NOP,80,1679,1291,1042,249,384,1473,52.22,57.5,-5.28,1010,1012,50.1,249,276,36.95,86,152,88.37,1,3,100.0,32,92,95.83,0,0,,15,10,58.82,1,2,100.0,0,0,,0,0,,0,0,,79,132,83.54,630,92,327
2037,Jamal Crawford,NYK,80,1645,1391,897,494,381,1578,44.98,52.77,-7.79,864,722,41.78,493,525,35.5,95,167,87.89,13,33,84.62,33,93,93.94,1,4,100.0,41,37,88.1,1,2,100.0,0,0,,0,0,,0,0,,37,62,83.78,570,176,329
101145,Monta Ellis,GSW,81,1635,1227,1175,52,415,1417,55.97,58.0,-2.02,1135,1200,52.86,52,36,23.08,154,247,80.19,0,0,,40,106,88.33,0,0,,5,5,83.33,1,2,100.0,0,0,,0,0,,0,0,,30,39,65.0,652,12,319
2072,Michael Redd,MIL,72,1632,1243,884,359,490,1476,48.94,55.94,-7.01,835,742,44.43,358,387,36.03,128,218,85.16,6,9,50.0,49,142,96.6,1,4,100.0,33,29,85.29,0,0,,0,0,,0,0,,0,0,,66,101,76.52,550,130,402
200752,Rudy Gay,MEM,81,1631,1355,968,387,314,1503,47.82,54.62,-6.8,941,928,49.31,387,402,34.63,105,172,81.9,1,2,66.67,27,72,88.89,0,0,,10,7,70.0,0,0,,0,0,,0,0,,0,0,,32,48,75.0,625,134,247
