player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
977,Kobe Bryant,LAL,23,671,511,380,131,183,598,50.22,56.72,-6.49,368,346,47.01,131,147,37.4,52,85,81.73,3,9,100.0,12,34,94.44,0,0,,8,7,70.0,0,0,,0,0,,0,0,,0,0,,24,43,89.58,234,49,154
1718,Paul Pierce,BOS,24,451,336,234,102,142,401,49.24,56.59,-7.35,222,190,42.79,102,120,39.22,43,68,79.07,2,4,66.67,12,34,94.44,0,0,,3,4,100.0,1,1,50.0,0,0,,0,0,,0,0,,16,30,93.75,147,40,117
2200,Pau Gasol,LAL,23,450,306,303,3,158,380,58.21,59.92,-1.7,292,308,52.74,3,0,0.0,50,77,77.0,0,0,,11,30,90.91,0,0,,2,3,100.0,0,0,,0,0,,0,0,,0,0,,22,32,72.73,165,0,120
951,Ray Allen,BOS,24,387,304,159,145,80,348,46.46,57.05,-10.59,152,136,44.74,145,168,38.62,21,34,80.95,0,0,,7,21,100.0,0,0,,15,14,93.33,1,1,50.0,0,0,,0,0,,0,0,,7,13,92.86,131,56,69
200765,Rajon Rondo,BOS,24,379,326,302,24,114,381,47.97,50.38,-2.4,296,272,45.95,24,27,37.5,40,45,56.25,0,0,,6,15,83.33,0,0,,1,1,100.0,0,0,,0,0,,0,0,,0,0,,14,19,67.86,151,9,68
2405,Amar'e Stoudemire,PHX,16,355,239,235,4,142,304,56.89,58.88,-1.99,223,224,50.22,4,0,0.0,55,86,78.18,0,0,,12,32,88.89,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10,13,65.0,124,0,107
708,Kevin Garnett,BOS,23,345,301,299,2,56,325,52.27,52.97,-0.7,291,282,48.45,2,0,0.0,14,26,92.86,0,0,,8,23,95.83,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10,14,70.0,149,0,47
2544,LeBron James,CLE,11,320,211,161,50,120,264,54.05,60.65,-6.6,146,142,48.63,50,60,40.0,36,50,69.44,1,2,66.67,15,41,91.11,0,0,,3,3,75.0,1,2,100.0,0,0,,0,0,,0,0,,12,20,83.33,106,20,88
2202,Jason Richardson,PHX,16,316,223,122,101,58,250,52.23,63.58,-11.34,119,122,51.26,101,144,47.52,12,20,83.33,2,4,66.67,3,8,88.89,0,0,,1,0,0.0,1,1,50.0,0,0,,0,0,,0,0,,11,17,77.27,112,48,44
959,Steve Nash,PHX,16,284,191,141,50,75,232,56.02,63.39,-7.38,137,152,55.47,50,57,38.0,4,8,100.0,1,2,66.67,4,12,100.0,0,0,,12,9,75.0,0,0,,0,0,,0,0,,0,0,,24,44,91.67,99,19,67
2749,Jameer Nelson,ORL,14,266,190,106,84,62,219,50.57,61.21,-10.64,103,110,53.4,83,96,38.55,11,19,86.36,0,0,,3,8,88.89,1,4,100.0,2,4,100.0,0,0,,0,0,,0,0,,0,0,,16,25,78.12,91,33,51
1897,Metta World Peace,LAL,23,258,254,137,117,38,272,38.91,47.65,-8.74,135,130,48.15,117,102,29.06,9,11,61.11,0,0,,2,6,100.0,0,0,,1,2,100.0,0,0,,0,0,,0,0,,0,0,,8,7,43.75,101,34,22
2730,Dwight Howard,ORL,14,254,140,140,0,158,213,57.99,60.61,-2.62,128,148,57.81,0,0,,51,50,49.02,0,0,,12,29,80.56,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,22,27,61.36,86,0,82
101114,Deron Williams,UTA,10,243,149,98,51,111,202,52.83,61.41,-8.59,90,78,43.33,51,60,39.22,34,53,77.94,0,0,,8,24,100.0,0,0,,3,1,33.33,1,2,100.0,0,0,,0,0,,0,0,,15,25,83.33,67,20,89
965,Derek Fisher,LAL,23,237,183,108,75,56,208,47.69,57.07,-9.38,105,104,49.52,75,81,36.0,11,17,77.27,6,18,100.0,3,8,88.89,0,0,,3,1,33.33,0,0,,0,0,,0,0,,0,0,,5,8,80.0,82,27,46
1885,Lamar Odom,LAL,23,222,194,153,41,50,216,46.35,51.39,-5.04,147,150,51.02,41,30,24.39,20,24,60.0,0,0,,6,14,77.78,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,4,100.0,91,10,30
1713,Vince Carter,ORL,14,217,184,133,51,69,217,44.47,50.62,-6.15,126,110,43.65,51,36,23.53,19,31,81.58,0,0,,7,20,95.24,0,0,,4,3,75.0,1,2,100.0,0,0,,0,0,,0,0,,9,15,83.33,74,12,57
101115,Andrew Bynum,LAL,23,198,149,149,0,56,173,55.93,57.01,-1.08,141,144,51.06,0,0,,19,29,76.32,0,0,,8,20,83.33,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,5,50.0,80,0,38
2207,Joe Johnson,ATL,11,197,199,158,41,42,220,40.96,45.29,-4.34,155,130,41.94,41,27,21.95,15,25,83.33,0,0,,3,7,77.78,0,0,,4,5,100.0,0,0,,0,0,,0,0,,0,0,,2,3,75.0,77,9,34
2430,Carlos Boozer,UTA,10,197,168,168,0,35,184,53.1,53.71,-0.61,165,172,52.12,0,0,,10,12,60.0,0,0,,3,9,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,4,33.33,89,0,19
1938,Manu Ginobili,SAS,10,194,140,80,60,67,174,47.67,57.23,-9.57,76,68,44.74,60,60,33.33,10,15,75.0,1,3,100.0,4,12,100.0,0,0,,6,5,83.33,1,2,100.0,0,0,,0,0,,0,0,,16,29,90.62,58,20,58
1495,Tim Duncan,SAS,10,190,150,148,2,69,180,51.21,52.67,-1.46,139,136,48.92,2,3,50.0,26,24,46.15,0,0,,9,22,81.48,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4,5,62.5,78,1,33
2546,Carmelo Anthony,DEN,6,184,138,119,19,57,165,52.27,56.41,-4.14,116,110,47.41,19,18,31.58,22,37,84.09,0,0,,3,9,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,10,100.0,64,6,50
