player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts
2760,Anderson Varejao,CLE,200910270CLE,"Oct 27, 2009",BOS,9,9,4,11,40.91,41.82,-0.91,9,6,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951,Ray Allen,BOS,200910270CLE,"Oct 27, 2009",CLE,16,16,5,19,39.02,43.96,-4.94,12,6,4,6,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
406,Shaquille O'Neal,CLE,200910270CLE,"Oct 27, 2009",BOS,10,11,2,12,41.67,42.09,-0.42,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2544,LeBron James,CLE,200910270CLE,"Oct 27, 2009",BOS,38,22,13,28,57.58,68.54,-10.96,12,14,9,12,3,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4
708,Kevin Garnett,BOS,200910270CLE,"Oct 27, 2009",CLE,13,10,4,12,54.17,55.27,-1.1,10,10,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2590,Mo Williams,CLE,200910270CLE,"Oct 27, 2009",BOS,12,8,6,11,48.0,56.39,-8.39,5,6,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1515,Anthony Parker,CLE,200910270CLE,"Oct 27, 2009",BOS,10,9,2,10,43.48,50.61,-7.13,6,2,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718,Paul Pierce,BOS,200910270CLE,"Oct 27, 2009",CLE,23,13,10,18,56.1,66.09,-9.99,8,8,5,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
200765,Rajon Rondo,BOS,200910270CLE,"Oct 27, 2009",CLE,8,8,0,8,50.0,50.0,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,Zydrunas Ilgauskas,CLE,200910270CLE,"Oct 27, 2009",BOS,6,4,4,6,50.0,52.08,-2.08,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
739,Rasheed Wallace,BOS,200910270CLE,"Oct 27, 2009",CLE,12,9,2,10,46.15,60.73,-14.58,3,2,6,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200789,Daniel Gibson,CLE,200910270CLE,"Oct 27, 2009",BOS,2,3,1,4,25.0,29.07,-4.07,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2605,Marquis Daniels,BOS,200910270CLE,"Oct 27, 2009",CLE,7,5,0,5,63.64,70.0,-6.36,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201581,JJ Hickson,CLE,200910270CLE,"Oct 27, 2009",BOS,0,1,0,1,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200081,Jamario Moon,CLE,200910270CLE,"Oct 27, 2009",BOS,2,3,0,3,28.57,33.33,-4.76,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200749,Shelden Williams,BOS,200910270CLE,"Oct 27, 2009",CLE,4,1,4,3,66.67,72.46,-5.79,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2067,Eddie House,BOS,200910270CLE,"Oct 27, 2009",CLE,3,3,0,3,33.33,50.0,-16.67,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2570,Kendrick Perkins,BOS,200910270CLE,"Oct 27, 2009",CLE,9,7,1,7,60.0,60.48,-0.48,6,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
