player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts
406,Shaquille O'Neal,MIA,200610310MIA,"Oct 31, 2006",CHI,7,10,2,11,31.82,32.17,-0.35,10,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,P.J. Brown,CHI,200610310MIA,"Oct 31, 2006",MIA,4,2,2,3,66.67,69.44,-2.77,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2732,Ben Gordon,CHI,200610310MIA,"Oct 31, 2006",MIA,6,9,5,12,24.0,26.79,-2.79,7,2,2,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2548,Dwyane Wade,MIA,200610310MIA,"Oct 31, 2006",CHI,25,15,6,19,64.1,70.86,-6.76,12,16,3,6,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2617,Udonis Haslem,MIA,200610310MIA,"Oct 31, 2006",CHI,6,9,0,9,33.33,33.33,0.0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2550,Kirk Hinrich,CHI,200610310MIA,"Oct 31, 2006",MIA,26,18,4,19,57.78,65.79,-8.01,11,10,5,9,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1
952,Antoine Walker,MIA,200610310MIA,"Oct 31, 2006",CHI,9,9,6,12,30.0,38.66,-8.66,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2736,Luol Deng,CHI,200610310MIA,"Oct 31, 2006",MIA,12,9,6,12,50.0,51.55,-1.55,9,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
56,Gary Payton,MIA,200610310MIA,"Oct 31, 2006",CHI,7,5,5,8,36.84,48.61,-11.77,1,0,4,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
297,Alonzo Mourning,MIA,200610310MIA,"Oct 31, 2006",CHI,1,2,2,3,16.67,17.36,-0.69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
