player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
1449,Larry Bird,BOS,23,632,437,420,17,190,0,58.46,60.7,-2.24,229,7,167
76003,Kareem Abdul-Jabbar,LAL,21,502,371,371,0,120,0,58.24,59.23,-0.99,206,0,90
1453,Walter Davis,PHX,17,423,327,316,11,78,0,56.93,58.54,-1.61,175,3,70
77264,Bernard King,NYK,12,417,282,281,1,123,0,60.61,62.03,-1.42,162,0,93
77142,Magic Johnson,LAL,21,382,274,267,7,100,0,58.32,60.06,-1.74,151,0,80
1460,James Worthy,LAL,21,371,274,272,2,69,0,59.94,60.95,-1.01,164,1,42
77141,Dennis Johnson,BOS,22,365,319,312,7,120,0,47.71,49.09,-1.38,129,3,104
76504,Adrian Dantley,UTH,11,354,232,232,0,139,0,58.71,60.38,-1.67,117,0,120
305,Robert Parish,BOS,23,342,291,291,0,99,0,50.22,51.11,-0.89,139,0,64
1450,Kevin McHale,BOS,23,340,244,241,3,121,0,55.56,57.19,-1.63,123,0,94
77160,Marques Johnson,MIL,16,324,273,269,4,90,0,50.62,51.82,-1.2,129,1,65
77626,Sidney Moncrief,MIL,16,305,191,187,4,134,0,58.65,61.01,-2.36,99,1,106
77420,Maurice Lucas,PHX,17,295,227,227,0,78,0,55.45,56.44,-0.99,116,0,63
76993,Gerald Henderson,BOS,23,287,237,226,11,75,0,51.25,53.15,-1.9,115,3,54
77685,Larry Nance,PHX,17,287,200,200,0,76,0,60.29,61.47,-1.18,118,0,51
77498,Bob McAdoo,LAL,20,279,215,214,1,81,0,54.49,55.66,-1.17,111,0,57
77487,Cedric Maxwell,BOS,23,274,167,166,1,136,0,58.17,60.39,-2.22,84,0,106
76176,Rolando Blackman,DAL,10,239,175,175,0,63,0,57.87,58.95,-1.08,93,0,53
76444,Michael Cooper,LAL,21,238,191,155,36,62,0,49.58,54.52,-4.94,88,12,50
229,James Edwards,PHX,17,234,189,189,0,68,0,52.47,53.44,-0.97,93,0,48
76252,Junior Bridgeman,MIL,16,230,193,184,9,65,0,50.0,51.9,-1.9,88,1,53
76016,Mark Aguirre,DAL,10,220,184,179,5,57,0,51.16,52.61,-1.45,88,0,44
76890,Darrell Griffith,UTH,11,211,183,138,45,48,0,45.97,51.69,-5.72,81,16,33
77530,Mike McGee,LAL,17,211,157,140,17,39,0,57.03,60.58,-3.55,90,6,25
76362,Bill Cartwright,NYK,12,209,126,126,0,80,0,62.95,64.83,-1.88,70,0,69
600005,Bob Lanier,MIL,16,203,171,171,0,44,0,52.59,53.32,-0.73,82,0,39
76539,Darryl Dawkins,NJN,11,202,118,115,3,83,0,62.73,65.36,-2.63,66,0,70
77952,Micheal Ray Richardson,NJN,11,185,169,147,22,56,0,44.47,47.77,-3.3,69,6,41
77438,Kyle Macy,PHX,17,176,157,135,22,16,0,50.0,53.65,-3.65,77,10,12
433,Buck Williams,NJN,11,171,130,130,0,81,0,50.15,51.62,-1.47,63,0,45
2,Byron Scott,LAL,20,171,161,151,10,35,0,46.59,48.47,-1.88,74,2,21
76616,Mike Dunleavy,MIL,15,169,129,79,50,36,0,49.13,58.34,-9.21,59,18,33
76170,Otis Birdsong,NJN,11,167,171,170,1,48,0,42.71,43.46,-0.75,71,0,25
76874,Rickey Green,UTH,11,161,151,147,4,43,0,46.13,47.38,-1.25,64,1,32
78418,Jay Vincent,DAL,10,152,124,123,1,62,0,48.87,50.24,-1.37,48,0,56
76673,Alex English,DEN,5,145,102,101,1,28,0,62.23,63.42,-1.19,60,0,25
76011,Alvan Adams,PHX,17,142,126,126,0,53,0,46.56,47.55,-0.99,53,0,36
77879,Paul Pressey,MIL,16,142,100,97,3,56,0,54.83,56.96,-2.13,52,0,38
77905,Kurt Rambis,LAL,21,141,92,92,0,33,0,64.98,66.18,-1.2,60,0,21
77263,Albert King,NJN,11,138,128,126,2,46,0,45.39,46.55,-1.16,53,0,32
77097,Dan Issel,DEN,5,137,102,100,2,39,0,55.92,57.49,-1.57,52,1,32
78369,Kelly Tripucka,DET,5,137,102,101,1,51,0,53.52,55.05,-1.53,48,0,41
600009,Rory Sparrow,NYK,12,134,121,115,6,30,0,48.2,49.93,-1.73,54,2,24
78404,Kiki Vandeweghe,DEN,5,127,96,91,5,28,0,56.44,58.62,-2.18,49,2,27
78571,Ray Williams,NYK,11,123,130,118,12,39,0,39.55,41.79,-2.24,46,2,29
78549,Gus Williams,SEA,5,117,98,92,6,21,0,52.47,54.55,-2.08,50,2,15
1847,Thurl Bailey,UTH,11,117,97,95,2,21,0,53.92,55.06,-1.14,50,0,17
77819,Jim Paxson,POR,5,114,78,73,5,40,0,56.72,59.62,-2.9,40,1,33
76598,John Drew,UTH,11,112,85,85,0,33,0,55.17,56.27,-1.1,43,0,26
78149,Jack Sikma,SEA,5,110,98,97,1,14,0,52.13,52.8,-0.67,49,0,12
175,Alton Lister,MIL,16,108,78,78,0,48,0,52.94,54.48,-1.54,39,0,30
76483,Pat Cummings,DAL,10,108,115,115,0,15,0,44.08,44.41,-0.33,47,0,14
78318,Isiah Thomas,DET,5,107,83,77,6,35,0,51.69,54.37,-2.68,39,2,27
77449,Moses Malone,PHL,5,107,83,83,0,32,0,54.04,55.11,-1.07,38,0,31
78351,Andrew Toney,PHL,5,103,77,72,5,30,0,54.5,57.1,-2.6,40,0,23
77691,Calvin Natt,POR,5,99,72,69,3,36,0,54.1,56.35,-2.25,37,0,25
77623,Paul Mokeski,MIL,16,98,63,61,2,45,0,56.65,59.18,-2.53,34,0,30
1122,Dominique Wilkins,ATL,5,96,84,83,1,31,0,48.0,49.16,-1.16,35,0,26
78041,Jeff Ruland,WAS,4,96,71,70,1,27,0,56.47,57.92,-1.45,37,0,22
76826,Mike Gminski,NJN,11,94,50,50,0,52,0,61.84,64.49,-2.65,29,0,36
78395,Darnell Valentine,POR,5,92,60,60,0,35,0,59.35,61.01,-1.66,30,0,32
76017,Danny Ainge,BOS,19,91,90,81,9,10,0,45.73,48.2,-2.47,41,2,7
76681,Julius Erving,PHL,5,91,76,75,1,22,0,52.0,53.1,-1.1,36,0,19
78375,Trent Tucker,NYK,12,91,84,79,5,10,0,49.73,51.47,-1.74,42,1,6
78500,Paul Westphal,PHX,17,90,80,71,9,32,0,44.78,47.83,-3.05,30,2,28
78482,Scott Wedman,BOS,17,89,96,89,7,10,0,42.58,44.32,-1.74,40,4,5
78025,Dan Roundfield,ATL,5,86,69,68,1,35,0,49.43,50.95,-1.52,30,1,25
77993,Truck Robinson,NYK,12,85,74,74,0,15,0,52.15,52.73,-0.58,38,0,9
76385,Maurice Cheeks,PHL,5,83,67,66,1,15,0,55.33,56.39,-1.06,35,0,13
78437,Darrell Walker,NYK,12,82,73,73,0,46,0,42.71,43.97,-1.26,27,0,28
76516,Brad Davis,DAL,10,81,73,71,2,19,0,48.5,49.78,-1.28,33,0,15
76435,Darwin Cook,NJN,11,81,82,69,13,24,0,40.3,43.76,-3.46,30,4,17
78537,Jeff Wilkins,UTH,11,77,57,57,0,22,0,56.62,57.74,-1.12,30,0,17
100263,Bill Laimbeer,DET,5,76,51,51,0,20,0,62.3,63.55,-1.25,29,0,18
76296,Quinn Buckner,BOS,23,76,79,78,1,22,0,41.99,42.85,-0.86,32,0,12
77864,Charlie Pittman,PHX,17,74,51,50,1,29,0,56.06,58.03,-1.97,28,0,18
76350,Kenny Carr,POR,5,74,59,59,0,19,0,54.01,54.93,-0.92,31,0,12
77770,Louis Orr,NYK,12,73,70,70,0,19,0,45.91,46.58,-0.67,29,0,15
470,Doc Rivers,ATL,5,68,32,29,3,41,0,62.96,67.95,-4.99,16,0,36
1472,Tom Chambers,SEA,5,68,59,58,1,18,0,49.64,50.81,-1.17,28,0,12
76091,Greg Ballard,WAS,4,66,59,58,1,13,0,50.0,50.99,-0.99,27,0,12
78532,Jamaal Wilkes,LAL,14,63,70,69,1,11,0,41.45,42.09,-0.64,28,0,7
78331,Mychal Thompson,POR,4,61,44,44,0,22,0,55.45,56.82,-1.37,22,0,17
78215,Ricky Sobers,WAS,4,61,57,47,10,10,0,45.52,49.67,-4.15,25,3,8
78610,Al Wood,SEA,5,60,56,55,1,12,0,48.0,48.96,-0.96,26,0,8
78059,Mike Sanders,PHX,15,60,46,46,0,17,0,55.05,56.1,-1.05,22,0,16
107,Dale Ellis,DAL,8,59,80,68,12,8,0,32.78,35.32,-2.54,26,1,6
77689,Swen Nater,LAL,17,58,38,38,0,26,0,56.86,58.66,-1.8,19,0,20
77146,Frank Johnson,WAS,4,57,42,39,3,8,0,60.0,62.61,-2.61,24,1,8
78565,Rob Williams,DEN,5,57,47,34,13,12,0,47.9,54.51,-6.61,21,5,10
76632,Jerry Eaves,UTH,11,55,46,43,3,13,0,50.93,53.17,-2.24,22,1,10
1381,John Long,DET,5,55,55,54,1,15,0,43.65,44.64,-0.99,20,0,15
77754,Mike O'Koren,NJN,11,55,59,58,1,6,0,44.0,44.61,-0.61,25,0,5
77235,Rich Kelley,UTH,11,55,27,27,0,29,0,66.27,69.16,-2.89,15,0,25
77144,Eddie Johnson,ATL,5,54,54,48,6,22,0,39.71,42.4,-2.69,19,1,15
698,Eddie Johnson,KCK,3,51,48,43,5,7,0,47.22,49.92,-2.7,21,2,7
77167,Vinnie Johnson,DET,5,51,46,45,1,19,0,45.54,46.91,-1.37,17,0,17
157,Derek Harper,DAL,10,50,54,46,8,7,0,40.65,43.8,-3.15,21,3,5
76526,Johnny Davis,ATL,5,50,55,55,0,6,0,43.1,43.37,-0.27,22,0,6
76631,Mark Eaton,UTH,11,50,41,41,0,17,0,50.51,51.57,-1.06,21,0,8
76272,Fred Brown,SEA,5,49,47,44,3,11,0,45.37,47.26,-1.89,20,1,8
78614,Mike Woodson,KCK,3,49,44,43,1,15,0,47.12,48.42,-1.3,18,0,13
77193,Bobby Jones,PHL,5,48,31,31,0,19,0,59.26,60.98,-1.72,15,0,18
78,LaSalle Thompson,KCK,3,45,40,40,0,11,0,49.45,50.18,-0.73,18,0,9
78310,Reggie Theus,KCK,3,43,43,40,3,10,0,43.43,45.36,-1.93,17,0,9
77719,Kurt Nimphius,DAL,10,42,33,33,0,17,0,50.6,51.88,-1.28,14,0,14
77377,Cliff Levingston,DET,5,40,19,19,0,16,0,74.07,76.8,-2.73,15,0,10
1456,Randy Wittman,ATL,5,40,37,37,0,0,0,54.05,54.05,0.0,20,0,0
