player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
2544,LeBron James,MIA,23,697,502,417,85,232,608,52.76,57.69,-4.93,389,402,51.67,85,66,25.88,68,104,76.47,0,0,,28,73,86.9,0,0,,10,9,75.0,2,4,100.0,0,0,,0,0,,0,0,,26,39,75.0,251,22,173
201142,Kevin Durant,OKC,20,570,383,273,110,154,461,55.34,63.23,-7.89,267,302,56.55,110,123,37.27,46,78,84.78,0,0,,6,18,100.0,0,0,,7,6,85.71,0,0,,0,0,,0,0,,0,0,,25,43,87.76,198,41,133
2548,Dwyane Wade,MIA,23,525,426,392,34,166,502,49.9,52.6,-2.7,372,334,44.89,34,30,29.41,58,86,74.14,0,0,,20,56,93.33,0,0,,7,5,62.5,1,1,50.0,0,0,,0,0,,0,0,,10,13,65.0,197,10,121
201566,Russell Westbrook,OKC,20,461,407,342,65,111,456,46.57,50.57,-4.0,329,292,44.38,65,54,27.69,38,60,78.95,0,0,,13,37,94.87,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,11,18,81.82,177,18,89
708,Kevin Garnett,BOS,20,384,320,316,4,80,354,53.04,54.05,-1.02,304,292,48.03,4,3,25.0,28,46,82.14,0,0,,12,33,91.67,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,10,83.33,159,1,65
1718,Paul Pierce,BOS,20,377,311,224,87,123,367,45.31,51.63,-6.31,211,160,37.91,87,81,31.03,37,66,89.19,2,6,100.0,13,37,94.87,0,0,,4,4,80.0,0,0,,0,0,,0,0,,0,0,,13,23,92.0,120,27,110
977,Kobe Bryant,LAL,12,360,301,241,60,95,349,47.56,52.51,-4.95,234,216,46.15,60,51,28.33,28,49,87.5,0,0,,7,18,85.71,0,0,,8,6,75.0,0,0,,0,0,,0,0,,0,0,,12,20,83.33,132,17,79
200765,Rajon Rondo,BOS,19,329,301,271,30,56,326,47.82,50.52,-2.7,266,256,48.12,30,24,26.67,16,23,71.88,1,2,66.67,5,13,86.67,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,8,11,68.75,141,8,39
201935,James Harden,OKC,20,326,214,136,78,126,273,51.58,60.5,-8.91,130,110,42.31,77,93,40.26,50,84,84.0,1,3,100.0,6,18,100.0,1,4,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,8,14,87.5,93,32,108
2225,Tony Parker,SAS,14,282,225,204,21,88,266,50.45,53.47,-3.02,197,176,44.67,21,21,33.33,26,43,82.69,0,0,,7,19,90.48,0,0,,1,1,100.0,1,2,100.0,0,0,,0,0,,0,0,,13,20,76.92,102,7,71
201596,Mario Chalmers,MIA,23,260,208,116,92,60,242,45.77,55.46,-9.69,113,112,49.56,92,99,35.87,16,23,71.88,0,0,,3,9,100.0,0,0,,11,7,63.64,0,0,,0,0,,0,0,,0,0,,7,10,71.43,92,33,43
1495,Tim Duncan,SAS,14,243,204,203,1,58,229,52.03,52.94,-0.9,195,186,47.69,1,0,0.0,20,29,72.5,0,0,,8,21,87.5,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,7,70.0,101,0,41
